epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,697.6533203125,23.06,91.14
102,1.0,1551.8311767578125,16.31,91.36
103,1.0,2142.153076171875,21.05,91.43
104,1.0,3188.633056640625,21.16,91.36999999999999
105,1.0,3828.1484375,18.3,91.60000000000001
106,1.0,4570.52294921875,17.73,90.97
107,1.0,5326.31396484375,19.3,90.97
108,1.0,6099.99365234375,18.13,91.4
109,1.0,6453.2919921875,14.06,91.3
110,1.0,7553.43798828125,16.79,91.07
111,1.0,8027.484375,19.18,91.36999999999999
112,1.0,8993.46484375,20.32,91.29
113,1.0,9878.9482421875,10.83,89.96
114,1.0,10634.7392578125,13.969999999999999,89.42
115,1.0,11189.2841796875,27.68,89.35
116,1.0,11927.1865234375,18.4,91.25999999999999
117,1.0,12736.6435546875,7.359999999999999,88.94999999999999
118,1.0,13631.0703125,14.17,91.34
119,1.0,14377.91796875,16.25,90.22
120,1.0,14673.078125,18.89,90.28
121,1.0,15969.9970703125,20.75,88.57000000000001
122,1.0,16618.45703125,16.79,89.91
123,1.0,17177.474609375,17.849999999999998,89.86
124,1.0,18112.150390625,20.0,91.46
125,1.0,18832.1640625,22.1,91.41
126,1.0,19435.90234375,24.349999999999998,90.41
127,1.0,20102.25,23.380000000000003,90.59
128,1.0,21068.232421875,12.33,87.94999999999999
129,1.0,21779.30078125,15.57,89.66
130,1.0,22812.365234375,22.93,90.81
131,1.0,22951.001953125,24.64,90.24
132,1.0,23899.09375,14.000000000000002,89.84
133,1.0,24596.748046875,21.63,90.53999999999999
134,1.0,25191.541015625,9.700000000000001,88.69
135,1.0,26036.77734375,7.739999999999999,89.82
136,1.0,26577.904296875,4.25,80.08999999999999
137,1.0,27463.38671875,8.450000000000001,85.89
138,1.0,28053.708984375,15.5,86.57000000000001
139,1.0,28894.46875,16.18,87.33999999999999
140,1.0,29730.759765625,12.920000000000002,88.21
141,1.0,30271.888671875,15.32,89.66
142,1.0,30991.90234375,14.59,89.38000000000001
143,1.0,31497.25390625,23.05,89.18
144,1.0,32177.017578125,14.760000000000002,88.42
145,1.0,33160.890625,17.28,91.14
146,1.0,34100.0390625,15.459999999999999,90.42
147,1.0,34802.1640625,18.3,91.27
148,1.0,35879.9453125,16.49,84.61
149,1.0,36371.8828125,17.64,86.37
150,1.0,37176.86328125,13.04,89.68
151,1.0,37955.01953125,16.85,91.13
152,1.0,38625.83984375,13.530000000000001,90.93
153,1.0,38916.52734375,17.53,91.56
154,1.0,40012.19921875,18.27,91.36
155,1.0,40575.6875,18.490000000000002,91.59
156,1.0,41322.53515625,18.509999999999998,91.47999999999999
157,1.0,42055.96484375,19.8,91.64999999999999
158,1.0,42959.33984375,19.98,91.49000000000001
159,1.0,43755.37890625,18.709999999999997,91.57
160,1.0,44251.78515625,15.920000000000002,90.56
161,1.0,45280.375,17.97,91.41
162,1.0,45951.1953125,18.95,91.82000000000001
163,1.0,46988.73046875,13.94,89.03999999999999
164,1.0,47722.1640625,9.01,90.16
165,1.0,48697.0859375,10.54,89.13
166,1.0,49211.38671875,18.96,89.95
167,1.0,49707.7890625,16.36,91.18
168,1.0,50772.15625,16.89,91.05
169,1.0,51554.78515625,23.14,90.81
170,1.0,51747.0859375,13.389999999999999,90.73
171,1.0,53044.0078125,23.69,90.91
172,1.0,53504.63671875,15.61,90.64999999999999
173,1.0,54179.92578125,17.14,90.34
174,1.0,55280.0703125,23.24,89.29
175,1.0,55611.01171875,2.77,87.69
176,1.0,56670.90625,25.21,83.86
177,1.0,57373.03125,25.14,90.02
178,1.0,58164.59765625,11.219999999999999,91.01
179,1.0,58898.02734375,21.04,90.2
180,1.0,59568.8515625,15.86,90.92
181,1.0,60315.69921875,12.86,91.33
