epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,675.2927856445312,99.98,83.34
102,1.0,1426.611572265625,98.64,83.17
103,0.9999999403953552,2186.87451171875,99.97,84.09
104,1.0,3009.74755859375,99.98,84.03
105,1.0,3716.344970703125,99.98,84.03
106,0.9999999403953552,4677.85400390625,99.98,82.67
107,0.9999999403953552,5071.40234375,99.97,84.41
108,0.9999999403953552,5912.16357421875,99.97,84.31
109,1.0,6569.56787109375,99.98,84.35000000000001
110,0.9999999403953552,7316.41455078125,99.98,84.08
111,1.0,8036.4287109375,99.98,84.56
112,1.0,8734.0810546875,99.98,84.6
113,1.0,9391.4853515625,99.95,85.11
114,1.0,10102.5546875,99.96000000000001,85.11
115,1.0,10970.1494140625,99.92999999999999,84.97
116,1.0,11676.7470703125,99.96000000000001,84.99
117,1.0,12517.5087890625,99.96000000000001,85.46000000000001
118,1.0,13201.7451171875,99.95,85.45
119,1.0,13939.6474609375,99.97,85.41
120,1.0,14686.494140625,99.97,85.31
121,0.9999999403953552,15442.28515625,99.96000000000001,85.47
122,0.9999999403953552,16189.1318359375,99.97,85.35000000000001
123,0.9999999403953552,16962.8125,99.96000000000001,85.49
124,1.0,17638.103515625,99.95,85.25
125,0.9999999403953552,18456.50390625,99.96000000000001,85.03
126,1.0,19015.521484375,99.97,85.78
127,1.0,19856.283203125,99.95,85.92
128,1.0,20562.880859375,99.95,86.0
129,1.0,21305.255859375,99.95,85.92999999999999
130,1.0,22074.462890625,99.95,85.99
131,1.0,22736.33984375,99.95,85.75
132,1.0,23536.8515625,99.95,85.54
133,0.9999999403953552,24221.087890625,99.95,86.02
134,1.0,25151.29296875,99.95,84.98
135,1.0,25732.669921875,99.96000000000001,85.66
136,1.0,26591.3203125,99.95,85.54
137,1.0,27186.11328125,99.95,85.84
138,1.0,27991.09765625,99.94,85.75
139,1.0,28706.640625,99.95,86.31
140,1.0,29404.29296875,99.96000000000001,86.28
141,1.0,30070.642578125,99.95,86.13
142,1.0,30741.462890625,99.9,83.54
143,1.0,31555.390625,99.95,85.69
144,1.0,32324.599609375,99.95,86.11999999999999
145,1.0,33183.24609375,99.95,86.2
146,1.0,33863.01171875,99.95,85.58
147,1.0,34600.9140625,99.95,86.2
148,1.0,35361.1796875,99.95,86.55000000000001
149,1.0,35982.8046875,99.95,85.63
150,1.0,36792.26171875,99.92999999999999,85.9
151,1.0,37472.02734375,99.92999999999999,85.81
152,1.0,38254.6484375,99.95,86.83999999999999
153,1.0,39028.328125,99.92,86.53999999999999
154,1.0,39757.2890625,99.95,86.71
155,1.0,40481.7734375,99.95,86.52
156,1.0,41206.2578125,99.94,87.14
157,0.9999998807907104,42002.30078125,99.95,87.01
158,0.9999998807907104,42789.3984375,99.95,86.94
159,0.9999998807907104,43540.71484375,99.94,86.82
160,0.9999998807907104,44345.69921875,99.95,87.03999999999999
161,1.0,45114.90625,99.94,86.38
162,1.0,45870.69921875,99.95,87.02
163,1.0,46554.9375,99.94,86.98
164,1.0,47266.00390625,99.94,86.45
165,1.0,47986.01953125,99.95,86.74
166,1.0,48643.421875,99.94,86.86
167,1.0,49408.15625,99.92999999999999,86.61
168,1.0,50092.39453125,99.92,85.94000000000001
169,1.0,50857.12890625,99.95,87.22999999999999
170,0.9999998807907104,51693.41796875,99.92,87.14
171,1.0,52440.265625,99.75,87.14
172,0.9999998807907104,53281.02734375,99.86,86.82
173,1.0,54036.8203125,99.94,87.01
174,1.0,54765.77734375,99.9,87.28
175,0.9999998807907104,55530.51171875,99.94,87.46000000000001
176,1.0,56263.9453125,99.94,86.81
177,1.0,57001.84375,84.39999999999999,86.04
178,1.0,57784.46875,87.38,86.52
179,1.0,58406.09765625,93.8,86.96000000000001
180,1.0,58969.5859375,99.52,87.39
181,1.0,59626.98828125,99.92,87.16000000000001
182,1.0,60315.69921875,99.94,87.47
183,0.9999998807907104,61071.4921875,99.91,87.14
184,1.0,61916.72265625,99.94,87.28
185,1.0,62797.734375,98.29,87.29
186,1.0,63540.109375,99.95,87.82
187,1.0,64184.09375,99.75,87.45
188,1.0,64975.6640625,99.94,87.1
189,1.0,65794.0625,99.95,87.66000000000001
190,1.0,66576.6875,99.92999999999999,87.32
191,1.0,67260.921875,98.32,86.81
192,0.9999998807907104,67949.6328125,91.4,86.74
193,1.0,68683.0625,99.92999999999999,87.72
194,1.0,69510.40625,99.92999999999999,87.7
195,0.9999999403953552,70284.09375,99.95,87.8
196,0.9999999403953552,70995.1640625,99.92,87.42999999999999
197,0.9999999403953552,71742.0078125,99.94,87.36
198,0.9999999403953552,72479.90625,99.94,87.44
199,0.9999999403953552,73244.6484375,99.92,87.7
200,0.9999999403953552,74000.4375,99.94,87.59
201,0.9999999403953552,74720.4453125,99.81,87.56
202,0.9999999403953552,75534.375,94.06,87.15
203,0.9999999403953552,76276.75,99.94,87.35000000000001
204,0.9999999403953552,77005.7109375,76.71,86.31
205,0.9999999403953552,77774.9140625,99.69,87.1
206,0.9999999403953552,78409.9609375,95.64,87.28
207,0.9999999403953552,79179.171875,99.88,88.08
208,0.9999999403953552,79912.6015625,99.94,88.02
209,0.9999999403953552,80605.7734375,99.67,87.92
210,0.9999999403953552,81267.65625,99.91,88.1
211,0.9999999403953552,82027.9140625,99.94,86.67
212,0.9999999403953552,82573.515625,99.92999999999999,87.67
213,0.9999999403953552,83186.203125,75.81,87.5
214,0.9999999403953552,83959.8828125,99.86,88.18
215,0.9999999403953552,84697.7890625,91.78,87.96000000000001
216,0.9999999403953552,85395.4375,91.89,87.97
217,0.9999999403953552,86106.5078125,84.97,88.22
218,0.9999999403953552,86772.8515625,99.91,88.05
219,0.9999999403953552,87515.2265625,99.89,88.06
220,0.9999999403953552,88324.6875,99.92,88.12
221,0.9999998807907104,89147.5625,98.4,87.98
222,0.9999998807907104,89997.265625,71.76,87.71
223,0.9999998807907104,90712.8046875,98.56,87.4
224,0.9999998807907104,91464.125,76.01,88.02
225,0.9999998807907104,92215.4453125,99.13,88.0
226,0.9999998807907104,92989.125,99.88,88.48
227,0.9999998807907104,93740.4375,99.91,88.07000000000001
228,0.9999998807907104,94406.7890625,94.56,88.52
229,0.9999998807907104,95149.1640625,99.89,88.26
230,0.9999998807907104,95860.234375,99.72,88.34
231,0.9999998807907104,96539.9921875,97.86,88.33
232,0.9999998807907104,97336.0390625,99.22,88.32
233,0.9999998807907104,98060.5234375,88.27000000000001,88.27000000000001
234,0.9999998807907104,98847.625,99.91,88.42
235,0.9999998807907104,99540.8046875,99.48,88.92999999999999
236,0.9999998807907104,100225.0390625,82.78,87.86
237,0.9999998807907104,100846.6640625,96.23,88.68
238,0.9999998807907104,101517.484375,98.75,87.81
239,0.9999998807907104,102250.9140625,99.89,88.2
240,0.9999998807907104,103114.0390625,99.6,88.58
241,0.9999998807907104,103927.96875,99.37,88.46000000000001
242,0.9999998807907104,104594.3125,99.32,88.02
243,0.9999998807907104,105287.5,99.85000000000001,88.4
244,0.9999998807907104,105940.4296875,99.87,88.48
245,0.9999998807907104,106763.3046875,99.61,88.44999999999999
246,0.9999998807907104,107572.7578125,96.44,88.31
247,0.9999998807907104,108189.9140625,34.02,85.41
248,0.9999998807907104,109057.5078125,91.07,88.44999999999999
249,0.9999998807907104,109844.6015625,99.89,87.72
250,0.9999998807907104,110551.203125,99.67,88.57000000000001
251,0.9999998807907104,111110.21875,99.52,88.38000000000001
252,0.9999998807907104,111606.625,90.14,88.27000000000001
253,0.9999998807907104,112501.046875,99.87,88.64
254,0.9999998807907104,113328.3984375,99.9,88.52
255,0.9999998807907104,114352.515625,99.39,88.63
256,0.9999998807907104,115094.890625,90.18,87.76
257,0.9999998807907104,115895.40625,93.32000000000001,88.29
258,0.9999998807907104,116588.5859375,90.25,88.64999999999999
259,0.9999998807907104,117290.7109375,93.89999999999999,88.64
260,0.9999998807907104,118033.0859375,96.91,88.72
261,0.9999998807907104,118860.4296875,96.32,88.55
262,0.9999998807907104,119575.96875,99.85000000000001,88.97
263,0.9999998807907104,120676.1171875,99.87,87.38
264,0.9999998807907104,121226.1875,81.83,88.12
265,0.9999998807907104,121883.6015625,96.13000000000001,88.92
266,0.9999998807907104,122545.46875,73.57000000000001,87.64999999999999
267,0.9999998807907104,123363.875,95.02000000000001,88.37
268,0.9999998807907104,124070.46875,99.63,88.29
269,0.9999998807907104,124777.0625,93.91000000000001,88.72
270,0.9999998807907104,125564.15625,99.85000000000001,88.53
271,0.9999998807907104,126619.5859375,99.74,88.03
272,0.9999998807907104,127321.7109375,96.2,87.37
273,0.9999998807907104,128032.78125,91.55,88.82
274,0.9999998807907104,128900.375,99.77000000000001,88.81
275,0.9999998807907104,129696.4140625,97.35000000000001,88.47
276,0.9999998807907104,130479.0390625,90.74,87.88
277,0.9999998807907104,131212.46875,99.61,88.92999999999999
278,0.9999998807907104,131789.375,91.39,88.59
279,0.9999998807907104,132495.96875,98.41,89.09
280,0.9999998807907104,133175.734375,78.17,88.85
281,0.9999998807907104,134016.5,83.67999999999999,89.34
282,0.9999998807907104,134803.59375,93.72,89.03999999999999
283,0.9999998807907104,135554.921875,87.09,88.5
284,0.9999998807907104,136310.703125,85.9,88.28
285,0.9999998807907104,137021.765625,86.61,88.23
286,0.9999998807907104,137750.734375,91.03,87.71
287,0.9999998807907104,138546.765625,97.08,89.22
288,0.9999998807907104,139302.5625,99.7,88.94999999999999
289,0.9999998807907104,140098.609375,92.33,89.1
290,0.9999998807907104,141024.34375,99.71,88.58
291,0.9999998807907104,141744.359375,99.79,88.58
292,0.9999998807907104,142442.0,88.21,89.23
293,0.9999998807907104,143188.84375,99.65,89.11
294,0.9999998807907104,143855.1875,92.89,89.05999999999999
295,0.9999998807907104,144539.4375,96.05,89.25
296,0.9999998807907104,145246.03125,78.08,89.18
297,0.9999998807907104,145849.765625,96.04,89.01
298,0.9999998807907104,146560.84375,63.21,88.16000000000001
299,0.9999998807907104,147339.0,90.58,89.07000000000001
300,0.9999998807907104,148206.578125,92.83,88.92999999999999
301,0.9999998807907104,149060.765625,97.59,88.8
302,0.9999998807907104,149861.265625,97.78,89.33
303,0.9999998807907104,150567.875,99.75,89.25
304,0.9999998807907104,151305.765625,85.16,89.03
305,0.9999998807907104,151940.8125,71.87,88.69
306,0.9999998807907104,152584.8125,99.72,89.2
307,0.9999998807907104,153331.65625,93.17,89.36
308,0.9999998807907104,154199.25,86.11999999999999,89.17
309,0.9999998807907104,154977.390625,97.28999999999999,89.53999999999999
310,0.9999998807907104,155836.046875,87.98,89.34
311,0.9999998807907104,156609.71875,95.41,89.34
312,0.9999998807907104,157302.90625,62.239999999999995,89.14
313,0.9999998807907104,158072.125,89.69,89.0
314,0.9999998807907104,158684.8125,94.67999999999999,89.02
315,0.9999998807907104,159422.703125,74.98,87.06
316,0.9999998807907104,160062.21875,99.59,89.4
317,0.9999998807907104,160858.25,82.0,89.05999999999999
318,0.9999998807907104,161596.15625,98.63,89.17
319,0.9999998807907104,162454.8125,80.71000000000001,86.22
320,0.9999998807907104,163130.09375,91.73,88.8
321,0.9999998807907104,163859.0625,79.69000000000001,89.21
322,0.9999998807907104,164529.890625,96.17,89.11
323,0.9999998807907104,165236.484375,73.41,89.0
324,0.9999998807907104,165920.71875,97.96000000000001,89.18
325,0.9999998807907104,166587.0625,94.54,89.49000000000001
326,0.9999998807907104,167418.875,82.41000000000001,89.25999999999999
327,0.9999998807907104,168161.25,78.62,89.36
328,0.9999998807907104,168903.625,96.97,89.64999999999999
329,0.9999998807907104,169637.0625,94.05,89.3
330,0.9999998807907104,170388.375,69.0,87.03
331,0.9999998807907104,171090.5,99.74,88.75999999999999
332,0.9999998807907104,171837.359375,86.96000000000001,89.27000000000001
333,0.9999998807907104,172561.84375,98.92,89.25999999999999
334,0.9999998807907104,173380.234375,84.1,89.22
335,0.9999998807907104,173957.140625,97.83,89.81
336,0.9999998807907104,174686.09375,80.61,89.39
337,0.9999998807907104,175477.671875,97.89,89.61
338,0.9999998807907104,176085.890625,99.18,89.48
339,0.9999998807907104,176747.765625,80.78,89.47
