epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
1,10,5,"[4, 32, 71, 58, 3, 24, 62, 67, 43, 29]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]",0.7390354846622206,0.13900957443650808,4.524187090179797,0,0,"[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]",[],[],"[4, 3]",2,0.37927132844924927,"{""0"": 2.86340594291687, ""1"": -1.0}",0,0,"[32, 58, 24, 62, 67, 43, 29]","[4, 71, 3]","[32, 58, 24, 62, 67, 43, 29]","[4, 71, 3]","[32, 58, 24, 62, 67, 43, 29]",[],[71],"[4, 3]","[32, 58, 24, 62, 67, 43, 29]","[4, 71, 3]","[32, 58, 24, 62, 67, 43, 29]",[],[71],"[4, 3]",7,0,1,2
2,10,5,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],0.9591726347565996,0.10626665860412621,4.093653765389909,0,0,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[],[],[3],2,0.3526797890663147,"{""0"": 0.6856352686882019, ""1"": -1.0}",0,0,"[73, 99, 20, 15, 37, 93, 74, 22]","[3, 72]","[73, 99, 20, 15, 37, 93, 74, 22]","[3, 72]","[73, 99, 20, 15, 37, 93, 74, 22]",[],[72],[3],"[73, 99, 20, 15, 37, 93, 74, 22]","[3, 72]","[73, 99, 20, 15, 37, 93, 74, 22]",[],[72],[3],8,0,1,1
3,10,5,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]",0.9035802121882042,0.17242963823375423,3.7040911034085893,0,0,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","[11, 29, 61, 14, 62, 31, 55, 89]",[],[],"[2, 0]",2,0.49221327900886536,"{""0"": 5.800688743591309, ""1"": -1.0}",0,0,"[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]",[],[31],"[2, 0]","[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]",[],[31],"[2, 0]",7,0,1,2
4,10,5,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],0.8053160054344379,0.24888175964096043,3.351600230178197,0,0,"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[],[],[1],2,0.708500325679779,"{""0"": 5.7499284744262695, ""1"": -1.0}",0,0,"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","[73, 5, 68, 48, 28, 53, 72, 34]",[],[88],[1],"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","[73, 5, 68, 48, 28, 53, 72, 34]",[],[88],[1],8,0,1,1
5,10,5,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],0.9117307005156956,0.1873365922419385,3.032653298563167,0,0,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[],[],[4],2,0.6323519349098206,"{""0"": 4.039701461791992, ""1"": -1.0}",0,0,"[27, 55, 98, 67, 16, 57, 21, 26]","[4, 69]","[27, 55, 98, 67, 16, 57, 21, 26]","[4, 69]","[27, 55, 98, 67, 16, 57, 21, 26]",[],[69],[4],"[27, 55, 98, 67, 16, 57, 21, 26]","[4, 69]","[27, 55, 98, 67, 16, 57, 21, 26]",[],[69],[4],8,0,1,1
6,10,5,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],0.8705928144624263,0.08864015121906405,2.744058180470132,0,0,"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[],[],[3],4,0.2736552953720093,"{""0"": 3.0201756954193115, ""1"": 1.61344575881958, ""2"": -1.0, ""3"": -1.0}",0,0,"[55, 86, 6, 52, 62]","[3, 44, 53, 61, 48]","[55, 86, 6, 52, 62]","[3, 44, 53, 61, 48]","[55, 86, 6, 52, 62]",[],"[44, 53, 61, 48]",[3],"[55, 86, 6, 52, 62]","[3, 44, 53, 61, 48]","[55, 86, 6, 52, 62]",[],"[44, 53, 61, 48]",[3],5,0,4,1
7,10,5,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],1.0179735940668655,0.15544157979040335,2.4829265189570475,0,0,"[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],"[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],"[73, 46, 58, 32, 95, 97, 42, 38, 13]",[],[],[2],2,0.48927730321884155,"{""0"": 3.1218111515045166, ""1"": -1.0}",0,0,"[73, 46, 58, 32, 97, 42, 38, 13]","[2, 95]","[73, 46, 58, 32, 97, 42, 38, 13]","[2, 95]","[73, 46, 58, 32, 97, 42, 38, 13]",[],[95],[2],"[73, 46, 58, 32, 97, 42, 38, 13]","[2, 95]","[73, 46, 58, 32, 97, 42, 38, 13]",[],[95],[2],8,0,1,1
8,10,5,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],1.059880581905881,0.37832576649537863,2.246644820586108,0,0,"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[],[],[0],2,0.6958793997764587,"{""0"": 3.991895914077759, ""1"": 1.9672231674194336}",0,0,"[97, 82, 86, 57, 62, 85, 17]","[0, 41, 96]","[97, 82, 86, 57, 62, 85, 17]","[0, 41, 96]","[97, 82, 86, 57, 62, 85, 17]",[],"[41, 96]",[0],"[97, 82, 86, 57, 62, 85, 17]","[0, 41, 96]","[97, 82, 86, 57, 62, 85, 17]",[],"[41, 96]",[0],7,0,2,1
9,10,5,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]",0.9657730403298657,0.1050273609733427,2.0328482987029957,0,0,"[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]","[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]","[38, 6, 23, 43, 89, 96, 69, 84]",[],[],"[2, 1]",2,0.5646443367004395,"{""0"": 4.2050909996032715, ""1"": -1.0}",0,0,"[38, 6, 23, 43, 89, 69, 84]","[2, 1, 96]","[38, 6, 23, 43, 89, 69, 84]","[2, 1, 96]","[38, 6, 23, 43, 89, 69, 84]",[],[96],"[2, 1]","[38, 6, 23, 43, 89, 69, 84]","[2, 1, 96]","[38, 6, 23, 43, 89, 69, 84]",[],[96],"[2, 1]",7,0,1,2
10,10,5,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]",0.91096992962614,0.10858344394924835,2.0,0,0,"[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]",[],[],"[4, 3]",2,0.5367851257324219,"{""0"": 2.6752231121063232, ""1"": 1.9651391506195068}",0,0,"[65, 71, 9, 81, 70, 42]","[4, 95, 3, 41]","[65, 71, 9, 81, 70, 42]","[4, 95, 3, 41]","[65, 71, 9, 81, 70, 42]",[],"[95, 41]","[4, 3]","[65, 71, 9, 81, 70, 42]","[4, 95, 3, 41]","[65, 71, 9, 81, 70, 42]",[],"[95, 41]","[4, 3]",6,0,2,2
11,10,5,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],0.8711289480400415,0.16879432397782945,2.0,0,0,"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[],[],[4],3,0.493097186088562,"{""0"": 3.720829963684082, ""1"": -1.0, ""2"": -1.0}",0,0,"[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]",[],"[97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]",[],"[97, 47]",[4],7,0,2,1
12,10,5,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]",0.8010872257818653,0.19270674659648462,2.0,0,0,"[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]",[],[],"[3, 2]",4,0.3750257194042206,"{""0"": 1.7886511087417603, ""1"": 1.739725112915039, ""2"": -1.0, ""3"": -1.0}",0,0,"[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]",[],"[20, 6, 37, 15, 11, 48]","[3, 2]","[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]",[],"[20, 6, 37, 15, 11, 48]","[3, 2]",2,0,6,2
