epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0000001192092896,827.3453369140625,23.11,90.53999999999999
102,1.0,1981.15625,20.72,90.95
103,1.0,2271.84521484375,20.96,91.39
104,1.0,3345.15771484375,23.880000000000003,91.24
105,1.0,3716.344970703125,23.95,91.42
106,1.0,4946.18212890625,20.94,90.95
107,1.0,5540.9765625,19.27,91.03
108,1.0,6278.87890625,19.11,90.75999999999999
109,1.0,6735.03662109375,14.39,90.05
110,1.0,7790.4609375,18.75,89.61
111,1.0,8309.228515625,21.54,88.69
112,1.0,9051.603515625,21.84,91.39
113,1.0,9847.6435546875,23.84,90.84
114,1.0,10563.185546875,20.75,91.36
115,1.0,11573.8876953125,37.08,84.61
116,1.0,12119.48828125,24.11,89.66
117,1.0,12920.0009765625,11.110000000000001,86.42
118,1.0,13452.1845703125,16.34,89.78
119,1.0,14319.779296875,20.48,88.39
120,1.0,15062.154296875,32.23,87.64
121,1.0,15867.138671875,26.179999999999996,89.08
122,1.0,16551.375,20.26,91.14999999999999
123,1.0,17651.521484375,29.81,91.31
124,1.0,18219.48046875,28.92,89.63
125,1.0,18841.107421875,22.29,91.0
126,1.0,19467.20703125,26.99,90.64
127,1.0,20303.498046875,19.72,90.9
128,1.0,21251.58984375,21.95,90.86
129,1.0,21985.01953125,17.82,88.33
130,1.0,22825.78125,22.24,90.7
131,1.0,23281.94140625,25.52,83.87
132,1.0,24086.92578125,33.040000000000006,89.35
133,1.0,24842.71484375,30.259999999999998,89.73
134,1.0,25652.171875,27.33,91.10000000000001
135,1.0,26193.30078125,23.53,91.25
136,1.0,26564.48828125,18.66,90.93
137,1.0,27660.16015625,24.41,91.12
138,1.0,28532.2265625,7.9399999999999995,88.53999999999999
139,1.0,29216.46484375,17.45,90.34
140,1.0,29851.505859375,18.84,90.93
141,1.0,30544.689453125,20.14,90.82000000000001
142,1.0,31090.2890625,18.0,90.84
143,1.0,31859.49609375,18.0,91.11
144,1.0,32557.150390625,6.3,89.3
145,1.0,33160.88671875,25.81,91.35
146,1.0,33876.4296875,28.67,90.38000000000001
147,1.0,34833.46484375,23.49,91.25999999999999
148,1.0,35508.7578125,27.860000000000003,89.31
149,1.0,36608.90625,22.259999999999998,90.96
150,1.0,37082.94921875,29.189999999999998,88.96
151,1.0,38004.2109375,17.990000000000002,91.31
152,1.0,38683.9765625,20.69,91.58
153,1.0,39287.71484375,19.84,91.42
154,1.0,39936.171875,14.77,90.9
155,0.9999998807907104,40696.4375,19.5,91.74
156,1.0,41394.08984375,21.490000000000002,91.59
157,1.0,42158.82421875,19.82,91.25999999999999
