epoch,client_id,role,is_adversary,update_norm,mad_z_score,mad_pass,mad_effective_pass,cluster_label,selected_cluster,cluster_pass,cluster_effective_pass,final_selected,trust_weight,clip_factor,update_norm_before_clip,update_norm_after_clip,feature_norm,feature_0,feature_1,feature_2
1,4,malicious,1,39.492259676022464,261.4412254190183,0,0,-1,0,0,0,0,,,,,2.89790708600545,2.7686212062835693,-0.7905972003936768,-0.3279606103897095
1,32,benign,0,0.921606552634345,1.1132177742221783,1,1,0,0,1,1,1,0.0,2.0,0.921606552634345,0.921606552634345,1.4995493305944299,-0.777103066444397,1.2607030868530273,0.23534388840198517
1,71,benign,0,0.8533670082524182,0.6526431353975205,1,1,0,0,1,1,1,0.5,1.0,0.8533670082524182,0.8533670082524182,0.9141846052976476,-0.9018082022666931,0.007484717760235071,-0.14973121881484985
1,58,benign,0,0.6534968078303213,-0.6963568646024795,1,1,0,0,1,1,1,0.0,2.0,0.6534968078303213,0.6534968078303213,0.9382943827289388,-0.7869206070899963,0.4480900764465332,0.24569816887378693
1,3,malicious,1,28.705218406350006,188.63538121584529,0,0,-1,0,0,0,0,,,,,3.1109798841155234,2.9810967445373535,0.8792996406555176,0.13449974358081818
1,24,benign,0,0.7978696298732585,0.2780702211993041,1,1,0,0,1,1,1,0.0,2.0,0.7978696298732585,0.7978696298732585,1.126731265515723,-0.892980694770813,-0.49627506732940674,-0.47520509362220764
1,62,benign,0,0.7154708888168883,-0.2780702211993041,1,1,0,0,1,1,1,0.5,1.0,0.7154708888168883,0.7154708888168883,0.9930824232559532,-0.9216085076332092,-0.11329807341098785,-0.35215622186660767
1,67,benign,0,0.6987921087259235,-0.3906416515335683,1,1,1,0,0,0,0,,,,,1.466794544094115,-0.2590812146663666,-0.9659982919692993,1.0729447603225708
1,43,benign,0,0.6631972714160888,-0.6308847464499747,1,1,0,0,1,1,1,0.0,2.0,0.6631972714160888,0.6631972714160888,0.5694191530711575,-0.5039532780647278,-0.26311662793159485,0.03223205730319023
1,29,benign,0,0.5229338346192859,-1.577576028288346,1,1,0,0,1,1,1,0.0,2.0,0.5229338346192859,0.5229338346192859,0.8201957730384597,-0.7062630653381348,0.0337078720331192,-0.4156649708747864
2,3,malicious,1,30.477294705319892,110.67453300395687,0,0,-1,0,0,0,0,,,,,3.8960349596990262,3.889470338821411,0.2028021216392517,-0.09990090131759644
2,73,benign,0,1.0860535773859075,0.6640278068414591,1,1,1,0,0,0,0,,,,,1.4712416870222147,-0.8163794279098511,1.211787223815918,-0.17218726873397827
2,72,benign,0,0.9637351400312383,0.2061936844328025,1,1,2,0,0,0,0,,,,,0.9413164406973056,-0.4527076482772827,0.2756651043891907,0.777908205986023
2,99,benign,0,0.9904384481777391,0.3061433397346607,1,1,0,0,1,1,1,0.25000250339508057,1.4999899864196777,0.9904384481777391,0.9904384481777391,0.6234027746834827,-0.5046707391738892,-0.2988152503967285,-0.21130052208900452
2,20,benign,0,0.8995683761616232,-0.033980525272528476,1,1,0,0,1,1,1,0.0,2.0,0.8995683761616232,0.8995683761616232,0.8486599410717497,-0.020327450707554817,-0.8473935723304749,-0.04164881631731987
2,15,benign,0,0.9177253659899897,0.033980525272528476,1,1,2,0,0,0,0,,,,,0.8901651868391337,-0.07098124921321869,-0.22826911509037018,0.8574665784835815
2,37,benign,0,0.655020620023641,-0.9493152020375548,1,1,0,0,1,1,1,0.49999499320983887,1.0,0.655020620023641,0.655020620023641,0.6462798458478355,-0.44419997930526733,-0.3079441487789154,-0.3543083667755127
2,93,benign,0,0.61944395905234,-1.0824775421253157,1,1,0,0,1,1,1,0.0,2.0,0.61944395905234,0.61944395905234,0.6164670785891827,-0.4992704689502716,-0.0016383028123527765,-0.3616047203540802
2,74,benign,0,0.7031152483552873,-0.7692984978432118,1,1,0,0,1,1,1,0.0,2.0,0.7031152483552873,0.7031152483552873,0.6292806869996929,-0.5521346926689148,-0.007169291842728853,-0.3018113076686859
2,22,benign,0,0.7256445036293534,-0.6849721931585409,1,1,0,0,1,1,1,0.25000250339508057,1.4999899864196777,0.7256445036293534,0.7256445036293534,0.5368482579334778,-0.528798520565033,0.0009761943365447223,-0.09261330217123032
3,2,malicious,1,24.503476461073937,117.28016925766536,0,0,-1,0,0,0,0,,,,,3.488337547427424,2.3332772254943848,2.5919909477233887,-0.07680599391460419
3,11,benign,0,0.837356677430847,0.10077558028267218,1,1,2,0,0,0,0,,,,,1.2748865445785709,-0.9343433976173401,0.8425869941711426,-0.20587684214115143
3,29,benign,0,0.7138479749117289,-0.5107600245135697,1,1,0,0,1,1,1,0.1428595930337906,1.4999899864196777,0.7138479749117289,0.7138479749117289,0.9670647930539801,-0.9099039435386658,-0.3002072870731354,-0.1310141682624817
3,61,benign,0,0.6477085326152189,-0.8382399754864303,1,1,0,0,1,1,1,0.0,2.0,0.6477085326152189,0.6477085326152189,1.3168951195761944,-1.1534450054168701,-0.6344846487045288,-0.034736234694719315
3,14,benign,0,0.5788923629387115,-1.1789733577059511,1,1,0,0,1,1,1,0.28571346402168274,1.0,0.5788923629387115,0.5788923629387115,1.116193982406126,-1.0725747346878052,-0.23370957374572754,0.20211946964263916
3,62,benign,0,0.9084087834051041,0.45257988000226645,1,1,0,0,1,1,1,0.0,2.0,0.9084087834051041,0.9084087834051041,1.26975288797996,-1.0973457098007202,-0.4082617163658142,-0.491352379322052
3,31,benign,0,0.9997536872343316,0.904861054275103,1,1,1,0,0,0,0,,,,,1.662689739749758,-1.1359033584594727,0.025906117632985115,1.2139149904251099
3,0,malicious,1,29.912824778155354,144.0637806726413,0,0,-1,0,0,0,0,,,,,6.276130835923243,6.151578903198242,-1.2431942224502563,0.0486147366464138
3,55,benign,0,0.7966504255995372,-0.10077558028267218,1,1,0,0,1,1,1,0.28571346402168274,1.0,0.7966504255995372,0.7966504255995372,1.058802448733888,-1.02189040184021,-0.21797099709510803,-0.1711469441652298
3,89,benign,0,0.7685366180122477,-0.2399770614362534,1,1,0,0,1,1,1,0.28571346402168274,1.0,0.7685366180122477,0.7685366180122477,1.2837747802423984,-1.159450650215149,-0.4226531386375427,-0.3537176847457886
4,1,malicious,1,22.183791862943842,75.45000413978651,0,0,-1,0,0,0,0,,,,,4.608053310113205,4.596088886260986,0.21324367821216583,0.25426244735717773
4,73,benign,0,1.140349018733,1.2028368555085485,1,1,1,0,0,0,0,,,,,2.668116720270581,-0.8546676635742188,2.5261824131011963,-0.08241622149944305
4,5,benign,0,0.737924709037013,-0.21702895554041984,1,1,0,0,1,1,1,0.0,2.0,0.737924709037013,0.737924709037013,0.592995784890568,-0.32674095034599304,-0.43815627694129944,-0.23000745475292206
