epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
1,10,5,"[4, 32, 71, 58, 3, 24, 62, 67, 43, 29]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]",0.7566702593450734,0.09993510021104846,4.524187090179797,0,0,"[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]",[],[],"[4, 3]",2,0.46779024600982666,"{""0"": 4.974814414978027, ""1"": -1.0}",0,0,"[32, 71, 58, 24, 62, 43, 29]","[4, 3, 67]","[32, 71, 58, 24, 62, 43, 29]","[4, 3, 67]","[32, 71, 58, 24, 62, 43, 29]",[],[67],"[4, 3]","[32, 71, 58, 24, 62, 43, 29]","[4, 3, 67]","[32, 71, 58, 24, 62, 43, 29]",[],[67],"[4, 3]",7,0,1,2
2,10,5,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],0.9086468710758064,0.18020453687827703,4.093653765389909,0,0,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[],[],[3],3,0.4986567497253418,"{""0"": 4.363327980041504, ""1"": -1.0, ""2"": 1.7593002319335938}",0,0,"[99, 20, 37, 93, 74, 22]","[3, 73, 72, 15]","[99, 20, 37, 93, 74, 22]","[3, 73, 72, 15]","[99, 20, 37, 93, 74, 22]",[],"[73, 72, 15]",[3],"[99, 20, 37, 93, 74, 22]","[3, 73, 72, 15]","[99, 20, 37, 93, 74, 22]",[],"[73, 72, 15]",[3],6,0,3,1
3,10,5,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]",0.8170035515151921,0.1362252977517182,3.7040911034085893,0,0,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","[11, 29, 61, 14, 62, 31, 55, 89]",[],[],"[2, 0]",3,0.4961405396461487,"{""0"": 5.743892669677734, ""1"": -1.0, ""2"": -1.0}",0,0,"[29, 61, 14, 62, 55, 89]","[2, 11, 31, 0]","[29, 61, 14, 62, 55, 89]","[2, 11, 31, 0]","[29, 61, 14, 62, 55, 89]",[],"[11, 31]","[2, 0]","[29, 61, 14, 62, 55, 89]","[2, 11, 31, 0]","[29, 61, 14, 62, 55, 89]",[],"[11, 31]","[2, 0]",6,0,2,2
4,10,5,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],0.7994359637892288,0.1911696124927555,3.351600230178197,0,0,"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[],[],[1],3,0.6828724145889282,"{""0"": 6.286310195922852, ""1"": -1.0, ""2"": -1.0}",0,0,"[5, 68, 48, 28, 53, 72, 34]","[1, 73, 88]","[5, 68, 48, 28, 53, 72, 34]","[1, 73, 88]","[5, 68, 48, 28, 53, 72, 34]",[],"[73, 88]",[1],"[5, 68, 48, 28, 53, 72, 34]","[1, 73, 88]","[5, 68, 48, 28, 53, 72, 34]",[],"[73, 88]",[1],7,0,2,1
5,10,5,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],0.7229949023674387,0.12162905674252034,3.032653298563167,0,0,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[],[],[4],2,0.49059152603149414,"{""0"": 5.59191370010376, ""1"": 1.3893625736236572}",0,0,"[27, 55, 98, 16, 57, 21, 69]","[4, 67, 26]","[27, 55, 98, 16, 57, 21, 69]","[4, 67, 26]","[27, 55, 98, 16, 57, 21, 69]",[],"[67, 26]",[4],"[27, 55, 98, 16, 57, 21, 69]","[4, 67, 26]","[27, 55, 98, 16, 57, 21, 69]",[],"[67, 26]",[4],7,0,2,1
6,10,5,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],0.8777619661179563,0.11387749787370094,2.744058180470132,0,0,"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[],[],[3],3,0.6769265532493591,"{""0"": 6.722053527832031, ""1"": -1.0, ""2"": -1.0}",0,0,"[55, 86, 53, 6, 52, 61, 62]","[3, 44, 48]","[55, 86, 53, 6, 52, 61, 62]","[3, 44, 48]","[55, 86, 53, 6, 52, 61, 62]",[],"[44, 48]",[3],"[55, 86, 53, 6, 52, 61, 62]","[3, 44, 48]","[55, 86, 53, 6, 52, 61, 62]",[],"[44, 48]",[3],7,0,2,1
7,10,5,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],1.0926106795876156,0.13235911471911072,2.4829265189570475,0,0,"[73, 46, 58, 32, 95, 97, 42, 13]","[2, 38]","[73, 46, 58, 32, 95, 97, 42, 13]","[2, 38]","[73, 46, 58, 32, 95, 97, 42, 13]",[],[38],[2],2,0.5457227230072021,"{""0"": 2.4753212928771973, ""1"": -1.0}",0,0,"[73, 46, 58, 32, 97, 42, 13]","[2, 95, 38]","[73, 46, 58, 32, 97, 42, 13]","[2, 95, 38]","[73, 46, 58, 32, 97, 42, 13]",[],"[95, 38]",[2],"[73, 46, 58, 32, 97, 42, 13]","[2, 95, 38]","[73, 46, 58, 32, 97, 42, 13]",[],"[95, 38]",[2],7,0,2,1
8,10,5,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],0.9926162094960729,0.29020596388123165,2.246644820586108,0,0,"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[],[],[0],2,0.4468686878681183,"{""0"": 6.567154884338379, ""1"": -1.0}",0,0,"[41, 96, 97, 82, 86, 57, 62, 85]","[0, 17]","[41, 96, 97, 82, 86, 57, 62, 85]","[0, 17]","[41, 96, 97, 82, 86, 57, 62, 85]",[],[17],[0],"[41, 96, 97, 82, 86, 57, 62, 85]","[0, 17]","[41, 96, 97, 82, 86, 57, 62, 85]",[],[17],[0],8,0,1,1
9,10,5,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]",0.8746820651227218,0.05731780064778336,2.0328482987029957,0,0,"[38, 6, 43, 89, 96, 69, 84]","[2, 1, 23]","[38, 6, 43, 89, 96, 69, 84]","[2, 1, 23]","[38, 6, 43, 89, 96, 69, 84]",[],[23],"[2, 1]",2,0.5843058228492737,"{""0"": 5.447242259979248, ""1"": -1.0}",0,0,"[38, 6, 43, 89, 96, 84]","[2, 1, 23, 69]","[38, 6, 43, 89, 96, 84]","[2, 1, 23, 69]","[38, 6, 43, 89, 96, 84]",[],"[23, 69]","[2, 1]","[38, 6, 43, 89, 96, 84]","[2, 1, 23, 69]","[38, 6, 43, 89, 96, 84]",[],"[23, 69]","[2, 1]",6,0,2,2
10,10,5,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]",1.0931900456039128,0.14631144721866085,2.0,0,0,"[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]",[],[],"[4, 3]",2,0.5220382213592529,"{""0"": 4.23537540435791, ""1"": 2.872739315032959}",0,0,"[65, 71, 81, 70, 42]","[4, 95, 9, 3, 41]","[65, 71, 81, 70, 42]","[4, 95, 9, 3, 41]","[65, 71, 81, 70, 42]",[],"[95, 9, 41]","[4, 3]","[65, 71, 81, 70, 42]","[4, 95, 9, 3, 41]","[65, 71, 81, 70, 42]",[],"[95, 9, 41]","[4, 3]",5,0,3,2
