epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
1,10,5,"[4, 32, 71, 58, 3, 24, 62, 67, 43, 29]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]",1.4039347073459427,0.8769405241830464,4.524187090179797,0,0,"[71, 58, 62, 67, 43, 29]","[4, 32, 3, 24]","[71, 58, 62, 67, 43, 29]","[4, 32, 3, 24]","[71, 58, 62, 67, 43, 29]",[],"[32, 24]","[4, 3]",2,0.34053340554237366,"{""0"": 4.380486011505127, ""1"": -1.0}",0,0,"[71, 58, 62, 43, 29]","[4, 32, 3, 24, 67]","[71, 58, 62, 43, 29]","[4, 32, 3, 24, 67]","[71, 58, 62, 43, 29]",[],"[32, 24, 67]","[4, 3]","[71, 58, 62, 43, 29]","[4, 32, 3, 24, 67]","[71, 58, 62, 43, 29]",[],"[32, 24, 67]","[4, 3]",5,0,3,2
2,10,5,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]","[55, 98, 67, 16, 57, 21, 26, 69, 51]",[1],0.7953551856801628,0.31109497145996134,4.093653765389909,0,0,"[67, 16, 57, 21, 26, 69, 51]","[1, 55, 98]","[67, 16, 57, 21, 26, 69, 51]","[1, 55, 98]","[67, 16, 57, 21, 26, 69, 51]",[],"[55, 98]",[1],2,0.5304886102676392,"{""0"": 1.940237045288086, ""1"": 4.117649078369141}",1,0,"[16, 57, 21, 69, 51]","[1, 55, 98, 67, 26]","[16, 57, 21, 69, 51]","[1, 55, 98, 67, 26]","[16, 57, 21, 69, 51]",[],"[55, 98, 67, 26]",[1],"[16, 57, 21, 69, 51]","[1, 55, 98, 67, 26]","[16, 57, 21, 69, 51]",[],"[55, 98, 67, 26]",[1],5,0,4,1
3,10,5,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]","[9, 81, 70, 41, 42, 68, 58, 20]","[4, 3]",0.9767630041764497,0.23398236308718046,3.7040911034085893,0,0,"[70, 41, 42, 68, 58, 20]","[4, 9, 3, 81]","[70, 41, 42, 68, 58, 20]","[4, 9, 3, 81]","[70, 41, 42, 68, 58, 20]",[],"[9, 81]","[4, 3]",2,0.37182334065437317,"{""0"": 3.3952858448028564, ""1"": -1.0}",0,0,"[70, 41, 42, 58, 20]","[4, 9, 3, 81, 68]","[70, 41, 42, 58, 20]","[4, 9, 3, 81, 68]","[70, 41, 42, 58, 20]",[],"[9, 81, 68]","[4, 3]","[70, 41, 42, 58, 20]","[4, 9, 3, 81, 68]","[70, 41, 42, 58, 20]",[],"[9, 81, 68]","[4, 3]",5,0,3,2
4,10,5,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]","[99, 88, 15, 12, 44, 82, 47, 81, 49]",[3],0.7926599693645003,0.19377249519738537,3.351600230178197,0,0,"[15, 12, 44, 82, 47, 81, 49]","[3, 99, 88]","[15, 12, 44, 82, 47, 81, 49]","[3, 99, 88]","[15, 12, 44, 82, 47, 81, 49]",[],"[99, 88]",[3],2,0.43773525953292847,"{""0"": 4.36331033706665, ""1"": -1.0}",0,0,"[15, 12, 44, 82, 81, 49]","[3, 99, 88, 47]","[15, 12, 44, 82, 81, 49]","[3, 99, 88, 47]","[15, 12, 44, 82, 81, 49]",[],"[99, 88, 47]",[3],"[15, 12, 44, 82, 81, 49]","[3, 99, 88, 47]","[15, 12, 44, 82, 81, 49]",[],"[99, 88, 47]",[3],6,0,3,1
5,10,5,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]","[40, 80, 31, 43, 56, 84, 45, 95, 90]",[4],1.0062825432940747,0.3712246156713532,3.032653298563167,0,0,"[31, 43, 56, 84, 45, 95, 90]","[4, 40, 80]","[31, 43, 56, 84, 45, 95, 90]","[4, 40, 80]","[31, 43, 56, 84, 45, 95, 90]",[],"[40, 80]",[4],2,0.5894731879234314,"{""0"": 4.365190029144287, ""1"": -1.0}",0,0,"[43, 56, 84, 45, 95, 90]","[4, 40, 80, 31]","[43, 56, 84, 45, 95, 90]","[4, 40, 80, 31]","[43, 56, 84, 45, 95, 90]",[],"[40, 80, 31]",[4],"[43, 56, 84, 45, 95, 90]","[4, 40, 80, 31]","[43, 56, 84, 45, 95, 90]",[],"[40, 80, 31]",[4],6,0,3,1
6,10,5,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[83, 82, 79, 81, 91, 53, 52, 90, 32]",[2],0.8574718205666515,0.4038442759244454,2.744058180470132,0,0,"[79, 81, 91, 53, 52, 90, 32]","[2, 83, 82]","[79, 81, 91, 53, 52, 90, 32]","[2, 83, 82]","[79, 81, 91, 53, 52, 90, 32]",[],"[83, 82]",[2],2,0.37619689106941223,"{""0"": 4.442739486694336, ""1"": 1.830719232559204}",0,0,"[81, 91, 53, 90, 32]","[2, 83, 82, 79, 52]","[81, 91, 53, 90, 32]","[2, 83, 82, 79, 52]","[81, 91, 53, 90, 32]",[],"[83, 82, 79, 52]",[2],"[81, 91, 53, 90, 32]","[2, 83, 82, 79, 52]","[81, 91, 53, 90, 32]",[],"[83, 82, 79, 52]",[2],5,0,4,1
7,10,5,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]","[10, 64, 76, 65, 15, 51, 53, 69]","[1, 2]",3.1644025508475,2.6333412457832055,2.4829265189570475,0,0,"[10, 64, 15, 51, 53, 69]","[1, 2, 76, 65]","[10, 64, 15, 51, 53, 69]","[1, 2, 76, 65]","[10, 64, 15, 51, 53, 69]",[],"[76, 65]","[1, 2]",2,0.5150032639503479,"{""0"": 4.3730549812316895, ""1"": -1.0}",0,0,"[64, 15, 51, 53, 69]","[1, 10, 2, 76, 65]","[64, 15, 51, 53, 69]","[1, 10, 2, 76, 65]","[64, 15, 51, 53, 69]",[],"[10, 76, 65]","[1, 2]","[64, 15, 51, 53, 69]","[1, 10, 2, 76, 65]","[64, 15, 51, 53, 69]",[],"[10, 76, 65]","[1, 2]",5,0,3,2
8,10,5,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]","[29, 54, 14, 17, 57, 52, 76, 65, 58]",[2],0.8346676374410733,0.4209900493832773,2.246644820586108,0,0,"[14, 17, 57, 52, 76, 65, 58]","[2, 29, 54]","[14, 17, 57, 52, 76, 65, 58]","[2, 29, 54]","[14, 17, 57, 52, 76, 65, 58]",[],"[29, 54]",[2],2,0.5101315379142761,"{""0"": 5.0799784660339355, ""1"": -1.0}",0,0,"[14, 57, 52, 76, 65, 58]","[2, 29, 54, 17]","[14, 57, 52, 76, 65, 58]","[2, 29, 54, 17]","[14, 57, 52, 76, 65, 58]",[],"[29, 54, 17]",[2],"[14, 57, 52, 76, 65, 58]","[2, 29, 54, 17]","[14, 57, 52, 76, 65, 58]",[],"[29, 54, 17]",[2],6,0,3,1
9,10,5,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]","[23, 49, 11, 34, 99, 33, 58, 12, 54]",[2],1.0190961821556745,0.4743491871373882,2.0328482987029957,0,0,"[11, 34, 99, 33, 58, 12, 54]","[2, 23, 49]","[11, 34, 99, 33, 58, 12, 54]","[2, 23, 49]","[11, 34, 99, 33, 58, 12, 54]",[],"[23, 49]",[2],2,0.7275334596633911,"{""0"": 5.527804374694824, ""1"": -1.0}",0,0,"[11, 34, 99, 33, 58, 12]","[2, 23, 49, 54]","[11, 34, 99, 33, 58, 12]","[2, 23, 49, 54]","[11, 34, 99, 33, 58, 12]",[],"[23, 49, 54]",[2],"[11, 34, 99, 33, 58, 12]","[2, 23, 49, 54]","[11, 34, 99, 33, 58, 12]",[],"[23, 49, 54]",[2],6,0,3,1
10,10,5,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]","[65, 63, 55, 18, 78, 25, 71, 57]","[4, 2]",3.6392341493611946,3.130671123550949,2.0,0,0,"[63, 55, 18, 78, 25, 71, 57]","[4, 65, 2]","[63, 55, 18, 78, 25, 71, 57]","[4, 65, 2]","[63, 55, 18, 78, 25, 71, 57]",[],[65],"[4, 2]",2,0.6186374425888062,"{""0"": 5.818391799926758, ""1"": -1.0}",0,0,"[63, 55, 18, 78, 71, 57]","[4, 65, 2, 25]","[63, 55, 18, 78, 71, 57]","[4, 65, 2, 25]","[63, 55, 18, 78, 71, 57]",[],"[65, 25]","[4, 2]","[63, 55, 18, 78, 71, 57]","[4, 65, 2, 25]","[63, 55, 18, 78, 71, 57]",[],"[65, 25]","[4, 2]",6,0,2,2
