epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999999403953552,554.5449829101562,10.52,91.28
102,0.9999999403953552,1198.5325927734375,9.89,91.19
103,1.0,2392.5927734375,9.2,91.31
104,0.9999999403953552,2933.72119140625,9.83,91.29
105,1.0,3881.81396484375,10.08,91.13
106,1.0,4369.27685546875,9.520000000000001,90.69
107,1.0,4999.84814453125,9.89,91.14
108,1.0,5813.77685546875,8.67,90.21000000000001
109,1.0,6721.6201171875,9.66,90.92
110,0.9999998807907104,7316.41455078125,9.84,91.21000000000001
111,1.0,7879.9033203125,10.25,90.75999999999999
112,1.0,8760.9140625,9.98,91.42
113,1.0,9431.734375,9.84,91.34
114,0.9999998807907104,10035.47265625,9.66,91.23
115,1.0,10876.234375,11.799999999999999,90.06
116,1.0,11833.271484375,10.39,91.4
117,1.0,12481.7314453125,9.32,91.5
118,0.9999998807907104,13210.689453125,9.07,89.23
119,1.0,13769.70703125,10.22,90.42999999999999
120,1.0,14807.2421875,9.58,91.43
121,1.0,15451.23046875,9.77,91.56
122,1.0,16265.1591796875,9.9,90.8
123,1.0,16900.201171875,9.43,91.32000000000001
124,1.0,17405.552734375,6.58,88.06
125,1.0,18537.00390625,10.89,91.25
126,1.0,19028.9375,10.16,91.82000000000001
127,1.0,19932.30859375,10.09,91.38
128,1.0,20625.490234375,8.6,91.22
129,0.9999998807907104,21341.033203125,9.89,91.92
130,1.0,21908.994140625,9.13,91.78
131,1.0,22575.341796875,9.77,91.67999999999999
132,1.0,23711.265625,7.55,87.5
133,0.9999998807907104,24507.3046875,9.66,91.35
134,1.0,24596.748046875,6.98,87.13
135,1.0,25924.97265625,8.33,90.88000000000001
136,1.0,26439.267578125,9.87,91.12
137,1.0,27257.66796875,9.700000000000001,91.32000000000001
138,1.0,27633.326171875,8.7,91.13
139,0.9999998807907104,29006.275390625,9.01,90.92
140,1.0,29390.876953125,9.53,91.75
141,1.0,29882.8125,8.72,89.72
142,1.0,30611.771484375,9.29,90.49000000000001
143,1.0,31904.21875,9.51,89.68
144,1.0,32230.68359375,10.03,91.38
145,1.0,33111.6953125,9.47,89.64999999999999
146,0.9999998807907104,33523.1328125,9.0,90.62
147,0.9999998807907104,34538.3046875,11.15,89.73
148,1.0,35481.92578125,9.42,89.63
149,1.0,36201.94140625,8.61,90.19
150,1.0,36617.84765625,8.200000000000001,90.59
151,1.0,37579.359375,9.01,91.69
152,1.0,38321.734375,10.100000000000001,91.69
153,1.0,38818.140625,8.870000000000001,90.44
154,1.0,39806.48046875,9.229999999999999,86.11
155,1.0,40320.77734375,9.2,88.94
156,0.9999998807907104,41398.5625,10.08,90.64
157,1.0,41979.9375,9.34,91.46
158,1.0,42722.31640625,8.89,91.22
159,1.0,43491.5234375,10.67,90.16
160,1.0,44394.89453125,9.09,89.99000000000001
161,1.0,44998.6328125,8.98,91.27
162,1.0,45879.640625,10.040000000000001,91.27
163,0.9999998807907104,46599.66015625,10.75,91.29
164,0.9999998807907104,47011.09375,9.55,90.36999999999999
165,1.0,47789.2421875,7.75,87.47
166,1.0,48509.2578125,10.84,90.55
167,1.0,49332.1328125,9.62,91.28
168,0.9999998807907104,49980.58984375,9.92,91.33
169,0.9999998807907104,51089.6796875,10.31,91.55
170,0.9999998807907104,51666.5859375,9.28,91.32000000000001
171,1.0,52279.26953125,9.569999999999999,90.14
172,1.0,53133.44921875,9.65,91.36999999999999
173,1.0,53871.34765625,9.31,91.34
174,1.0,54899.94140625,10.56,90.46
175,1.0,55709.3984375,9.569999999999999,91.17
176,1.0,56509.91015625,9.32,88.89
177,1.0,57024.20703125,8.51,91.12
