epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,630.5713500976562,9.67,91.47
102,1.0,1122.50634765625,10.22,90.45
103,1.0,1936.434814453125,10.14,91.25
104,1.0,2942.66552734375,9.86,91.49000000000001
105,1.0,3649.262939453125,10.100000000000001,91.56
106,1.0,4266.41748046875,9.67,91.25999999999999
107,1.0,5093.7626953125,9.81,91.53
108,1.0,5974.7734375,10.35,91.59
109,1.0,6319.1279296875,8.93,91.08000000000001
110,0.9999998807907104,7034.669921875,9.75,91.4
111,1.0,7718.90673828125,9.66,91.66
112,1.0,8582.0283203125,9.75,91.24
113,1.0,9686.646484375,12.479999999999999,90.35
114,1.0,10129.3876953125,9.950000000000001,91.61
115,1.0,10889.6513671875,10.18,91.34
116,1.0,11730.4130859375,10.459999999999999,91.85
117,1.0,12423.59375,9.700000000000001,91.60000000000001
118,1.0,13094.4140625,9.44,91.82000000000001
119,1.0,14029.0908203125,9.4,91.45
120,1.0,14766.9931640625,10.18,90.8
121,1.0,15495.951171875,10.02,90.63
122,1.0,16215.96484375,9.85,91.74
123,1.0,16783.92578125,9.62,91.29
124,1.0,18134.51171875,9.46,90.91
125,1.0,18635.390625,9.16,91.47
126,1.0,19368.8203125,10.299999999999999,90.79
127,1.0,20129.083984375,10.12,91.17
128,1.0,20768.599609375,9.69,91.67999999999999
129,1.0,21506.501953125,9.700000000000001,91.05
130,1.0,22360.6796875,9.229999999999999,91.85
131,1.0,22713.978515625,8.75,90.05
132,1.0,23684.431640625,9.67,90.95
133,1.0,24386.556640625,10.02,91.05
134,1.0,25178.126953125,10.23,91.22
135,1.0,25611.921875,10.14,90.96
136,1.0,26613.681640625,11.129999999999999,90.10000000000001
137,1.0,27177.169921875,9.98,90.72
138,1.0,28116.318359375,10.280000000000001,90.74
139,1.0,28764.779296875,9.67,91.14999999999999
140,1.0,29256.71484375,10.12,91.36
141,1.0,30151.140625,8.92,90.21000000000001
142,1.0,30567.048828125,8.73,89.61
143,1.0,31465.94921875,9.73,91.24
144,1.0,32253.044921875,7.82,85.67
145,1.0,32932.80859375,11.44,90.19
146,1.0,33710.9609375,7.03,90.10000000000001
147,1.0,34359.421875,9.91,91.01
148,1.0,35039.18359375,8.92,90.8
