epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
1,10,5,"[4, 32, 71, 58, 3, 24, 62, 67, 43, 29]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]",0.7452118981430402,0.14574378565825802,4.524187090179797,0,0,"[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]","[4, 3]","[32, 71, 58, 24, 62, 67, 43, 29]",[],[],"[4, 3]",2,0.2553302049636841,"{""0"": 1.9638564586639404, ""1"": 2.470116376876831}",1,0,"[71, 58, 67, 43]","[4, 32, 3, 24, 62, 29]","[71, 58, 67, 43]","[4, 32, 3, 24, 62, 29]","[71, 58, 67, 43]",[],"[32, 24, 62, 29]","[4, 3]","[71, 58, 67, 43]","[4, 32, 3, 24, 62, 29]","[71, 58, 67, 43]",[],"[32, 24, 62, 29]","[4, 3]",4,0,4,2
2,10,5,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],0.6416868045711059,0.13672341489015005,4.093653765389909,0,0,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[],[],[3],4,0.408860981464386,"{""0"": 3.1860125064849854, ""1"": 1.7409932613372803, ""2"": -1.0, ""3"": -1.0}",0,0,"[72, 37, 93, 74, 22]","[3, 73, 99, 20, 15]","[72, 37, 93, 74, 22]","[3, 73, 99, 20, 15]","[72, 37, 93, 74, 22]",[],"[73, 99, 20, 15]",[3],"[72, 37, 93, 74, 22]","[3, 73, 99, 20, 15]","[72, 37, 93, 74, 22]",[],"[73, 99, 20, 15]",[3],5,0,4,1
3,10,5,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]",0.9782071991491808,0.28925864684850494,3.7040911034085893,0,0,"[2, 11, 29, 61, 14, 62, 31, 55, 89]",[0],"[2, 11, 29, 61, 14, 62, 31, 55, 89]",[0],"[11, 29, 61, 14, 62, 31, 55, 89]",[2],[],[0],3,0.6603550910949707,"{""0"": 5.907175540924072, ""1"": -1.0, ""2"": -1.0}",0,0,"[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]",[],[31],"[2, 0]","[11, 29, 61, 14, 62, 55, 89]","[2, 31, 0]","[11, 29, 61, 14, 62, 55, 89]",[],[31],"[2, 0]",7,0,1,2
4,10,5,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],0.8586417573645455,0.2603919690005474,3.351600230178197,0,0,"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[1],"[73, 5, 68, 48, 28, 53, 72, 34, 88]",[],[],[1],3,0.6671236157417297,"{""0"": 5.530221939086914, ""1"": -1.0, ""2"": -1.0}",0,0,"[73, 5, 68, 28, 53, 72, 34]","[1, 48, 88]","[73, 5, 68, 28, 53, 72, 34]","[1, 48, 88]","[73, 5, 68, 28, 53, 72, 34]",[],"[48, 88]",[1],"[73, 5, 68, 28, 53, 72, 34]","[1, 48, 88]","[73, 5, 68, 28, 53, 72, 34]",[],"[48, 88]",[1],7,0,2,1
5,10,5,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],0.6427200828006747,0.06016357199241329,3.032653298563167,0,0,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[],[],[4],2,0.5494455695152283,"{""0"": 3.944113254547119, ""1"": -1.0}",0,0,"[27, 55, 98, 16, 57, 21, 26, 69]","[4, 67]","[27, 55, 98, 16, 57, 21, 26, 69]","[4, 67]","[27, 55, 98, 16, 57, 21, 26, 69]",[],[67],[4],"[27, 55, 98, 16, 57, 21, 26, 69]","[4, 67]","[27, 55, 98, 16, 57, 21, 26, 69]",[],[67],[4],8,0,1,1
6,10,5,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],1.0987971370277294,0.12270261881487055,2.744058180470132,0,0,"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[],[],[3],2,0.7156396508216858,"{""0"": 4.265257835388184, ""1"": -1.0}",0,0,"[55, 44, 86, 53, 6, 52, 61, 62]","[3, 48]","[55, 44, 86, 53, 6, 52, 61, 62]","[3, 48]","[55, 44, 86, 53, 6, 52, 61, 62]",[],[48],[3],"[55, 44, 86, 53, 6, 52, 61, 62]","[3, 48]","[55, 44, 86, 53, 6, 52, 61, 62]",[],[48],[3],8,0,1,1
7,10,5,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],1.0292705102999729,0.18635311426833684,2.4829265189570475,0,0,"[73, 46, 58, 32, 95, 42, 38, 13]","[2, 97]","[73, 46, 58, 32, 95, 42, 38, 13]","[2, 97]","[73, 46, 58, 32, 95, 42, 38, 13]",[],[97],[2],2,0.5144302248954773,"{""0"": 3.4415197372436523, ""1"": -1.0}",0,0,"[73, 46, 58, 32, 42, 38, 13]","[2, 95, 97]","[73, 46, 58, 32, 42, 38, 13]","[2, 95, 97]","[73, 46, 58, 32, 42, 38, 13]",[],"[95, 97]",[2],"[73, 46, 58, 32, 42, 38, 13]","[2, 95, 97]","[73, 46, 58, 32, 42, 38, 13]",[],"[95, 97]",[2],7,0,2,1
8,10,5,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],0.8533931231262761,0.1662473083273362,2.246644820586108,0,0,"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[],[],[0],3,0.5675408840179443,"{""0"": 3.6402156352996826, ""1"": 1.866033911705017, ""2"": 1.9729297161102295}",0,0,"[41, 96, 86, 57, 85]","[0, 97, 82, 62, 17]","[41, 96, 86, 57, 85]","[0, 97, 82, 62, 17]","[41, 96, 86, 57, 85]",[],"[97, 82, 62, 17]",[0],"[41, 96, 86, 57, 85]","[0, 97, 82, 62, 17]","[41, 96, 86, 57, 85]",[],"[97, 82, 62, 17]",[0],5,0,4,1
9,10,5,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]",1.0459165526903513,0.1294480597340173,2.0328482987029957,0,0,"[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]","[38, 6, 23, 43, 89, 96, 69, 84]","[2, 1]","[38, 6, 23, 43, 89, 96, 69, 84]",[],[],"[2, 1]",2,0.5402428507804871,"{""0"": 5.334890365600586, ""1"": -1.0}",0,0,"[38, 6, 23, 43, 89, 96, 84]","[2, 1, 69]","[38, 6, 23, 43, 89, 96, 84]","[2, 1, 69]","[38, 6, 23, 43, 89, 96, 84]",[],[69],"[2, 1]","[38, 6, 23, 43, 89, 96, 84]","[2, 1, 69]","[38, 6, 23, 43, 89, 96, 84]",[],[69],"[2, 1]",7,0,1,2
10,10,5,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]",0.8297528795818403,0.17443376543710004,2.0,0,0,"[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","[95, 65, 71, 9, 81, 70, 41, 42]",[],[],"[4, 3]",2,0.5323473215103149,"{""0"": 5.259305477142334, ""1"": -1.0}",0,0,"[95, 65, 71, 9, 81, 70, 41]","[4, 3, 42]","[95, 65, 71, 9, 81, 70, 41]","[4, 3, 42]","[95, 65, 71, 9, 81, 70, 41]",[],[42],"[4, 3]","[95, 65, 71, 9, 81, 70, 41]","[4, 3, 42]","[95, 65, 71, 9, 81, 70, 41]",[],[42],"[4, 3]",7,0,1,2
