,main,main_loss,backdoor,backdoor_loss,lr
1,10.0,0.0027991974115371705,0.0,0.004392594623565674,0.002
2,10.0,,0.0,,0.002
3,10.0,,0.0,,0.002
4,10.0,,0.0,,0.002
5,10.0,,0.0,,0.002
6,10.0,,0.0,,0.002
7,10.0,,0.0,,0.002
8,10.0,,0.0,,0.002
9,10.0,,0.0,,0.002
10,10.0,,0.0,,0.002
11,10.0,,0.0,,0.002
12,10.0,,0.0,,0.002
13,10.0,,0.0,,0.002
14,10.0,,0.0,,0.002
15,10.0,,0.0,,0.002
16,10.0,,0.0,,0.002
17,10.0,,0.0,,0.002
18,10.0,,0.0,,0.002
19,10.0,,0.0,,0.002
20,10.0,,0.0,,0.002
21,10.0,,0.0,,0.002
22,10.0,,0.0,,0.002
23,10.0,,0.0,,0.002
24,10.0,,0.0,,0.002
25,10.0,,0.0,,0.002
26,10.0,,0.0,,0.002
27,10.0,,0.0,,0.002
28,10.0,,0.0,,0.002
29,10.0,,0.0,,0.002
30,10.0,,0.0,,0.002
31,10.0,,0.0,,0.002
32,10.0,,0.0,,0.002
33,10.0,,0.0,,0.002
34,10.0,,0.0,,0.002
35,10.0,,0.0,,0.002
36,10.0,,0.0,,0.002
37,10.0,,0.0,,0.002
38,10.0,,0.0,,0.002
39,10.0,,0.0,,0.002
40,10.0,,0.0,,0.002
41,10.0,,0.0,,0.002
42,10.0,,0.0,,0.002
43,10.0,,0.0,,0.002
44,10.0,,0.0,,0.002
45,10.0,,0.0,,0.002
46,10.0,,0.0,,0.002
47,10.0,,0.0,,0.002
48,10.0,,0.0,,0.002
49,10.0,,0.0,,0.002
50,10.0,,0.0,,0.002
51,10.0,,0.0,,0.002
52,10.0,,0.0,,0.002
53,10.0,,0.0,,0.002
54,10.0,,0.0,,0.002
55,10.0,,0.0,,0.002
56,10.0,,0.0,,0.002
57,10.0,,0.0,,0.002
58,10.0,,0.0,,0.002
59,10.0,,0.0,,0.002
60,10.0,,0.0,,0.002
61,10.0,,0.0,,0.002
62,10.0,,0.0,,0.002
63,10.0,,0.0,,0.002
64,10.0,,0.0,,0.002
65,10.0,,0.0,,0.002
66,10.0,,0.0,,0.002
67,10.0,,0.0,,0.002
68,10.0,,0.0,,0.002
69,10.0,,0.0,,0.002
70,10.0,,0.0,,0.002
71,10.0,,0.0,,0.002
72,10.0,,0.0,,0.002
73,10.0,,0.0,,0.002
74,10.0,,0.0,,0.002
75,10.0,,0.0,,0.002
76,10.0,,0.0,,0.002
77,10.0,,0.0,,0.002
78,10.0,,0.0,,0.002
79,10.0,,0.0,,0.002
80,10.0,,0.0,,0.002
81,10.0,,0.0,,0.002
82,10.0,,0.0,,0.002
83,10.0,,0.0,,0.002
84,10.0,,0.0,,0.002
85,10.0,,0.0,,0.002
86,10.0,,0.0,,0.002
87,10.0,,0.0,,0.002
88,10.0,,0.0,,0.002
89,10.0,,0.0,,0.002
90,10.0,,0.0,,0.002
91,10.0,,0.0,,0.002
92,10.0,,0.0,,0.002
93,10.0,,0.0,,0.002
94,10.0,,0.0,,0.002
95,10.0,,0.0,,0.002
96,10.0,,0.0,,0.002
97,10.0,,0.0,,0.002
98,10.0,,0.0,,0.002
99,10.0,,0.0,,0.002
100,10.0,,0.0,,0.002
101,10.0,,0.0,,0.002
102,10.0,,0.0,,0.002
103,10.0,,0.0,,0.002
104,10.0,,0.0,,0.002
105,10.0,,0.0,,0.002
106,10.0,,0.0,,0.002
107,10.0,,0.0,,0.002
108,10.0,,0.0,,0.002
109,10.0,,0.0,,0.002
110,10.0,,0.0,,0.002
111,10.0,,0.0,,0.002
112,10.0,,0.0,,0.002
113,10.0,,0.0,,0.002
114,10.0,,0.0,,0.002
115,10.0,,0.0,,0.002
116,10.0,,0.0,,0.002
117,10.0,,0.0,,0.002
118,10.0,,0.0,,0.002
