epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,737.9025268554688,99.03,92.22
102,1.0,1453.4442138671875,97.95,92.4
103,0.9999998807907104,2173.4580078125,98.6,92.5
104,0.9999998807907104,2996.3310546875,98.61999999999999,92.47
105,1.0,3640.318603515625,97.42,92.51
106,1.0,4355.8603515625,97.53,92.49000000000001
107,0.9999998807907104,5165.31689453125,97.81,92.19000000000001
108,0.9999998807907104,5916.6357421875,98.45,92.03
109,1.0,6574.0400390625,95.75,92.47
110,1.0,7285.109375,97.06,92.34
111,0.9999998807907104,8031.9560546875,92.54,92.31
112,1.0,8751.9697265625,96.24000000000001,92.2
113,1.0,9565.8984375,97.49,92.25
114,0.9999998807907104,10281.4404296875,94.36,92.4
115,0.9999998807907104,10970.1494140625,97.41,92.42
116,1.0,11752.7734375,95.87,92.46
117,1.0,12629.3115234375,96.76,92.36999999999999
118,1.0,13358.2705078125,97.54,92.29
119,1.0,14136.421875,96.6,92.31
120,1.0,14851.9638671875,96.61999999999999,92.29
121,1.0,15625.642578125,95.25,92.36999999999999
122,1.0,16309.8798828125,96.15,92.41
123,1.0,17088.03125,95.48,92.39
124,1.0,17919.849609375,94.88,92.25999999999999
125,0.9999998807907104,18626.4453125,96.32,92.29
126,1.0,19265.9609375,96.25,92.25
127,1.0,19994.919921875,95.8,92.28
128,0.9999998807907104,20808.84765625,93.57,92.30000000000001
129,1.0,21613.83203125,93.94,92.33
130,0.9999998807907104,22356.20703125,94.15,92.41
131,1.0,23111.998046875,94.27,92.30000000000001
132,0.9999998807907104,23809.65234375,91.59,92.38
133,1.0,24516.25,93.91000000000001,92.33
134,1.0,25249.6796875,91.72,92.38
135,1.0,25942.859375,91.62,92.16
136,1.0,26671.818359375,89.83,92.24
137,1.0,27387.361328125,93.44,92.35
138,0.9999998807907104,28111.84765625,93.67,92.34
139,1.0,28840.8046875,93.96,92.25
140,1.0,29449.015625,94.57,92.49000000000001
141,1.0,30182.4453125,93.5,92.36
142,1.0,30839.849609375,93.14,92.46
143,1.0,31492.78125,91.10000000000001,92.29
144,1.0,32284.349609375,91.03999999999999,92.39
145,1.0,32973.05859375,91.52,92.39
146,1.0,33795.9296875,89.03,92.41
147,1.0,34623.27734375,91.07,92.47999999999999
148,1.0,35370.125,90.64999999999999,92.2
149,1.0,36255.60546875,90.38000000000001,92.27
150,1.0,37020.33984375,91.12,92.27
151,1.0,37709.05078125,88.75999999999999,92.29
152,1.0,38339.62109375,89.42,92.36
153,1.0,39010.44140625,88.8,92.17
154,1.0,39766.23046875,86.77,92.27
155,1.0,40459.4140625,84.83000000000001,92.41
156,0.9999998807907104,41197.31640625,88.36,92.43
157,1.0,41930.74609375,88.62,92.19000000000001
158,0.9999998807907104,42682.06640625,87.3,92.33
159,1.0,43589.91015625,86.65,92.34
160,0.9999998807907104,44426.19921875,88.51,92.33
161,0.9999998807907104,45208.82421875,88.69,92.33
162,1.0,45919.89453125,89.29,92.34
163,1.0,46702.515625,83.48,92.38
164,1.0,47386.75390625,81.36,92.36999999999999
165,1.0,48196.20703125,85.78,92.55
166,0.9999998807907104,49005.6640625,86.64,92.19000000000001
167,1.0,49774.87109375,81.75,92.29
168,0.9999998807907104,50530.6640625,84.21,92.35
169,1.0,51201.484375,84.0,92.24
170,1.0,51778.38671875,85.8,92.34
171,1.0,52583.375,86.77,92.28
172,0.9999998807907104,53442.0234375,80.49,92.34
173,1.0,54126.26171875,80.22,92.44
174,0.9999998807907104,54926.7734375,75.71,92.39
175,0.9999999403953552,55740.703125,78.25999999999999,92.35
176,0.9999999403953552,56541.21484375,82.89,92.33
177,0.9999998807907104,57198.62109375,82.39,92.53
178,0.9999999403953552,57887.328125,78.74,92.11
179,0.9999999403953552,58647.58984375,78.25,92.25
180,0.9999998807907104,59488.3515625,80.43,92.23
181,0.9999999403953552,60194.953125,74.45,92.32000000000001
182,1.0,60964.15625,76.47,92.23
183,0.9999999403953552,61795.9765625,78.95,92.44
184,0.9999999403953552,62560.7109375,79.23,92.21000000000001
185,0.9999998807907104,63267.30859375,78.25999999999999,92.27
186,0.9999999403953552,64032.04296875,77.19,92.33
187,0.9999999403953552,64725.22265625,78.58000000000001,92.32000000000001
188,0.9999999403953552,65355.79296875,78.43,92.14
189,0.9999999403953552,66044.5,75.06,92.49000000000001
190,0.9999999403953552,66845.0234375,74.42999999999999,92.46
191,0.9999999403953552,67748.390625,75.12,92.36999999999999
192,0.9999999403953552,68535.484375,75.75,92.56
193,0.9999999403953552,69259.96875,75.16000000000001,92.28
194,0.9999999403953552,69984.453125,81.33,92.30000000000001
195,0.9999999403953552,70784.96875,75.64999999999999,92.29
196,0.9999999403953552,71625.7265625,73.38,92.25999999999999
197,0.9999999403953552,72309.96875,76.97,92.38
