epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""71"": 1.0, ""32"": 0.2988820588227298, ""58"": 0.2988820588227298, ""4"": 0.0, ""24"": 0.0, ""62"": 0.0, ""67"": 1.0, ""43"": 0.8819246326586903, ""29"": 0.3999941757237427}}"
2,foolsgold,foolsgold,"[73, 99, 15, 37, 93, 22]","[3, 72, 20, 74]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""73"": 1.0, ""72"": 0.0, ""99"": 0.16055425900834475, ""20"": 0.0, ""15"": 0.9338030054247821, ""37"": 1.0, ""93"": 1.0, ""74"": 0.0, ""22"": 0.16055425900834475}}"
3,foolsgold,foolsgold,"[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""11"": 1.0, ""29"": 0.4470681609995547, ""61"": 0.8718341480665508, ""14"": 0.0, ""62"": 0.4264930534547081, ""31"": 1.0, ""0"": 0.0, ""55"": 0.0, ""89"": 0.4264930534547081}}"
4,foolsgold,foolsgold,"[1, 73, 68, 53, 34, 88]","[5, 48, 28, 72]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""73"": 1.0, ""5"": 0.0, ""68"": 1.0, ""48"": 0.0, ""28"": 0.0, ""53"": 1.0, ""72"": 0.0, ""34"": 1.0, ""88"": 1.0}}"
5,foolsgold,foolsgold,"[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.2952115578886942, ""27"": 0.0, ""55"": 0.20924975062065782, ""98"": 0.0, ""67"": 1.0, ""16"": 0.2952115578886942, ""57"": 0.0, ""21"": 1.0, ""26"": 1.0, ""69"": 1.0}}"
6,foolsgold,foolsgold,"[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""55"": 1.0, ""44"": 0.0, ""86"": 0.0, ""53"": 0.2283438590234183, ""6"": 0.1542928694139013, ""52"": 0.7511769871163843, ""61"": 0.1542928694139013, ""62"": 0.0, ""48"": 1.0}}"
7,foolsgold,foolsgold,"[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""73"": 0.0, ""46"": 0.5826821537520507, ""58"": 0.728167106758616, ""32"": 0.728167106758616, ""95"": 1.0, ""97"": 1.0, ""42"": 0.0, ""38"": 0.5826821537520507, ""13"": 0.0}}"
8,foolsgold,foolsgold,[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""41"": 0.0, ""96"": 0.0, ""97"": 0.0, ""82"": 0.0, ""86"": 0.0, ""57"": 0.0, ""62"": 0.0, ""85"": 0.0, ""17"": 0.0}}"
9,foolsgold,foolsgold,"[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""1"": 0.0, ""38"": 0.0, ""6"": 0.0, ""23"": 0.9602258920030486, ""43"": 1.0, ""89"": 0.0, ""96"": 1.0, ""69"": 1.0, ""84"": 0.9602258920030486}}"
10,foolsgold,foolsgold,"[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""95"": 0.0, ""65"": 0.0, ""71"": 0.0, ""9"": 0.0, ""3"": 0.0, ""81"": 1.0, ""70"": 1.0, ""41"": 0.0, ""42"": 0.0}}"
11,foolsgold,foolsgold,"[58, 20, 38, 97]","[4, 28, 44, 63, 65, 47]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""58"": 1.0, ""20"": 0.7395729579965038, ""28"": 0.0, ""44"": 0.0, ""63"": 0.0, ""65"": 0.0, ""38"": 0.011935215531458487, ""97"": 1.0, ""47"": 0.0}}"
12,foolsgold,foolsgold,"[81, 20, 37, 15, 11, 48]","[3, 6, 68, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 1.0, ""20"": 0.2831146533363899, ""6"": 0.0, ""68"": 0.0, ""2"": 0.0, ""37"": 1.0, ""15"": 0.6061993652347044, ""11"": 1.0, ""48"": 1.0}}"
