epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.0366139172141902}"
1,rflbat,rflbat_cluster_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.12351689929433926]}"
1,rflbat,rflbat_final_distance_filter,"[71, 32, 58, 4, 24, 62, 67, 43, 29]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.5030109922915227}"
2,rflbat,rflbat_first_distance_filter,"[0, 30, 57, 86, 66, 85, 54, 99, 23, 53, 30, 57, 86, 66, 85, 54, 99, 23, 53]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.6303103183501566}"
2,rflbat,rflbat_cluster_filter,"[0, 30, 57, 86, 66, 85, 54, 99, 23, 53, 30, 57, 86, 66, 85, 54, 99, 23, 53]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.09640242448475114]}"
2,rflbat,rflbat_final_distance_filter,"[30, 57, 86, 66, 85, 54, 99, 23, 53]",[0],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.8279184872593336}"
3,rflbat,rflbat_first_distance_filter,"[2, 39, 9, 63, 48, 35, 87, 5, 13, 50, 39, 9, 63, 48, 35, 87, 5, 13, 50]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.4405345194178952}"
3,rflbat,rflbat_cluster_filter,"[39, 9, 63, 35, 87, 5, 13, 50, 39, 9, 63, 35, 87, 5, 13, 50]","[2, 48]","{""accepted_indices"": [1, 2, 3, 5, 6, 7, 8, 9, 1, 2, 3, 5, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.16097657869037535, 1, 1.0000000000014828]}"
3,rflbat,rflbat_final_distance_filter,"[39, 9, 63, 35, 87, 5, 13, 50]","[2, 48]","{""accepted_indices"": [1, 2, 3, 5, 6, 7, 8, 9, 1, 2, 3, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.08196781591820892}"
4,rflbat,rflbat_first_distance_filter,"[1, 98, 26, 62, 6, 55, 78, 43, 84, 14, 98, 26, 62, 6, 55, 78, 43, 84, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.3614708326118424}"
