epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,424.85296630859375,100.0,92.24
102,1.0,760.2631225585938,100.0,92.19000000000001
103,1.0,1131.450439453125,100.0,92.27
104,1.0,1507.10986328125,100.0,92.24
105,1.0,1846.9921875,100.0,92.22
106,1.0,2280.789306640625,100.0,92.19000000000001
107,0.9999998807907104,2736.947265625,100.0,92.17
108,1.0,3099.190185546875,100.0,92.21000000000001
109,1.0,3528.515380859375,100.0,92.09
110,1.0,3944.423828125,100.0,92.25999999999999
111,1.0,4346.916015625,100.0,92.19000000000001
112,1.0,4744.93603515625,99.99,92.22
113,1.0,5174.26123046875,99.99,92.07
114,1.0,5563.3369140625,99.99,92.2
115,1.0,5961.357421875,99.99,91.99000000000001
116,1.0,6319.1279296875,99.99,92.04
117,1.0,6654.5380859375,99.99,92.0
118,1.0,7048.08642578125,99.99,92.11
119,1.0,7481.88330078125,99.99,92.02
120,1.0,7862.01513671875,99.99,92.16
121,1.0,8161.64794921875,99.99,92.29
122,1.0,8523.8916015625,99.99,92.34
123,1.0,8868.2451171875,99.99,92.39
124,1.0,9351.236328125,99.99,92.30000000000001
125,1.0,9677.7021484375,99.99,92.30000000000001
126,1.0,10017.5849609375,99.99,92.15
127,1.0,10375.35546875,99.99,92.17999999999999
128,1.0,10768.9033203125,99.99,92.02
129,1.0,11193.7568359375,99.99,92.24
130,1.0,11609.6650390625,99.99,92.17
131,1.0,12012.1572265625,99.99,92.23
132,1.0,12374.400390625,99.99,92.42
133,1.0,12785.8369140625,99.99,92.13
134,1.0,13201.7451171875,99.99,92.29
135,1.0,13501.37890625,99.99,92.36
136,1.0,13903.87109375,99.99,92.31
137,1.0,14310.8349609375,99.99,92.19000000000001
138,1.0,14713.3271484375,99.99,92.24
139,1.0,15111.34765625,99.99,92.27
140,1.0,15545.14453125,99.99,92.33
141,1.0,16001.302734375,99.99,92.22
142,1.0,16399.322265625,99.99,92.15
143,1.0,16855.48046875,99.99,92.19000000000001
144,1.0,17231.140625,99.99,92.21000000000001
145,1.0,17629.16015625,99.99,92.19000000000001
146,1.0,18036.125,99.99,92.21000000000001
147,1.0,18447.560546875,99.99,92.34
148,1.0,18872.4140625,99.99,92.32000000000001
149,1.0,19234.65625,99.99,92.31
150,1.0,19605.84375,99.99,92.30000000000001
151,1.0,20030.697265625,99.99,92.08
152,1.0,20446.60546875,99.99,92.25
153,1.0,20907.234375,99.99,92.29
154,0.9999998807907104,21291.837890625,99.99,92.06
155,0.9999998807907104,21645.138671875,99.99,92.17
156,0.9999998807907104,21967.130859375,99.99,92.23
157,1.0,22329.375,99.99,92.31
158,1.0,22669.255859375,99.99,92.21000000000001
159,1.0,23013.611328125,99.99,92.22
160,1.0,23505.546875,99.99,92.14
161,1.0,23908.0390625,99.99,92.32000000000001
