epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,deepsight,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0001_deepsight.pkl
2,deepsight,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0002_deepsight.pkl
3,deepsight,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0003_deepsight.pkl
4,deepsight,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0004_deepsight.pkl
5,deepsight,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0005_deepsight.pkl
6,deepsight,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0006_deepsight.pkl
7,deepsight,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0007_deepsight.pkl
8,deepsight,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0008_deepsight.pkl
9,deepsight,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[2, 38, 6, 89]","[1, 23, 43, 96, 69, 84]",10,4,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0009_deepsight.pkl
10,deepsight,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[4, 95, 65, 71, 9, 81, 70, 41, 42]",[3],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0010_deepsight.pkl
11,deepsight,success,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0011_deepsight.pkl
12,deepsight,success,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0012_deepsight.pkl
13,deepsight,success,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0013_deepsight.pkl
14,deepsight,success,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[0, 67, 86, 16, 55, 99, 15, 12, 44]",[88],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0014_deepsight.pkl
15,deepsight,success,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jul.01_13.57.33_deepsight_fix_True_no-mia_no-mia-class_no-noise_a3fl/agg_records/pkl/round_0015_deepsight.pkl
