epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[71, 32, 58, 4, 24, 62, 67, 43, 29]",[3],"{""median_norm"": 0.675587331436304, ""mad"": 0.22795259942120388, ""k"": 4.524187090179797, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[71, 32, 58, 24, 62, 67, 43, 29]",[4],"{""best_k"": 2, ""best_score"": 0.7432025074958801, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.674088478088379, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[71, 32, 58, 24, 62, 67, 43, 29]",[],"{""base_clip"": 1.0, ""trust_weights"": {""71"": 0.1428571492433548, ""32"": 0.1428571492433548, ""58"": 0.1428571492433548, ""24"": 0.0, ""62"": 0.1428571492433548, ""67"": 0.1428571492433548, ""43"": 0.1428571492433548, ""29"": 0.1428571492433548}, ""num_aggregated"": 8}"
2,apra,apra_mad_filter,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"{""median_norm"": 0.5247925494904726, ""mad"": 0.0806723600578568, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[99, 20, 15, 37, 93, 74, 22]","[73, 72]","{""best_k"": 3, ""best_score"": 0.6185986995697021, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.711217403411865, ""1"": -1.0, ""2"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[99, 20, 15, 37, 93, 74, 22]",[],"{""base_clip"": 1.0, ""trust_weights"": {""99"": 0.1666666716337204, ""20"": 0.1666666716337204, ""15"": 0.0, ""37"": 0.1666666716337204, ""93"": 0.1666666716337204, ""74"": 0.1666666716337204, ""22"": 0.1666666716337204}, ""num_aggregated"": 7}"
3,apra,apra_mad_filter,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","{""median_norm"": 0.8144313836811646, ""mad"": 0.16046991561620338, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[11, 29, 61, 14, 62, 55, 89]",[31],"{""best_k"": 2, ""best_score"": 0.704660177230835, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.819194793701172, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[11, 29, 61, 14, 62, 55, 89]",[],"{""base_clip"": 1.0, ""trust_weights"": {""11"": 0.0, ""29"": 0.25, ""61"": 0.25, ""14"": 0.0, ""62"": 0.0, ""55"": 0.25, ""89"": 0.25}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","{""median_norm"": 0.7473037337313584, ""mad"": 0.0696995491134913, ""k"": 3.351600230178197, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[5, 68, 28, 53, 72, 34]","[73, 48]","{""best_k"": 3, ""best_score"": 0.6359463930130005, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.663750648498535, ""1"": -1.0, ""2"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[5, 68, 28, 53, 72, 34]",[],"{""base_clip"": 1.0, ""trust_weights"": {""5"": 0.0, ""68"": 0.20000000298023224, ""28"": 0.20000000298023224, ""53"": 0.20000000298023224, ""72"": 0.20000000298023224, ""34"": 0.20000000298023224}, ""num_aggregated"": 6}"
5,apra,apra_mad_filter,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"{""median_norm"": 0.6331977714849077, ""mad"": 0.06828500885420818, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[55, 98, 16, 57, 21, 26, 69]","[27, 67]","{""best_k"": 2, ""best_score"": 0.4853726029396057, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.6661458015441895, ""1"": 1.597733736038208}, ""num_trusted"": 7, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[55, 98, 16, 57, 21, 26, 69]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.0, ""98"": 0.179483562707901, ""16"": 0.179483562707901, ""57"": 0.179483562707901, ""21"": 0.179483562707901, ""26"": 0.14103282988071442, ""69"": 0.14103282988071442}, ""num_aggregated"": 7}"
