epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999998807907104,348.8268127441406,19.99,91.89
102,0.9999998807907104,746.8466796875,20.990000000000002,91.78
103,0.9999998807907104,970.45361328125,19.91,92.04
104,0.9999998807907104,1641.27392578125,20.580000000000002,91.84
105,0.9999998807907104,1918.5462646484375,20.380000000000003,92.13
106,0.9999998807907104,2258.4287109375,19.53,91.95
107,0.9999998807907104,2674.33740234375,19.139999999999997,91.67999999999999
108,0.9999998807907104,3117.078857421875,16.650000000000002,91.93
109,1.0,3448.016845703125,17.04,92.06
110,0.9999998807907104,3850.509033203125,18.39,91.91
111,1.0,4199.33544921875,18.91,92.08
112,0.9999998807907104,4758.3525390625,18.64,91.67
113,0.9999998807907104,5017.736328125,20.76,91.97
114,1.0,5442.58935546875,21.12,92.01
115,1.0,5822.72119140625,21.61,92.17999999999999
116,1.0,6274.40673828125,21.68,92.02
117,0.9999998807907104,6694.78759765625,20.74,92.01
118,1.0,7057.03076171875,18.61,92.08
119,1.0,7517.66064453125,21.9,92.06
120,1.0,7817.29345703125,21.77,91.94
121,0.9999999403953552,8219.7861328125,19.17,92.01
122,0.9999998807907104,8613.333984375,18.98,91.96
123,0.9999999403953552,8948.744140625,16.48,91.69
124,0.9999999403953552,9637.453125,17.26,91.67999999999999
125,0.9999999403953552,9856.587890625,16.48,92.0
126,0.9999999403953552,10272.49609375,18.759999999999998,92.08
127,1.0,10549.7685546875,18.240000000000002,91.94
128,0.9999999403953552,11059.5927734375,19.009999999999998,92.17999999999999
129,0.9999999403953552,11457.6123046875,18.529999999999998,91.97999999999999
130,0.9999998807907104,11900.3544921875,19.62,92.12
131,0.9999998807907104,12316.2626953125,23.07,86.24000000000001
132,0.9999998807907104,12633.7841796875,17.89,90.8
133,0.9999998807907104,12955.7783203125,19.91,91.09
134,0.9999998807907104,13425.3525390625,20.330000000000002,91.57
135,1.0,13814.4287109375,18.27,91.11
136,1.0,14073.8125,16.85,91.59
137,1.0,14449.4716796875,16.36,91.4
138,0.9999998807907104,14838.546875,21.45,91.44
139,1.0,15294.705078125,21.75,91.75
140,0.9999998807907104,15701.669921875,22.13,91.89
141,0.9999998807907104,16005.775390625,21.94,91.8
142,0.9999998807907104,16390.37890625,22.61,91.78
143,1.0,16721.31640625,21.709999999999997,91.86999999999999
144,1.0,17208.779296875,20.18,91.53
145,0.9999998807907104,17553.134765625,21.099999999999998,91.99000000000001
146,0.9999998807907104,17942.208984375,19.11,91.92
147,1.0,18340.228515625,20.74,92.07
148,0.9999998807907104,18760.609375,20.87,91.85
149,0.9999998807907104,19239.12890625,21.36,92.08
150,0.9999998807907104,19623.732421875,18.69,91.9
151,1.0,19981.50390625,19.05,91.78
152,1.0,20375.05078125,18.75,92.17
153,1.0,20661.267578125,19.72,92.13
154,0.9999998807907104,21139.787109375,20.02,91.35
155,0.9999998807907104,21430.474609375,19.33,92.03
156,0.9999998807907104,21828.49609375,19.470000000000002,91.92
157,0.9999998807907104,22226.515625,19.6,92.05
158,1.0,22637.953125,19.73,91.89
159,0.9999998807907104,23040.4453125,23.39,91.67999999999999
160,0.9999998807907104,23545.794921875,23.14,91.83
161,0.9999998807907104,23984.064453125,22.13,91.67999999999999
162,0.9999998807907104,24373.142578125,21.85,92.02
163,0.9999998807907104,24797.994140625,21.33,91.97
164,1.0,25093.154296875,19.900000000000002,91.97
165,0.9999998807907104,25562.728515625,19.950000000000003,91.75
166,1.0,25951.8046875,20.979999999999997,91.9
167,0.9999998807907104,26314.048828125,17.46,91.7
168,1.0,26801.509765625,19.05,91.97
169,0.9999998807907104,27119.033203125,19.220000000000002,91.92
170,0.9999998807907104,27418.6640625,17.91,92.13
171,0.9999998807907104,27865.87890625,20.06,91.86999999999999
172,1.0,28290.732421875,19.18,92.14
173,0.9999998807907104,28670.86328125,20.979999999999997,92.04
174,1.0,29095.716796875,17.89,92.29
175,1.0,29511.625,17.66,92.12
176,1.0,29976.7265625,20.25,92.0
177,0.9999998807907104,30267.416015625,17.95,91.77
178,1.0,30634.1328125,17.47,91.95
179,0.9999998807907104,30982.95703125,19.93,92.03
180,0.9999998807907104,31457.00390625,19.189999999999998,92.04
181,0.9999998807907104,31837.134765625,18.32,92.10000000000001
182,0.9999998807907104,32302.23828125,19.97,92.01
183,1.0,32776.28515625,20.18,91.97999999999999
184,0.9999998807907104,33062.5,22.28,91.74
185,0.9999998807907104,33451.578125,19.38,92.05
186,1.0,33921.15234375,19.259999999999998,92.10000000000001
187,0.9999998807907104,34323.64453125,17.47,92.05
188,0.9999998807907104,34574.08203125,18.970000000000002,91.95
189,0.9999998807907104,34891.60546875,19.53,92.13
190,0.9999998807907104,35303.04296875,20.0,91.8
191,0.9999998807907104,35830.75390625,19.009999999999998,92.10000000000001
192,0.9999998807907104,36327.16015625,19.689999999999998,91.94
193,0.9999998807907104,36626.79296875,19.6,91.64999999999999
194,0.9999998807907104,37006.92578125,20.94,92.07
195,0.9999998807907104,37440.72265625,21.11,92.27
196,0.9999998807907104,37776.1328125,15.25,91.92
197,0.9999998807907104,38151.79296875,19.74,92.05
198,0.9999998807907104,38616.89453125,18.060000000000002,91.89
199,0.9999998807907104,38983.609375,19.689999999999998,92.22
200,0.9999998807907104,39475.54296875,18.88,91.95
201,0.9999998807907104,40021.14453125,19.439999999999998,92.0
202,0.9999998807907104,40204.5,19.1,91.9
203,0.9999998807907104,40571.21875,18.459999999999997,91.78
204,0.9999998807907104,40933.4609375,19.49,92.17
205,0.9999998807907104,41282.28515625,19.27,92.07
206,0.9999998807907104,41622.16796875,17.04,91.9
207,0.9999998807907104,42060.44140625,20.28,91.89
208,0.9999998807907104,42512.125,20.979999999999997,91.85
209,0.9999998807907104,42928.03125,20.919999999999998,92.03
210,0.9999998807907104,43267.9140625,19.8,92.05
211,0.9999998807907104,43594.3828125,20.09,91.97999999999999
212,0.9999998807907104,44059.484375,19.93,92.09
213,0.9999998807907104,44368.0625,19.59,92.10000000000001
214,0.9999998807907104,44824.21875,20.119999999999997,92.01
215,0.9999998807907104,45307.20703125,19.35,92.14
216,0.9999998807907104,45606.83984375,20.27,91.83
217,0.9999998807907104,46058.52734375,20.07,91.97
218,0.9999998807907104,46456.55078125,20.36,91.91
219,0.9999998807907104,46805.375,18.27,91.92
220,0.9999998807907104,47194.453125,18.990000000000002,92.03
221,0.9999998807907104,47538.8046875,20.09,92.08
222,0.9999998807907104,47865.2734375,19.8,91.99000000000001
223,0.9999998807907104,48299.06640625,17.87,92.09
224,0.9999999403953552,48822.30859375,18.96,92.07
225,0.9999998807907104,49197.96875,20.39,91.99000000000001
226,0.9999998807907104,49569.15625,19.650000000000002,92.07
227,0.9999998807907104,49940.34375,20.979999999999997,91.89
228,0.9999998807907104,50423.33203125,19.28,92.03
229,0.9999998807907104,50812.40625,18.790000000000003,92.10000000000001
230,0.9999998807907104,51299.87109375,19.61,92.0
231,0.9999998807907104,51590.55859375,20.380000000000003,91.95
232,0.9999998807907104,52100.3828125,19.830000000000002,91.85
233,0.9999999403953552,52404.48828125,18.07,92.01
234,0.9999998807907104,52695.1796875,20.04,92.07
