epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[71, 32, 58, 4, 24, 62, 67, 43, 29]",[3],"{""median_norm"": 0.7099946825017343, ""mad"": 0.20383832697989518, ""k"": 4.524187090179797, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[71, 32, 58, 24, 62, 67, 43, 29]",[4],"{""best_k"": 2, ""best_score"": 0.7610056400299072, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.567676067352295, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[71, 32, 58, 24, 62, 67, 43, 29]",[],"{""base_clip"": 1.0, ""trust_weights"": {""71"": 0.0, ""32"": 0.0, ""58"": 0.21662479639053345, ""24"": 0.0, ""62"": 0.21662479639053345, ""67"": 0.0, ""43"": 0.28337520360946655, ""29"": 0.28337520360946655}, ""num_aggregated"": 8}"
2,apra,apra_mad_filter,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"{""median_norm"": 0.550440584094761, ""mad"": 0.08458554640860544, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[72, 99, 20, 15, 37, 93, 74, 22]",[73],"{""best_k"": 2, ""best_score"": 0.6238232254981995, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.731339931488037, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[72, 99, 20, 15, 37, 93, 74, 22]",[],"{""base_clip"": 1.0, ""trust_weights"": {""72"": 0.0, ""99"": 0.1666666716337204, ""20"": 0.1666666716337204, ""15"": 0.0, ""37"": 0.1666666716337204, ""93"": 0.1666666716337204, ""74"": 0.1666666716337204, ""22"": 0.1666666716337204}, ""num_aggregated"": 8}"
3,apra,apra_mad_filter,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","{""median_norm"": 0.817426306240129, ""mad"": 0.16140161936445369, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[11, 29, 61, 14, 62, 55, 89]",[31],"{""best_k"": 2, ""best_score"": 0.7096707224845886, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.80726957321167, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[11, 29, 61, 14, 62, 55, 89]",[],"{""base_clip"": 1.0, ""trust_weights"": {""11"": 0.0, ""29"": 0.1666666716337204, ""61"": 0.1666666716337204, ""14"": 0.1666666716337204, ""62"": 0.1666666716337204, ""55"": 0.1666666716337204, ""89"": 0.1666666716337204}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","{""median_norm"": 0.7245428666981083, ""mad"": 0.08100755074944532, ""k"": 3.351600230178197, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[5, 68, 28, 53, 72, 34]","[73, 48]","{""best_k"": 3, ""best_score"": 0.6327313184738159, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.548105716705322, ""1"": -1.0, ""2"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[5, 68, 28, 53, 72, 34]",[],"{""base_clip"": 1.0, ""trust_weights"": {""5"": 0.0, ""68"": 0.20000000298023224, ""28"": 0.20000000298023224, ""53"": 0.20000000298023224, ""72"": 0.20000000298023224, ""34"": 0.20000000298023224}, ""num_aggregated"": 6}"
5,apra,apra_mad_filter,"[27, 55, 98, 67, 16, 57, 21, 26, 69]",[4],"{""median_norm"": 0.6319872112129212, ""mad"": 0.06738691287470727, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
5,apra,apra_hierarchical_cluster,"[55, 98, 16, 57, 21, 26]","[27, 67, 69]","{""best_k"": 3, ""best_score"": 0.4880784749984741, ""selected_cluster"": 1, ""cluster_scores"": {""0"": 1.6367523670196533, ""1"": 5.090328693389893, ""2"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
5,apra,apra_trust_weighted_clip,"[55, 98, 16, 57, 21, 26]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.07519058138132095, ""98"": 0.2312023639678955, ""16"": 0.2312023639678955, ""57"": 0.2312023639678955, ""21"": 0.2312023639678955, ""26"": 0.0}, ""num_aggregated"": 6}"
6,apra,apra_mad_filter,"[55, 44, 86, 53, 6, 52, 61, 62, 48]",[3],"{""median_norm"": 0.6645638036909417, ""mad"": 0.07303032724593256, ""k"": 2.744058180470132, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
6,apra,apra_hierarchical_cluster,"[55, 44, 86, 53, 6, 52, 61, 62]",[48],"{""best_k"": 2, ""best_score"": 0.7154431939125061, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.5122904777526855, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
6,apra,apra_trust_weighted_clip,"[55, 44, 86, 53, 6, 52, 61, 62]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.1428571492433548, ""44"": 0.0, ""86"": 0.1428571492433548, ""53"": 0.1428571492433548, ""6"": 0.1428571492433548, ""52"": 0.1428571492433548, ""61"": 0.1428571492433548, ""62"": 0.1428571492433548}, ""num_aggregated"": 8}"
7,apra,apra_mad_filter,"[73, 46, 58, 32, 95, 97, 42, 38, 13]",[2],"{""median_norm"": 0.7515178903862171, ""mad"": 0.09814229965196886, ""k"": 2.4829265189570475, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
7,apra,apra_hierarchical_cluster,"[73, 46, 58, 32, 97, 42, 38, 13]",[95],"{""best_k"": 2, ""best_score"": 0.4398095905780792, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 3.232731819152832, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
7,apra,apra_trust_weighted_clip,"[73, 46, 58, 32, 97, 42, 38, 13]",[],"{""base_clip"": 1.0, ""trust_weights"": {""73"": 0.10767685621976852, ""46"": 0.19672663509845734, ""58"": 0.15969713032245636, ""32"": 0.19672663509845734, ""97"": 0.0, ""42"": 0.10767685621976852, ""38"": 0.15969713032245636, ""13"": 0.07179871946573257}, ""num_aggregated"": 8}"
8,apra,apra_mad_filter,"[41, 96, 97, 82, 86, 57, 62, 85, 17]",[0],"{""median_norm"": 0.6073532654610366, ""mad"": 0.14123566311137686, ""k"": 2.246644820586108, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
8,apra,apra_hierarchical_cluster,"[86, 57, 62, 85, 17]","[41, 96, 97, 82]","{""best_k"": 3, ""best_score"": 0.49553149938583374, ""selected_cluster"": 2, ""cluster_scores"": {""0"": 1.8538148403167725, ""1"": 1.920751929283142, ""2"": 4.629979610443115}, ""num_trusted"": 5, ""fallback_used"": false}"
8,apra,apra_trust_weighted_clip,"[86, 57, 62, 85, 17]",[],"{""base_clip"": 1.0, ""trust_weights"": {""86"": 0.3868955671787262, ""57"": 0.22620889544487, ""62"": 0.3868955671787262, ""85"": 0.0, ""17"": 0.0}, ""num_aggregated"": 5}"
9,apra,apra_mad_filter,"[6, 23, 43, 89, 96, 69, 84]","[2, 1, 38]","{""median_norm"": 0.684129461504902, ""mad"": 0.051418736968327605, ""k"": 2.0328482987029957, ""num_accepted"": 7, ""safety_keep_used"": false, ""fallback_used"": false}"
9,apra,apra_hierarchical_cluster,"[6, 23, 43, 89, 96, 84]",[69],"{""best_k"": 2, ""best_score"": 0.5196705460548401, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.908962726593018, ""1"": -1.0}, ""num_trusted"": 6, ""fallback_used"": false}"
9,apra,apra_trust_weighted_clip,"[6, 23, 43, 89, 96, 84]",[],"{""base_clip"": 1.0, ""trust_weights"": {""6"": 0.24536874890327454, ""23"": 0.0, ""43"": 0.24536874890327454, ""89"": 0.24536874890327454, ""96"": 0.24536874890327454, ""84"": 0.018525050953030586}, ""num_aggregated"": 6}"
10,apra,apra_mad_filter,"[95, 65, 71, 9, 81, 70, 41, 42]","[4, 3]","{""median_norm"": 0.7318991006372952, ""mad"": 0.16550322433653575, ""k"": 2.0, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
