epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999998807907104,411.4366455078125,15.370000000000001,91.99000000000001
102,0.9999997019767761,778.1516723632812,15.939999999999998,91.96
103,0.9999995231628418,1001.758544921875,15.6,92.13
104,0.9999987483024597,1672.578857421875,16.32,91.91
105,0.9999983906745911,1949.851318359375,16.150000000000002,92.12
106,0.9999976754188538,2289.733642578125,15.659999999999998,92.0
107,0.9999969005584717,2687.753662109375,15.079999999999998,91.96
108,0.999995768070221,3148.3837890625,12.770000000000001,92.02
109,0.9999948740005493,3479.32177734375,13.669999999999998,92.04
110,0.9999935626983643,3886.2861328125,14.6,91.97
111,0.9999923706054688,4270.8896484375,15.83,92.06
112,0.9999909400939941,4691.2705078125,14.49,92.10000000000001
113,0.9999895095825195,5057.98583984375,17.03,92.06
114,0.9999877214431763,5491.78271484375,17.59,92.06
115,0.9999862909317017,5809.3046875,17.630000000000003,92.04
116,0.9999837875366211,6332.54443359375,17.24,92.22
117,0.9999818801879883,6717.1484375,16.21,92.23
118,0.9999799728393555,7092.8076171875,14.069999999999999,92.16
119,0.9999775886535645,7522.1328125,17.94,92.04
120,0.9999752640724182,7915.6806640625,17.41,91.93
121,0.9999732375144958,8255.5625,17.24,91.99000000000001
122,0.9999707937240601,8640.1669921875,14.6,92.15
123,0.9999679923057556,9069.4921875,15.540000000000001,92.10000000000001
124,0.9999645948410034,9548.009765625,16.99,91.97
125,0.999962329864502,9883.4208984375,16.37,92.06
126,0.9999592900276184,10299.3291015625,17.54,91.64
127,0.9999566674232483,10657.1005859375,16.400000000000002,91.89
128,0.9999533891677856,11081.953125,16.950000000000003,92.27
129,0.999950110912323,11493.3896484375,16.07,92.02
130,0.9999461770057678,11971.908203125,17.72,91.99000000000001
131,0.9999437928199768,12253.65234375,16.939999999999998,91.83
132,0.9999410510063171,12584.5908203125,15.72,91.99000000000001
133,0.9999370574951172,13027.33203125,16.53,92.01
134,0.9999332427978516,13447.712890625,16.580000000000002,92.0
135,0.999929666519165,13841.2607421875,12.94,91.59
136,0.9999269247055054,14136.421875,12.740000000000002,91.58
137,0.9999229907989502,14538.9140625,14.62,91.7
138,0.9999194741249084,14905.6298828125,14.610000000000001,91.61
139,0.9999154210090637,15312.59375,14.85,91.97
140,0.9999112486839294,15732.974609375,15.110000000000001,91.99000000000001
141,0.9999080896377563,16037.0791015625,15.479999999999999,91.91
142,0.9999040365219116,16421.68359375,15.8,91.93
143,0.9999005198478699,16752.62109375,16.05,92.15
144,0.9998952150344849,17244.556640625,15.920000000000002,91.7
145,0.9998916387557983,17579.966796875,16.41,92.19000000000001
146,0.9998868107795715,18013.763671875,15.27,92.14
147,0.9998828768730164,18367.0625,16.509999999999998,92.17
148,0.9998778104782104,18796.38671875,16.14,91.82000000000001
149,0.9998725056648254,19248.072265625,16.63,92.17999999999999
150,0.9998676776885986,19672.92578125,14.37,91.97
151,0.9998633861541748,20021.751953125,14.940000000000001,91.83
152,0.9998587369918823,20401.884765625,14.91,92.15
153,0.9998552203178406,20697.044921875,15.82,92.09
154,0.9998496770858765,21148.73046875,15.86,91.77
155,0.9998453855514526,21484.140625,15.67,92.07
156,0.9998409748077393,21832.96875,14.23,91.9
157,0.9998354315757751,22271.236328125,13.919999999999998,91.97999999999999
158,0.9998303651809692,22651.369140625,15.53,92.06
159,0.999825656414032,23018.083984375,14.57,91.72
160,0.9998180270195007,23599.4609375,16.76,91.97999999999999
161,0.9998127222061157,23988.537109375,16.41,91.92
162,0.999807596206665,24364.197265625,16.55,92.07
163,0.9998016953468323,24802.466796875,15.83,91.73
164,0.9997974634170532,25115.515625,15.840000000000002,91.94
165,0.99979168176651,25522.48046875,14.56,91.60000000000001
166,0.9997859001159668,25938.388671875,19.46,91.78
167,0.9997807741165161,26300.630859375,18.84,91.51
168,0.9997732639312744,26828.34375,15.7,91.86999999999999
169,0.9997686743736267,27145.865234375,17.04,91.79
170,0.9997646808624268,27418.6640625,13.120000000000001,92.06
171,0.9997575879096985,27901.65625,16.53,91.92
172,0.9997512102127075,28339.92578125,16.470000000000002,92.08
173,0.9997456669807434,28711.11328125,16.97,91.99000000000001
174,0.9997395277023315,29127.021484375,14.97,91.83
175,0.9997346997261047,29453.48828125,15.8,91.93
176,0.9997272491455078,29945.421875,16.8,91.97
177,0.999721884727478,30289.775390625,14.330000000000002,91.86
178,0.9997159838676453,30674.37890625,14.95,92.0
179,0.9997108578681946,31009.791015625,16.669999999999998,92.02
