epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[71, 32, 58, 24, 62, 67, 43, 29]","[3, 4]","{""median_norm"": 0.6111783111065161, ""mad"": 0.22603219525894386, ""k"": 4.524187090179797, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[32, 24, 62, 43, 29]","[71, 58, 67]","{""best_k"": 3, ""best_score"": 0.24465695023536682, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.707520484924316, ""1"": 1.9350512027740479, ""2"": -1.0}, ""num_trusted"": 5, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[32, 24, 62, 43, 29]",[],"{""base_clip"": 1.0, ""trust_weights"": {""32"": 0.0, ""24"": 0.15803465247154236, ""62"": 0.2397596538066864, ""43"": 0.30110281705856323, ""29"": 0.30110281705856323}, ""num_aggregated"": 5}"
2,apra,apra_mad_filter,"[73, 72, 99, 20, 15, 37, 93, 74, 22]",[3],"{""median_norm"": 0.5989355312076798, ""mad"": 0.03922241560874956, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[72, 99, 20, 15, 37, 93, 74, 22]",[73],"{""best_k"": 2, ""best_score"": 0.6959659457206726, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.749814987182617, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[72, 99, 20, 15, 37, 93, 74, 22]",[],"{""base_clip"": 1.0, ""trust_weights"": {""72"": 0.14497287571430206, ""99"": 0.14497287571430206, ""20"": 0.14497287571430206, ""15"": 0.0, ""37"": 0.13016277551651, ""93"": 0.14497287571430206, ""74"": 0.14497287571430206, ""22"": 0.14497287571430206}, ""num_aggregated"": 8}"
3,apra,apra_mad_filter,"[11, 29, 61, 14, 62, 31, 55, 89]","[2, 0]","{""median_norm"": 0.7296162550703024, ""mad"": 0.17603709331269074, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[11, 29, 61, 14, 62, 55, 89]",[31],"{""best_k"": 2, ""best_score"": 0.7829854488372803, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.800851345062256, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[11, 29, 61, 14, 62, 55, 89]",[],"{""base_clip"": 1.0, ""trust_weights"": {""11"": 0.1666666716337204, ""29"": 0.1666666716337204, ""61"": 0.1666666716337204, ""14"": 0.1666666716337204, ""62"": 0.0, ""55"": 0.1666666716337204, ""89"": 0.1666666716337204}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[73, 5, 68, 48, 28, 53, 72, 34]","[1, 88]","{""median_norm"": 0.6250832196201963, ""mad"": 0.10336433964355107, ""k"": 3.351600230178197, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
