epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,apra,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[71, 58, 24, 62, 67, 43, 29]","[3, 32, 4]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_apra.pkl
2,apra,success,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]","[55, 98, 67, 16, 57, 21, 26, 69]","[1, 51]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_apra.pkl
3,apra,success,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]","[9, 81, 70, 41, 68, 58, 20]","[4, 3, 42]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_apra.pkl
4,apra,success,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]","[99, 15, 12, 44, 82, 47, 81, 49]","[3, 88]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_apra.pkl
5,apra,success,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]","[40, 80, 43, 56, 84, 45, 95, 90]","[4, 31]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_apra.pkl
6,apra,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[83, 79, 81, 91, 53, 52, 90, 32]","[2, 82]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_apra.pkl
7,apra,success,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]","[10, 64, 76, 65, 15, 51, 53]","[1, 2, 69]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_apra.pkl
8,apra,success,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]","[29, 14, 17, 57, 52, 76, 65, 58]","[2, 54]",10,8,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_apra.pkl
9,apra,success,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]","[23, 49, 11, 34, 33, 58, 12]","[2, 99, 54]",10,7,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_apra.pkl
10,apra,success,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]","[63, 18, 78, 25, 57]","[4, 65, 55, 2, 71]",10,5,"[""apra_mad_filter"", ""apra_hierarchical_cluster"", ""apra_trust_weighted_clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_00.10.02_apra_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_apra.pkl
