epoch,method,stage,selected,rejected,human
1,apra,apra_mad_filter,"[71, 32, 58, 24, 62, 67, 43, 29]","[3, 4]","{""median_norm"": 0.6728802990163631, ""mad"": 0.20090976662832472, ""k"": 4.524187090179797, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
1,apra,apra_hierarchical_cluster,"[71, 58, 24, 62, 67, 43, 29]",[32],"{""best_k"": 2, ""best_score"": 0.5721920728683472, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 5.275394916534424, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
1,apra,apra_trust_weighted_clip,"[71, 58, 24, 62, 67, 43, 29]",[],"{""base_clip"": 1.0, ""trust_weights"": {""71"": 0.11473626643419266, ""58"": 0.0, ""24"": 0.22131593525409698, ""62"": 0.22131593525409698, ""67"": 0.0, ""43"": 0.22131593525409698, ""29"": 0.22131593525409698}, ""num_aggregated"": 7}"
2,apra,apra_mad_filter,"[55, 98, 67, 16, 57, 21, 26, 69, 51]",[1],"{""median_norm"": 0.5484895641634695, ""mad"": 0.13346955209097844, ""k"": 4.093653765389909, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
2,apra,apra_hierarchical_cluster,"[55, 98, 67, 16, 57, 21, 26, 69]",[51],"{""best_k"": 2, ""best_score"": 0.7543656826019287, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 7.202899932861328, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
2,apra,apra_trust_weighted_clip,"[55, 98, 67, 16, 57, 21, 26, 69]",[],"{""base_clip"": 1.0, ""trust_weights"": {""55"": 0.0, ""98"": 0.1428571492433548, ""67"": 0.1428571492433548, ""16"": 0.1428571492433548, ""57"": 0.1428571492433548, ""21"": 0.1428571492433548, ""26"": 0.1428571492433548, ""69"": 0.1428571492433548}, ""num_aggregated"": 8}"
3,apra,apra_mad_filter,"[9, 81, 70, 41, 42, 68, 58, 20]","[4, 3]","{""median_norm"": 0.6525561443517215, ""mad"": 0.1322936055764391, ""k"": 3.7040911034085893, ""num_accepted"": 8, ""safety_keep_used"": false, ""fallback_used"": false}"
3,apra,apra_hierarchical_cluster,"[9, 81, 70, 41, 68, 58, 20]",[42],"{""best_k"": 2, ""best_score"": 0.747689962387085, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 6.958968162536621, ""1"": -1.0}, ""num_trusted"": 7, ""fallback_used"": false}"
3,apra,apra_trust_weighted_clip,"[9, 81, 70, 41, 68, 58, 20]",[],"{""base_clip"": 1.0, ""trust_weights"": {""9"": 0.23776139318943024, ""81"": 0.23776139318943024, ""70"": 0.23776139318943024, ""41"": 0.0, ""68"": 0.0, ""58"": 0.04895443469285965, ""20"": 0.23776139318943024}, ""num_aggregated"": 7}"
4,apra,apra_mad_filter,"[99, 88, 15, 12, 44, 82, 47, 81, 49]",[3],"{""median_norm"": 0.5468624406630452, ""mad"": 0.15047008737522494, ""k"": 3.351600230178197, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
4,apra,apra_hierarchical_cluster,"[99, 15, 12, 44, 82, 47, 81, 49]",[88],"{""best_k"": 2, ""best_score"": 0.541737973690033, ""selected_cluster"": 0, ""cluster_scores"": {""0"": 4.741154670715332, ""1"": -1.0}, ""num_trusted"": 8, ""fallback_used"": false}"
4,apra,apra_trust_weighted_clip,"[99, 15, 12, 44, 82, 47, 81, 49]",[],"{""base_clip"": 1.0, ""trust_weights"": {""99"": 0.03018738143146038, ""15"": 0.0, ""12"": 0.19396252930164337, ""44"": 0.19396252930164337, ""82"": 0.19396252930164337, ""47"": 0.0, ""81"": 0.19396252930164337, ""49"": 0.19396252930164337}, ""num_aggregated"": 8}"
5,apra,apra_mad_filter,"[40, 80, 31, 43, 56, 84, 45, 95, 90]",[4],"{""median_norm"": 0.5770873941419183, ""mad"": 0.09111807838779892, ""k"": 3.032653298563167, ""num_accepted"": 9, ""safety_keep_used"": false, ""fallback_used"": false}"
