epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999998211860657,295.1611633300781,10.08,91.95
102,0.9999998211860657,679.7647705078125,10.16,91.52
103,0.9999998807907104,1203.004638671875,10.08,91.83
104,0.9999998807907104,1556.3033447265625,9.520000000000001,91.84
105,0.9999998807907104,1949.851318359375,9.87,91.9
106,0.9999998807907104,2267.373046875,9.31,92.02
107,0.9999998211860657,2598.31103515625,9.83,91.97
108,0.9999998807907104,3014.2197265625,9.229999999999999,92.0
109,0.9999998211860657,3470.37744140625,9.24,91.94
110,1.0,3837.092529296875,9.6,91.82000000000001
111,0.9999998807907104,4230.640625,9.83,91.69
112,0.9999998807907104,4566.05078125,9.78,92.01
113,0.9999998807907104,4964.07080078125,9.84,91.84
114,0.9999998807907104,5321.841796875,9.84,91.78
115,0.9999998807907104,5715.3896484375,9.66,91.77
116,0.9999998807907104,6122.35400390625,9.91,91.9
117,1.0,6596.400390625,9.93,91.89
118,0.9999998807907104,6963.11572265625,10.040000000000001,91.60000000000001
119,0.9999998807907104,7338.77490234375,9.879999999999999,92.08
120,0.9999998807907104,7759.15576171875,10.040000000000001,92.01
121,0.9999998807907104,8121.39892578125,10.11,92.15
122,0.9999998807907104,8492.5859375,10.01,91.85
123,0.9999998807907104,8895.078125,10.11,91.89
124,0.9999998807907104,9279.681640625,9.92,91.88
125,0.9999998807907104,9677.7021484375,9.51,91.86
126,1.0,9990.751953125,9.27,91.86999999999999
127,0.9999998807907104,10491.630859375,9.8,91.83
128,0.9999998807907104,10786.7919921875,10.09,91.79
129,0.9999998807907104,11207.1728515625,9.84,92.07
130,0.9999998807907104,11564.943359375,9.55,91.9
131,0.9999998807907104,11954.01953125,8.93,91.94
132,0.9999998807907104,12490.67578125,9.43,92.07
133,0.9999998807907104,12754.5322265625,8.77,92.0
134,0.9999999403953552,13085.4697265625,9.93,91.96
135,0.9999998807907104,13550.572265625,9.76,91.24
136,0.9999998807907104,13979.8974609375,9.87,91.91
137,0.9999998807907104,14373.4453125,10.02,91.75999999999999
138,0.9999998807907104,14731.2158203125,9.89,91.95
139,0.9999998807907104,15142.65234375,9.73,91.97
140,0.9999998807907104,15442.2861328125,10.15,91.91
141,0.9999998807907104,15795.583984375,10.09,91.99000000000001
142,0.9999998807907104,16260.6865234375,9.75,91.97999999999999
143,0.9999998807907104,16685.5390625,9.85,91.95
144,0.9999998807907104,17038.837890625,10.08,91.75
145,0.9999998807907104,17499.46875,9.82,92.04
146,0.9999998807907104,17816.990234375,9.62,91.89
147,0.9999998807907104,18201.59375,9.82,91.91
148,0.9999998807907104,18635.390625,9.8,91.88
