epoch,method,stage,selected,rejected,human
1,avg,avg,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
2,avg,avg,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
3,avg,avg,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
4,avg,avg,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
5,avg,avg,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
6,avg,avg,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
7,avg,avg,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
8,avg,avg,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
9,avg,avg,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
10,avg,avg,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
11,avg,avg,"[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
12,avg,avg,"[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
13,avg,avg,"[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
14,avg,avg,"[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
15,avg,avg,"[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
16,avg,avg,"[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
17,avg,avg,"[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
18,avg,avg,"[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]",[],"{""strategy"": ""fedavg"", ""num_participants"": 10}"
