epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,clip,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_clip.pkl
2,clip,success,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]","[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_clip.pkl
3,clip,success,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]","[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_clip.pkl
4,clip,success,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]","[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_clip.pkl
5,clip,success,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]","[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_clip.pkl
6,clip,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_clip.pkl
7,clip,success,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]","[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_clip.pkl
8,clip,success,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]","[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_clip.pkl
9,clip,success,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]","[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_clip.pkl
10,clip,success,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]","[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_clip.pkl
11,clip,success,"[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]","[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0011_clip.pkl
12,clip,success,"[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]","[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0012_clip.pkl
13,clip,success,"[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]","[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0013_clip.pkl
14,clip,success,"[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]","[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0014_clip.pkl
15,clip,success,"[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]","[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0015_clip.pkl
16,clip,success,"[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]","[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0016_clip.pkl
17,clip,success,"[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]","[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0017_clip.pkl
18,clip,success,"[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]","[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0018_clip.pkl
19,clip,success,"[1, 20, 77, 27, 23, 18, 74, 59, 86, 87]","[1, 20, 77, 27, 23, 18, 74, 59, 86, 87]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0019_clip.pkl
20,clip,success,"[2, 97, 55, 28, 52, 53, 77, 67, 31, 62]","[2, 97, 55, 28, 52, 53, 77, 67, 31, 62]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0020_clip.pkl
21,clip,success,"[4, 91, 65, 0, 37, 25, 27, 31, 15, 97]","[4, 91, 65, 0, 37, 25, 27, 31, 15, 97]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0021_clip.pkl
22,clip,success,"[1, 98, 50, 52, 30, 15, 49, 13, 38, 7]","[1, 98, 50, 52, 30, 15, 49, 13, 38, 7]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0022_clip.pkl
23,clip,success,"[3, 30, 82, 46, 21, 54, 29, 47, 77, 48]","[3, 30, 82, 46, 21, 54, 29, 47, 77, 48]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0023_clip.pkl
24,clip,success,"[3, 37, 11, 86, 39, 75, 6, 48, 61, 64]","[3, 37, 11, 86, 39, 75, 6, 48, 61, 64]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0024_clip.pkl
25,clip,success,"[0, 12, 9, 34, 21, 93, 15, 38, 90, 65]","[0, 12, 9, 34, 21, 93, 15, 38, 90, 65]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0025_clip.pkl
26,clip,success,"[0, 84, 12, 64, 52, 60, 4, 50, 14, 27]","[0, 84, 12, 64, 52, 60, 4, 50, 14, 27]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0026_clip.pkl
27,clip,success,"[4, 9, 86, 84, 95, 41, 38, 17, 52, 93]","[4, 9, 86, 84, 95, 41, 38, 17, 52, 93]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0027_clip.pkl
28,clip,success,"[3, 38, 17, 96, 10, 11, 55, 66, 34, 52]","[3, 38, 17, 96, 10, 11, 55, 66, 34, 52]",[],10,10,"[""clip""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_09.06.50_clip_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0028_clip.pkl
