epoch,method,stage,selected,rejected,human
1,clip,clip,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
2,clip,clip,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
3,clip,clip,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
4,clip,clip,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
5,clip,clip,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
6,clip,clip,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
7,clip,clip,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
8,clip,clip,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
9,clip,clip,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
10,clip,clip,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
11,clip,clip,"[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
12,clip,clip,"[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
13,clip,clip,"[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
14,clip,clip,"[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
15,clip,clip,"[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
16,clip,clip,"[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
17,clip,clip,"[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
18,clip,clip,"[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
19,clip,clip,"[1, 20, 77, 27, 23, 18, 74, 59, 86, 87]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
20,clip,clip,"[2, 97, 55, 28, 52, 53, 77, 67, 31, 62]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
21,clip,clip,"[4, 91, 65, 0, 37, 25, 27, 31, 15, 97]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
22,clip,clip,"[1, 98, 50, 52, 30, 15, 49, 13, 38, 7]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
23,clip,clip,"[3, 30, 82, 46, 21, 54, 29, 47, 77, 48]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
24,clip,clip,"[3, 37, 11, 86, 39, 75, 6, 48, 61, 64]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
25,clip,clip,"[0, 12, 9, 34, 21, 93, 15, 38, 90, 65]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
26,clip,clip,"[0, 84, 12, 64, 52, 60, 4, 50, 14, 27]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
27,clip,clip,"[4, 9, 86, 84, 95, 41, 38, 17, 52, 93]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
28,clip,clip,"[3, 38, 17, 96, 10, 11, 55, 66, 34, 52]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
29,clip,clip,"[3, 5, 42, 83, 37, 14, 13, 89, 28, 61]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
30,clip,clip,"[0, 36, 14, 90, 87, 42, 82, 37, 63, 40]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
31,clip,clip,"[3, 2, 11, 96, 15, 67, 42, 80, 51, 72]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
32,clip,clip,"[3, 27, 95, 78, 82, 23, 37, 10, 55, 13]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
33,clip,clip,"[1, 27, 31, 11, 24, 43, 50, 63, 64, 18]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
34,clip,clip,"[2, 93, 20, 1, 78, 33, 24, 5, 57, 77]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
35,clip,clip,"[1, 63, 27, 59, 75, 45, 20, 29, 67, 93]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
36,clip,clip,"[4, 37, 92, 94, 14, 22, 28, 18, 17, 24]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
37,clip,clip,"[3, 95, 71, 24, 18, 49, 84, 7, 67, 0]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
38,clip,clip,"[3, 8, 86, 33, 74, 35, 51, 22, 40, 47]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
39,clip,clip,"[4, 36, 63, 62, 76, 71, 98, 22, 44, 66]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
40,clip,clip,"[4, 43, 44, 96, 29, 3, 77, 32, 63, 27]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
41,clip,clip,"[0, 62, 19, 13, 51, 24, 35, 58, 89, 39]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
42,clip,clip,"[1, 41, 90, 42, 2, 69, 13, 73, 78, 97]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
43,clip,clip,"[0, 94, 51, 83, 64, 41, 77, 95, 87, 32]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
44,clip,clip,"[2, 5, 3, 38, 92, 53, 33, 46, 80, 60]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
45,clip,clip,"[4, 43, 95, 11, 12, 65, 15, 22, 86, 14]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
46,clip,clip,"[1, 99, 13, 81, 6, 89, 30, 21, 90, 32]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
47,clip,clip,"[0, 12, 31, 57, 81, 17, 35, 96, 88, 36]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
48,clip,clip,"[4, 2, 83, 62, 97, 32, 51, 86, 82, 87]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
49,clip,clip,"[3, 89, 52, 97, 8, 79, 11, 76, 16, 77]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
50,clip,clip,"[3, 6, 85, 39, 36, 58, 62, 15, 35, 5]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
51,clip,clip,"[4, 35, 46, 44, 94, 91, 86, 84, 61, 50]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
52,clip,clip,"[4, 75, 35, 21, 95, 83, 55, 52, 2, 31]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
53,clip,clip,"[4, 33, 18, 36, 63, 14, 54, 37, 73, 9]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
54,clip,clip,"[0, 62, 86, 6, 3, 68, 9, 26, 28, 97]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
55,clip,clip,"[0, 32, 9, 14, 70, 20, 71, 60, 77, 13]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
56,clip,clip,"[2, 21, 68, 65, 39, 50, 32, 61, 93, 62]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
57,clip,clip,"[2, 87, 90, 66, 32, 89, 60, 19, 51, 72]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
58,clip,clip,"[3, 91, 22, 77, 49, 80, 41, 24, 96, 37]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
59,clip,clip,"[3, 68, 13, 38, 80, 51, 29, 46, 41, 4]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
60,clip,clip,"[3, 4, 64, 30, 0, 24, 14, 91, 90, 57]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
61,clip,clip,"[3, 43, 35, 89, 76, 55, 52, 7, 22, 84]",[],"{""clip_factor"": 1, ""num_layers_clipped"": 102}"
