epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,348.82666015625,97.88,92.07
102,1.0,737.9024658203125,94.69,92.02
103,1.0,1144.8668212890625,96.83,92.07
104,1.0,1556.3033447265625,97.48,92.10000000000001
105,1.0,1954.3233642578125,96.46000000000001,92.21000000000001
106,1.0000001192092896,2307.6220703125,96.38,92.07
107,1.0000001192092896,2665.39306640625,95.69,92.10000000000001
108,1.0,3076.82958984375,95.39,92.05
109,1.0,3470.37744140625,96.0,92.15
110,1.0,3859.453369140625,96.06,92.02
111,1.0,4239.5849609375,95.74000000000001,91.94
112,1.0,4606.2998046875,94.45,92.04
113,1.0,4950.654296875,92.19000000000001,92.06
114,1.0,5321.841796875,94.24,92.01
115,1.0000001192092896,5777.99951171875,85.61,92.04
116,1.0,6180.49169921875,92.97,92.17
117,1.0,6587.4560546875,91.64,92.08
118,1.0,6958.6435546875,91.77,92.13
119,1.0000001192092896,7347.71923828125,92.73,92.2
120,1.0,7750.21142578125,93.0,92.09
121,1.0000001192092896,8116.9267578125,91.56,92.17
122,1.0000001192092896,8537.3076171875,93.03,92.2
123,1.0000001192092896,8944.271484375,91.09,92.14
124,1.0000001192092896,9310.9873046875,87.64,92.21000000000001
125,1.0,9677.7021484375,91.16,92.2
126,1.0000001192092896,10031.0009765625,91.07,92.15
127,1.0,10464.7978515625,89.64,92.35
128,1.0,10840.4580078125,87.0,92.21000000000001
129,1.0,11225.0615234375,87.94999999999999,92.36999999999999
130,1.0,11614.1376953125,87.74,92.52
131,1.0000001192092896,11980.8525390625,89.74,92.35
132,1.0,12369.927734375,89.19,92.33
133,1.0000001192092896,12772.419921875,89.36,92.33
134,1.0000001192092896,13125.7197265625,89.33,92.34
135,1.0000001192092896,13572.9326171875,87.55,92.36
136,1.0000001192092896,13993.3134765625,88.75,92.34
137,1.0000001192092896,14377.91796875,86.50999999999999,92.15
138,1.0000001192092896,14753.5771484375,79.94,92.24
139,1.0000001192092896,15147.125,87.14,92.42
140,1.0000001192092896,15522.7841796875,87.71,92.39
141,1.0,15889.4990234375,83.6,92.42
142,1.0,16291.9912109375,85.71,92.47999999999999
143,1.0000001192092896,16667.650390625,87.66000000000001,92.47
144,1.0,17070.142578125,85.44,92.36999999999999
145,1.0,17526.30078125,81.96,92.35
146,1.0,17893.015625,86.11,92.42
147,1.0,18282.091796875,85.25,92.42
148,1.0,18689.0546875,85.87,92.35
149,1.0,19082.603515625,84.89,92.28
150,1.0,19435.90234375,81.25,92.35
151,1.0,19784.728515625,74.98,92.27
152,1.0,20205.109375,80.93,92.41
153,1.0000001192092896,20603.12890625,74.97,92.43
154,1.0,20992.205078125,81.53,92.32000000000001
155,0.9999998807907104,21376.810546875,80.22,92.33
156,0.9999998807907104,21770.357421875,76.14999999999999,92.38
157,0.9999998807907104,22181.794921875,80.17,92.43
158,1.0,22593.23046875,78.4,92.33
159,0.9999998807907104,22986.779296875,77.68,92.41
160,1.0000001192092896,23411.630859375,80.9,92.29
161,1.0,23809.65234375,78.86999999999999,92.51
162,0.9999998807907104,24207.671875,81.72,92.43
163,0.9999998807907104,24565.443359375,78.74,92.47
164,1.0,24941.1015625,78.09,92.25999999999999
165,1.0,25316.759765625,77.35,92.28
166,0.9999998807907104,25661.1171875,77.14999999999999,92.42
167,0.9999998807907104,26063.607421875,73.68,92.36999999999999
168,1.0000001192092896,26416.90625,75.53999999999999,92.47999999999999
