epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,foolsgold,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[3, 73, 72, 99, 20, 15, 37, 93, 74, 22]","[73, 72, 37, 93, 74]","[3, 99, 20, 15, 22]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[2, 11, 29, 61, 14, 62, 31, 0, 55, 89]","[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[1, 73, 5, 68, 48, 28, 53, 72, 34, 88]","[1, 5, 68, 48, 28, 53, 72, 88]","[73, 34]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[4, 27, 55, 98, 67, 16, 57, 21, 26, 69]","[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[3, 55, 44, 86, 53, 6, 52, 61, 62, 48]","[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[2, 73, 46, 58, 32, 95, 97, 42, 38, 13]","[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0007_foolsgold.pkl
8,foolsgold,success,"[0, 41, 96, 97, 82, 86, 57, 62, 85, 17]","[0, 17]","[41, 96, 97, 82, 86, 57, 62, 85]",10,2,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0008_foolsgold.pkl
9,foolsgold,success,"[2, 1, 38, 6, 23, 43, 89, 96, 69, 84]","[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0009_foolsgold.pkl
10,foolsgold,success,"[4, 95, 65, 71, 9, 3, 81, 70, 41, 42]","[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]",10,2,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_11.27.43_foolsgold_fix_True_no-mia_no-mia-class_no-noise_modelreplace_2/agg_records/pkl/round_0010_foolsgold.pkl
