epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""71"": 1.0, ""32"": 0.39278353723489096, ""58"": 0.5147258766704358, ""4"": 0.0, ""24"": 0.0, ""62"": 0.0, ""67"": 1.0, ""43"": 0.39278353723489096, ""29"": 0.2777584839880899}}"
2,foolsgold,foolsgold,"[73, 72, 37, 93, 74]","[3, 99, 20, 15, 22]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""73"": 1.0, ""72"": 0.8892328358078827, ""99"": 0.0, ""20"": 0.0, ""15"": 0.0, ""37"": 0.7532771676530094, ""93"": 1.0, ""74"": 1.0, ""22"": 0.0}}"
3,foolsgold,foolsgold,"[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""11"": 1.0, ""29"": 0.6245802810416282, ""61"": 1.0, ""14"": 0.0, ""62"": 0.5934757706179741, ""31"": 1.0, ""0"": 0.0, ""55"": 0.0, ""89"": 0.5934757706179741}}"
4,foolsgold,foolsgold,"[1, 5, 68, 48, 28, 53, 72, 88]","[73, 34]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""73"": 0.0, ""5"": 1.0, ""68"": 0.6523449410226263, ""48"": 0.6032045670953814, ""28"": 0.1376637074200368, ""53"": 1.0, ""72"": 0.1376637074200368, ""34"": 0.0, ""88"": 1.0}}"
5,foolsgold,foolsgold,"[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.5748388953645365, ""27"": 0.0, ""55"": 0.5777000961869551, ""98"": 0.0, ""67"": 1.0, ""16"": 0.5748388953645365, ""57"": 0.0, ""21"": 1.0, ""26"": 1.0, ""69"": 1.0}}"
6,foolsgold,foolsgold,"[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""55"": 1.0, ""44"": 0.0, ""86"": 0.0, ""53"": 0.18336832283365445, ""6"": 0.18336832283365445, ""52"": 0.7899696066948418, ""61"": 1.0, ""62"": 0.0, ""48"": 1.0}}"
7,foolsgold,foolsgold,"[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""73"": 0.0, ""46"": 0.8119571517920323, ""58"": 1.0, ""32"": 1.0, ""95"": 1.0, ""97"": 1.0, ""42"": 0.0, ""38"": 0.8119571517920323, ""13"": 0.0}}"
8,foolsgold,foolsgold,"[0, 17]","[41, 96, 97, 82, 86, 57, 62, 85]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""41"": 0.0, ""96"": 0.0, ""97"": 0.0, ""82"": 0.0, ""86"": 0.0, ""57"": 0.0, ""62"": 0.0, ""85"": 0.0, ""17"": 0.7385377715238708}}"
9,foolsgold,foolsgold,"[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""1"": 0.0, ""38"": 0.0, ""6"": 0.0, ""23"": 0.6312070297445207, ""43"": 1.0, ""89"": 0.0, ""96"": 1.0, ""69"": 1.0, ""84"": 1.0}}"
10,foolsgold,foolsgold,"[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""95"": 0.0, ""65"": 0.0, ""71"": 0.0, ""9"": 0.0, ""3"": 0.0, ""81"": 1.0, ""70"": 1.0, ""41"": 0.0, ""42"": 0.0}}"
11,foolsgold,foolsgold,"[58, 20, 28, 63, 65, 38, 97, 47]","[4, 44]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""58"": 1.0, ""20"": 0.4753171557067307, ""28"": 0.8172191947582927, ""44"": 0.0, ""63"": 0.03796894626811054, ""65"": 0.3087313010172431, ""38"": 0.03796894626811054, ""97"": 1.0, ""47"": 0.8172191947582927}}"
12,foolsgold,foolsgold,"[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 1.0, ""20"": 0.7402950333978608, ""6"": 0.6099403129879256, ""68"": 0.6099403129879256, ""2"": 0.0, ""37"": 1.0, ""15"": 0.4854578844309323, ""11"": 1.0, ""48"": 1.0}}"
13,foolsgold,foolsgold,"[0, 60, 95, 39, 32, 15]","[98, 75, 52, 49]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.33534384079326873, ""60"": 0.7414653065687508, ""95"": 1.0, ""98"": 0.0, ""39"": 1.0, ""75"": 0.0, ""32"": 0.7414653065687508, ""15"": 0.33534384079326873, ""52"": 0.0, ""49"": 0.0}}"
14,foolsgold,foolsgold,"[67, 86, 16, 55, 88, 15]","[0, 99, 12, 44]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""67"": 1.0, ""86"": 0.5462390545450901, ""16"": 0.9423485267780576, ""55"": 0.5462390545450901, ""99"": 0.0, ""88"": 1.0, ""15"": 1.0, ""12"": 0.0, ""44"": 0.0}}"
15,foolsgold,foolsgold,"[81, 49, 56, 12, 83, 37, 91]","[2, 30, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""81"": 0.1620022762691255, ""49"": 0.1620022762691255, ""56"": 1.0, ""12"": 0.05614922655012067, ""30"": 0.0, ""83"": 0.5451281626598387, ""37"": 0.5451281626598387, ""3"": 0.0, ""91"": 0.05614922655012067}}"
16,foolsgold,foolsgold,"[2, 84, 40, 43, 39]","[57, 85, 46, 6, 71]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""57"": 0.0, ""85"": 0.0, ""84"": 1.0, ""46"": 0.0, ""6"": 0.0, ""40"": 0.7940046113033417, ""43"": 0.7940046113033417, ""71"": 0.0, ""39"": 1.0}}"
17,foolsgold,foolsgold,"[83, 18, 17, 81, 62, 52]","[0, 71, 76, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""83"": 1.0, ""71"": 0.0, ""76"": 0.0, ""18"": 1.0, ""17"": 1.0, ""81"": 0.5569706337951168, ""62"": 0.5569706337951168, ""3"": 0.0, ""52"": 1.0}}"
18,foolsgold,foolsgold,"[4, 80, 5, 84, 50, 40, 78, 43]","[88, 31]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""80"": 0.7344267692145403, ""88"": 0.0, ""5"": 0.7344267692145403, ""84"": 1.0, ""50"": 0.3395917335736665, ""40"": 0.8829329807583319, ""78"": 1.0, ""31"": 0.0, ""43"": 0.8829329807583319}}"
19,foolsgold,foolsgold,"[84, 45, 95, 90, 87, 51]","[3, 65, 6, 29]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""84"": 1.0, ""45"": 0.23006933186953415, ""95"": 1.0, ""90"": 1.0, ""65"": 0.0, ""6"": 0.0, ""87"": 0.23006933186953415, ""29"": 0.0, ""51"": 1.0}}"
20,foolsgold,foolsgold,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""72"": 1.0, ""28"": 1.0, ""52"": 0.976984469247248, ""38"": 0.9508133611214122, ""63"": 0.7031999118242048, ""18"": 0.7031999118242048, ""22"": 1.0, ""39"": 1.0, ""47"": 1.0}}"
21,foolsgold,foolsgold,"[2, 99, 96, 5, 68, 29]","[66, 13, 63, 94]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.5696521445403508, ""99"": 1.0, ""66"": 0.0, ""96"": 1.0, ""13"": 0.0, ""63"": 0.0, ""5"": 1.0, ""68"": 1.0, ""94"": 0.0, ""29"": 0.5696521445403508}}"
22,foolsgold,foolsgold,"[1, 45, 9, 99, 83]","[98, 38, 86, 24, 34]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""45"": 1.0, ""9"": 0.9164530055598252, ""98"": 0.0, ""99"": 1.0, ""38"": 0.0, ""83"": 0.4779685788679979, ""86"": 0.0, ""24"": 0.0, ""34"": 0.0}}"
23,foolsgold,foolsgold,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""83"": 0.7059411279525614, ""82"": 0.7667855448537062, ""79"": 0.24640145251236628, ""81"": 0.2423976354578436, ""91"": 0.24640145251236628, ""53"": 1.0, ""52"": 0.33554886323784083, ""90"": 0.2423976354578436, ""32"": 1.0}}"
24,foolsgold,foolsgold,"[4, 5, 99, 34, 28, 76, 91]","[6, 94, 46]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""5"": 1.0, ""99"": 0.2738095610965612, ""6"": 0.0, ""94"": 0.0, ""34"": 0.06238525685181279, ""46"": 0.0, ""28"": 1.0, ""76"": 0.06238525685181279, ""91"": 0.2738095610965612}}"
25,foolsgold,foolsgold,"[35, 90, 93, 70, 95, 54]","[4, 2, 71, 98]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""2"": 0.0, ""35"": 0.5253476056526462, ""90"": 1.0, ""93"": 1.0, ""71"": 0.0, ""98"": 0.0, ""70"": 0.5253476056526462, ""95"": 0.11559253308131195, ""54"": 0.11559253308131195}}"
26,foolsgold,foolsgold,"[22, 41, 39, 88, 74, 49]","[3, 81, 14, 1]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 0.0, ""22"": 0.6443966772517475, ""41"": 0.4121787177564471, ""14"": 0.0, ""39"": 0.4121787177564471, ""1"": 0.0, ""88"": 1.0, ""74"": 1.0, ""49"": 0.10395445410749071}}"
27,foolsgold,foolsgold,"[0, 95, 7, 65, 58]","[57, 73, 75, 27, 10]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""95"": 1.0, ""57"": 0.0, ""7"": 1.0, ""73"": 0.0, ""75"": 0.0, ""65"": 1.0, ""58"": 1.0, ""27"": 0.0, ""10"": 0.0}}"
28,foolsgold,foolsgold,"[15, 69, 72]","[3, 1, 76, 65, 51, 53, 14]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""1"": 0.0, ""76"": 0.0, ""65"": 0.0, ""15"": 1.0, ""51"": 0.0, ""53"": 0.0, ""69"": 1.0, ""72"": 1.0, ""14"": 0.0}}"
29,foolsgold,foolsgold,"[30, 78]","[1, 3, 81, 70, 38, 49, 14, 87]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""3"": 0.0, ""30"": 1.0, ""81"": 0.0, ""70"": 0.0, ""38"": 0.0, ""49"": 0.0, ""78"": 1.0, ""14"": 0.0, ""87"": 0.0}}"
30,foolsgold,foolsgold,"[1, 47, 7, 49, 33, 34, 53]","[71, 13, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""71"": 0.0, ""13"": 0.0, ""47"": 0.8704797508943599, ""7"": 0.5267146755700323, ""49"": 1.0, ""33"": 0.5267146755700323, ""42"": 0.0, ""34"": 0.07676190084706891, ""53"": 1.0}}"
31,foolsgold,foolsgold,"[3, 20, 48, 30, 15, 45, 29, 54]","[57, 14]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.3365040388153402, ""20"": 0.18858129092207804, ""48"": 1.0, ""57"": 0.0, ""30"": 0.3358135399642431, ""15"": 0.3358135399642431, ""45"": 1.0, ""29"": 0.18858129092207804, ""54"": 1.0, ""14"": 0.0}}"
32,foolsgold,foolsgold,"[1, 52, 65]","[57, 76, 58, 51, 23, 99, 21]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""57"": 0.0, ""52"": 1.0, ""76"": 0.0, ""65"": 0.6852779795293016, ""58"": 0.0, ""51"": 0.0, ""23"": 0.0, ""99"": 0.0, ""21"": 0.0}}"
33,foolsgold,foolsgold,"[96, 82, 75, 40, 47]","[4, 46, 64, 63, 36]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""46"": 0.0, ""64"": 0.0, ""96"": 1.0, ""82"": 1.0, ""75"": 0.5115536755201487, ""40"": 1.0, ""63"": 0.0, ""36"": 0.0, ""47"": 0.5115536755201487}}"
34,foolsgold,foolsgold,"[0, 8, 81, 73, 83, 65, 79, 16]","[72, 58]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""72"": 0.0, ""8"": 1.0, ""81"": 0.34047059828202664, ""73"": 1.0, ""83"": 0.34047059828202664, ""65"": 0.30988663117614745, ""79"": 0.30988663117614745, ""58"": 0.0, ""16"": 1.0}}"
35,foolsgold,foolsgold,"[30, 84, 29, 12, 64, 13]","[3, 98, 44, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""30"": 1.0, ""84"": 1.0, ""29"": 1.0, ""12"": 1.0, ""98"": 0.0, ""44"": 0.0, ""64"": 1.0, ""13"": 0.20602308194233726, ""55"": 0.0}}"
36,foolsgold,foolsgold,"[23, 49, 33, 58]","[0, 36, 11, 34, 99, 12]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""36"": 0.0, ""23"": 0.7620124039831653, ""49"": 1.0, ""11"": 0.0, ""34"": 0.0, ""99"": 0.0, ""33"": 1.0, ""58"": 0.430779283294674, ""12"": 0.0}}"
37,foolsgold,foolsgold,"[3, 43, 5, 37]","[34, 99, 14, 48, 24, 56]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""43"": 1.0, ""5"": 0.6007005525632066, ""34"": 0.0, ""99"": 0.0, ""14"": 0.0, ""48"": 0.0, ""24"": 0.0, ""56"": 0.0, ""37"": 1.0}}"
38,foolsgold,foolsgold,"[2, 88, 85, 19, 37]","[65, 95, 82, 77, 54]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""88"": 1.0, ""85"": 1.0, ""65"": 0.0, ""95"": 0.0, ""82"": 0.0, ""19"": 0.677910794164569, ""77"": 0.0, ""54"": 0.0, ""37"": 0.421946151500988}}"
39,foolsgold,foolsgold,"[2, 33, 85, 15, 29, 94]","[12, 87, 74, 60]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""33"": 0.6941576623248987, ""12"": 0.0, ""85"": 1.0, ""87"": 0.0, ""74"": 0.0, ""15"": 1.0, ""29"": 1.0, ""94"": 1.0, ""60"": 0.0}}"
40,foolsgold,foolsgold,"[33, 55, 78]","[4, 6, 77, 65, 63, 18, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""6"": 0.0, ""33"": 1.0, ""77"": 0.0, ""65"": 0.0, ""63"": 0.0, ""55"": 1.0, ""18"": 0.0, ""2"": 0.0, ""78"": 0.09499796958551082}}"
41,foolsgold,foolsgold,"[1, 25, 32, 77, 95, 22]","[71, 57, 51, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""71"": 0.0, ""25"": 0.49424827702374374, ""57"": 0.0, ""32"": 1.0, ""77"": 0.49424827702374374, ""51"": 0.0, ""42"": 0.0, ""95"": 1.0, ""22"": 0.4891637244360007}}"
42,foolsgold,foolsgold,"[86, 54, 91, 85]","[2, 23, 61, 0, 63, 37]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""23"": 0.0, ""61"": 0.0, ""86"": 1.0, ""54"": 1.0, ""0"": 0.0, ""91"": 1.0, ""63"": 0.0, ""37"": 0.0, ""85"": 1.0}}"
