epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,863.1222534179688,95.25,91.67999999999999
102,1.0,1574.19189453125,94.99,91.59
103,1.0,2079.543212890625,94.91000000000001,91.63
104,0.9999999403953552,2361.287841796875,94.8,91.61
105,1.0,2862.1669921875,94.67999999999999,91.58
106,0.9999998807907104,3166.272216796875,94.39,91.59
107,0.9999998807907104,3260.18701171875,94.39999999999999,91.55
108,0.9999998807907104,3506.154541015625,94.26,91.61
109,1.0,3872.86962890625,94.01,91.66
110,1.0,4123.3095703125,94.02000000000001,91.61
111,1.0,4378.22119140625,93.72,91.62
112,0.9999998807907104,5053.513671875,92.99,91.61
113,1.0,5576.75341796875,92.75999999999999,91.62
114,0.9999998807907104,5925.580078125,92.65,91.67999999999999
115,1.0,6167.07568359375,92.44,91.75999999999999
116,1.0,6551.67919921875,92.14,91.7
117,0.9999999403953552,7209.0830078125,91.85,91.71000000000001
118,1.0,7450.57861328125,91.66,91.69
119,1.0,8072.20556640625,91.21000000000001,91.71000000000001
120,1.0,8541.779296875,90.99000000000001,91.75
121,1.0,8868.2451171875,90.63,91.77
122,0.9999998807907104,9427.2626953125,90.64,91.61
123,1.0,9726.8955078125,89.99000000000001,91.59
124,1.0,10268.0244140625,89.25999999999999,91.64999999999999
125,1.0,10581.0732421875,89.08,91.71000000000001
126,1.0,11099.841796875,88.92,91.72
127,1.0,11283.19921875,88.71,91.71000000000001
128,1.0,12061.3515625,88.48,91.7
129,1.0,12445.955078125,87.89,91.72
130,1.0,12624.83984375,87.77000000000001,91.74
131,1.0,12727.69921875,87.37,91.75999999999999
132,1.0,13080.998046875,87.22999999999999,91.84
133,1.0,13675.7919921875,86.47,91.83
134,1.0,13881.509765625,86.6,91.86999999999999
135,1.0,14109.58984375,86.45,91.86
136,0.9999999403953552,14239.28125,86.13,91.8
137,0.9999999403953552,14516.5537109375,85.99,91.79
138,0.9999999403953552,15249.9833984375,85.72999999999999,91.84
139,0.9999999403953552,15777.6953125,84.82,91.85
140,0.9999999403953552,16251.7421875,84.45,91.89
141,0.9999999403953552,16730.26171875,84.0,91.93
142,0.9999999403953552,16962.8125,84.22,91.91
143,0.9999999403953552,17432.384765625,83.6,91.91
144,1.0,17638.103515625,83.41,91.93
145,0.9999998807907104,18000.34765625,83.15,91.88
146,0.9999998807907104,18604.0859375,83.52000000000001,91.82000000000001
147,0.9999998807907104,19042.353515625,82.91,91.86
148,0.9999998807907104,19502.984375,82.6,91.85
149,1.0,19932.30859375,81.86,91.88
150,0.9999998807907104,20151.443359375,81.58,91.97999999999999
151,0.9999998807907104,20491.326171875,80.96,91.89
152,1.0,20732.822265625,80.7,91.91
153,1.0,21475.197265625,80.53,91.93
154,1.0,21671.970703125,80.43,91.92
155,1.0,22034.212890625,79.88,91.84
156,0.9999998807907104,22615.591796875,79.94,91.86999999999999
157,0.9999998807907104,22843.669921875,79.57,91.9
158,0.9999998807907104,23657.599609375,78.08,91.97
159,0.9999998807907104,24060.091796875,77.81,91.99000000000001
160,0.9999998807907104,24368.66796875,77.56,91.95
161,1.0,24672.7734375,77.4,91.92
162,0.9999998807907104,24896.380859375,77.25999999999999,91.99000000000001
163,1.0,25477.7578125,76.88000000000001,91.95
164,1.0,26139.634765625,75.22999999999999,91.96
165,1.0,26430.32421875,75.59,92.14
166,1.0,26636.041015625,75.63,92.11
167,1.0,27078.783203125,75.42,92.11
168,0.9999998807907104,27745.130859375,76.84,91.97
169,0.9999998807907104,28317.564453125,76.0,91.97
170,0.9999998807907104,28491.9765625,76.27000000000001,92.01
171,0.9999998807907104,29341.68359375,75.59,91.97
172,0.9999998807907104,29802.314453125,74.28,92.03
173,0.9999998807907104,30169.029296875,73.59,92.10000000000001
174,0.9999998807907104,30294.25,73.44000000000001,92.12
175,0.9999998807907104,30625.1875,72.63,92.11
176,0.9999998807907104,30893.515625,72.09,92.03
177,1.0,31367.560546875,72.99,92.01
178,1.0,31533.029296875,73.61,91.97
179,0.9999998807907104,31640.361328125,73.29,92.0
180,0.9999998807907104,31877.384765625,73.21,92.0
181,1.0,32114.408203125,73.06,91.99000000000001
182,0.9999998807907104,32364.84765625,72.98,92.03
183,1.0,32789.69921875,73.16,92.06
184,1.0,32937.28125,73.45,92.05
185,0.9999998807907104,33684.12890625,73.29,92.06
186,1.0,34256.55859375,72.82,92.06
187,1.0,34507.0,72.58,92.06
188,1.0,35021.296875,72.37,92.07
189,1.0,35150.98828125,72.31,92.08
190,1.0,35405.8984375,72.16,92.03
191,1.0,36434.4921875,71.78999999999999,92.05
192,0.9999998807907104,36653.625,71.77,92.05
193,1.0,37020.33984375,71.71,91.96
194,1.0,37270.78125,71.59,91.94
195,1.0,37548.05078125,71.09,92.0
196,1.0,38236.76171875,70.14,91.99000000000001
197,0.9999998807907104,38719.75390625,70.17,91.97
198,1.0,38840.5,70.17,92.0
199,0.9999998807907104,39636.5390625,69.47,92.08
200,0.9999998807907104,39882.5078125,69.08999999999999,92.07
201,0.9999998807907104,40276.0546875,68.82000000000001,92.05
202,0.9999998807907104,40759.046875,68.82000000000001,92.08
203,0.9999998807907104,40996.0703125,68.92,92.04
204,0.9999998807907104,41738.4453125,69.23,92.02
205,0.9999998807907104,42266.15625,69.85,91.97
206,0.9999998807907104,42628.40234375,68.87,91.95
207,0.9999998807907104,42950.39453125,68.93,91.97
