epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,foolsgold,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_foolsgold.pkl
2,foolsgold,success,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]","[1, 67, 16, 21, 26, 69, 51]","[55, 98, 57]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_foolsgold.pkl
3,foolsgold,success,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]","[9, 81, 70, 41, 42, 68, 58, 20]","[4, 3]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_foolsgold.pkl
4,foolsgold,success,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]","[3, 88, 82, 47]","[99, 15, 12, 44, 81, 49]",10,4,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_foolsgold.pkl
5,foolsgold,success,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]","[4, 80, 31, 84, 45, 95]","[40, 43, 56, 90]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_foolsgold.pkl
6,foolsgold,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],10,10,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_foolsgold.pkl
7,foolsgold,success,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]","[64, 15, 51, 69]","[1, 10, 2, 76, 65, 53]",10,4,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_foolsgold.pkl
8,foolsgold,success,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]","[2, 29, 54, 17, 52, 76, 65, 58]","[14, 57]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_foolsgold.pkl
9,foolsgold,success,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]","[2, 23, 49, 33, 58, 54]","[11, 34, 99, 12]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_foolsgold.pkl
10,foolsgold,success,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]","[4, 65, 63, 55, 18, 2]","[78, 25, 71, 57]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_foolsgold.pkl
11,foolsgold,success,"[2, 44, 50, 12, 72, 26, 19, 56, 93, 20]","[2, 44, 50, 19]","[12, 72, 26, 56, 93, 20]",10,4,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0011_foolsgold.pkl
12,foolsgold,success,"[0, 57, 21, 61, 10, 20, 51, 25, 27, 40]","[0, 51]","[57, 21, 61, 10, 20, 25, 27, 40]",10,2,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0012_foolsgold.pkl
13,foolsgold,success,"[0, 75, 82, 38, 98, 50, 69, 58, 91, 59]","[0, 38, 50, 69]","[75, 82, 98, 58, 91, 59]",10,4,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0013_foolsgold.pkl
14,foolsgold,success,"[1, 98, 24, 5, 25, 10, 51, 16, 92, 27]","[1, 24, 5, 25, 51, 16, 92]","[98, 10, 27]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0014_foolsgold.pkl
15,foolsgold,success,"[1, 69, 8, 16, 77, 29, 65, 68, 89, 95]","[1, 69, 8, 16, 29, 65, 95]","[77, 68, 89]",10,7,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0015_foolsgold.pkl
16,foolsgold,success,"[3, 46, 8, 38, 51, 5, 19, 53, 84, 23]","[3, 8, 38, 51, 53, 84]","[46, 5, 19, 23]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0016_foolsgold.pkl
17,foolsgold,success,"[0, 51, 18, 91, 79, 68, 9, 5, 73, 62]","[0, 51, 18, 79, 9, 5, 73, 62]","[91, 68]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0017_foolsgold.pkl
18,foolsgold,success,"[4, 2, 25, 80, 1, 78, 20, 3, 7, 44]","[2, 25, 80, 1, 7, 44]","[4, 78, 20, 3]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0018_foolsgold.pkl
19,foolsgold,success,"[1, 20, 77, 27, 23, 18, 74, 59, 86, 87]","[1, 20, 27, 59, 86]","[77, 23, 18, 74, 87]",10,5,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0019_foolsgold.pkl
20,foolsgold,success,"[2, 97, 55, 28, 52, 53, 77, 67, 31, 62]","[2, 97, 28, 52, 53, 77, 67, 31]","[55, 62]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0020_foolsgold.pkl
21,foolsgold,success,"[4, 91, 65, 0, 37, 25, 27, 31, 15, 97]","[4, 91, 65, 0, 37, 25, 31, 15]","[27, 97]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0021_foolsgold.pkl
22,foolsgold,success,"[1, 98, 50, 52, 30, 15, 49, 13, 38, 7]","[1, 50, 30, 15, 38, 7]","[98, 52, 49, 13]",10,6,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0022_foolsgold.pkl
23,foolsgold,success,"[3, 30, 82, 46, 21, 54, 29, 47, 77, 48]","[3, 30, 82, 54, 29, 47, 77, 48]","[46, 21]",10,8,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0023_foolsgold.pkl
24,foolsgold,success,"[3, 37, 11, 86, 39, 75, 6, 48, 61, 64]","[3, 86, 39, 48]","[37, 11, 75, 6, 61, 64]",10,4,"[""foolsgold""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_13.24.56_foolsgold_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0024_foolsgold.pkl
