epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""71"": 1.0, ""32"": 0.8604801371757967, ""58"": 0.8604801371757967, ""4"": 0.0, ""24"": 0.0, ""62"": 0.0, ""67"": 1.0, ""43"": 0.9244177050324744, ""29"": 0.9057909904784345}}"
2,foolsgold,foolsgold,"[1, 67, 16, 21, 26, 69, 51]","[55, 98, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""55"": 0.0, ""98"": 0.0, ""67"": 1.0, ""16"": 0.42202885209306906, ""57"": 0.0, ""21"": 1.0, ""26"": 1.0, ""69"": 1.0, ""51"": 0.42202885209306906}}"
3,foolsgold,foolsgold,"[9, 81, 70, 41, 42, 68, 58, 20]","[4, 3]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""9"": 1.0, ""3"": 0.0, ""81"": 1.0, ""70"": 1.0, ""41"": 1.0, ""42"": 1.0, ""68"": 1.0, ""58"": 1.0, ""20"": 1.0}}"
4,foolsgold,foolsgold,"[3, 88, 82, 47]","[99, 15, 12, 44, 81, 49]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 1.0, ""99"": 0.0, ""88"": 1.0, ""15"": 0.0, ""12"": 0.0, ""44"": 0.0, ""82"": 1.0, ""47"": 1.0, ""81"": 0.0, ""49"": 0.0}}"
5,foolsgold,foolsgold,"[4, 80, 31, 84, 45, 95]","[40, 43, 56, 90]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""40"": 0.0, ""80"": 0.2350600403615159, ""31"": 1.0, ""43"": 0.0, ""56"": 0.0, ""84"": 1.0, ""45"": 1.0, ""95"": 0.2350600403615159, ""90"": 0.0}}"
6,foolsgold,foolsgold,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""83"": 1.0, ""82"": 1.0, ""79"": 1.0, ""81"": 1.0, ""91"": 0.8580882435363373, ""53"": 0.8861696442615348, ""52"": 1.0, ""90"": 0.8861696442615348, ""32"": 0.8580882435363373}}"
7,foolsgold,foolsgold,"[64, 15, 51, 69]","[1, 10, 2, 76, 65, 53]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 0.0, ""10"": 0.0, ""64"": 1.0, ""2"": 0.0, ""76"": 0.0, ""65"": 0.0, ""15"": 0.02893550187295113, ""51"": 0.02893550187295113, ""53"": 0.0, ""69"": 1.0}}"
8,foolsgold,foolsgold,"[2, 29, 54, 17, 52, 76, 65, 58]","[14, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""29"": 1.0, ""54"": 0.2913961663582872, ""14"": 0.0, ""17"": 0.660891569784744, ""57"": 0.0, ""52"": 0.660891569784744, ""76"": 0.7659103484894969, ""65"": 0.2913961663582872, ""58"": 1.0}}"
9,foolsgold,foolsgold,"[2, 23, 49, 33, 58, 54]","[11, 34, 99, 12]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""23"": 0.9664094929893794, ""49"": 1.0, ""11"": 0.0, ""34"": 0.0, ""99"": 0.0, ""33"": 1.0, ""58"": 0.10481568247064282, ""12"": 0.0, ""54"": 1.0}}"
10,foolsgold,foolsgold,"[4, 65, 63, 55, 18, 2]","[78, 25, 71, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 1.0, ""65"": 0.40928281821582574, ""63"": 0.40928281821582574, ""55"": 0.3317000019251646, ""18"": 1.0, ""2"": 1.0, ""78"": 0.0, ""25"": 0.0, ""71"": 0.0, ""57"": 0.0}}"
11,foolsgold,foolsgold,"[2, 44, 50, 19]","[12, 72, 26, 56, 93, 20]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""44"": 1.0, ""50"": 1.0, ""12"": 0.0, ""72"": 0.0, ""26"": 0.0, ""19"": 0.7369263001145089, ""56"": 0.0, ""93"": 0.0, ""20"": 0.0}}"
12,foolsgold,foolsgold,"[0, 51]","[57, 21, 61, 10, 20, 25, 27, 40]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""57"": 0.0, ""21"": 0.0, ""61"": 0.0, ""10"": 0.0, ""20"": 0.0, ""51"": 1.0, ""25"": 0.0, ""27"": 0.0, ""40"": 0.0}}"
13,foolsgold,foolsgold,"[0, 38, 50, 69]","[75, 82, 98, 58, 91, 59]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""75"": 0.0, ""82"": 0.0, ""38"": 1.0, ""98"": 0.0, ""50"": 1.0, ""69"": 1.0, ""58"": 0.0, ""91"": 0.0, ""59"": 0.0}}"
14,foolsgold,foolsgold,"[1, 24, 5, 25, 51, 16, 92]","[98, 10, 27]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""98"": 0.0, ""24"": 1.0, ""5"": 0.13488506728373117, ""25"": 1.0, ""10"": 0.0, ""51"": 1.0, ""16"": 1.0, ""92"": 0.13488506728373117, ""27"": 0.0}}"
