epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,67.08207702636719,96.97,91.32000000000001
102,1.0,125.2198486328125,96.94,91.36
103,1.0,250.4396514892578,96.7,91.46
104,1.0,487.4628601074219,96.57,91.55
105,1.0,737.9024047851562,96.39,91.58
106,1.000000238418579,1243.2537841796875,95.76,91.74
107,1.0,1301.3916015625,95.74000000000001,91.77
108,1.000000238418579,1717.3001708984375,95.33,91.84
109,1.0,2030.3497314453125,94.92,91.85
110,1.0,2540.17333984375,94.89,91.88
111,1.0,2763.780029296875,94.83,91.86999999999999
112,1.0,3014.2197265625,94.74000000000001,91.84
113,1.0,3287.02001953125,94.51,91.85
114,1.0000001192092896,3863.925537109375,94.01,91.84
115,1.0,3939.95166015625,93.8,91.81
116,1.0000001192092896,4253.00146484375,93.84,91.86999999999999
117,1.0,4579.46728515625,93.67,91.91
118,1.0,4923.82177734375,93.49,91.91
119,1.000000238418579,6086.5771484375,92.53,92.0
120,1.0,6399.62646484375,92.47999999999999,91.96
121,1.0000001192092896,6641.1220703125,92.42,92.0
122,1.0000001192092896,7258.27685546875,91.92,92.02
123,1.0,7647.3525390625,91.69,91.95
124,1.0000001192092896,7946.9853515625,91.61,91.95
125,1.0,8264.5068359375,91.53,91.97999999999999
126,1.0,8336.0615234375,91.47,91.96
127,1.0000001192092896,8841.412109375,91.10000000000001,91.94
128,1.0,9105.2685546875,90.85,91.91
129,1.0,9601.67578125,90.4,91.96
130,1.0000001192092896,9887.892578125,90.42999999999999,91.86
131,1.0,10080.1943359375,90.42,91.85
132,1.0,10616.8505859375,90.25,91.85
133,1.0000001192092896,10818.0966796875,90.23,91.83
134,1.0,11269.7822265625,90.10000000000001,91.81
135,1.0000001192092896,11685.69140625,89.62,91.94
136,1.0,12012.1572265625,89.63,91.99000000000001
137,1.0,12347.5673828125,89.67,91.95
138,1.0,12450.4267578125,89.7,91.91
139,1.0,13210.689453125,89.31,92.0
140,1.0000001192092896,13425.3525390625,88.8,91.96
141,1.0,13774.1787109375,88.64999999999999,92.0
142,1.0,14373.4453125,88.18,91.93
143,1.0000001192092896,15026.376953125,88.32,92.0
144,1.0,15415.453125,87.96000000000001,92.0
145,1.0,15612.2265625,87.92,91.97999999999999
146,1.0,15925.2763671875,87.75,91.99000000000001
147,1.0000001192092896,16475.349609375,87.4,92.12
148,1.0000001192092896,17105.919921875,87.31,92.05
149,1.0000001192092896,17477.107421875,87.12,92.01
150,1.0000001192092896,17651.521484375,87.3,92.02
151,1.0000001192092896,17839.3515625,87.17,92.0
152,1.0000001192092896,18389.423828125,86.82,92.05
153,1.0,18809.802734375,86.06,92.05
154,1.000000238418579,19122.853515625,85.58,92.14
155,1.0000001192092896,19646.091796875,85.07000000000001,92.14
156,1.0000001192092896,20048.5859375,84.97,92.17999999999999
157,1.0000001192092896,20348.21875,85.02,92.17
158,1.0000001192092896,20768.599609375,84.56,92.10000000000001
159,1.0000001192092896,20871.458984375,84.76,92.17999999999999
160,1.0,21229.228515625,85.17,92.14
161,1.0,21466.251953125,84.95,92.19000000000001
162,1.0,22257.8203125,84.94,92.17
163,1.0000001192092896,22919.697265625,83.95,92.22
164,1.0,23214.857421875,83.82,92.2
165,1.0,23711.265625,83.22,92.2
166,1.0,23970.6484375,83.56,92.16
167,1.0000001192092896,24458.111328125,82.96,92.14
168,1.0,24721.966796875,82.69999999999999,92.17
169,1.0000001192092896,25334.650390625,82.71,92.19000000000001
170,1.0,25504.591796875,82.32000000000001,92.23
171,1.0,25701.365234375,82.35,92.17999999999999
172,1.0,25920.5,82.44,92.16
173,1.0000001192092896,26045.720703125,82.74000000000001,92.12
174,1.0,26591.322265625,82.36,92.14
