epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.9361584749665193}"
1,rflbat,rflbat_cluster_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.13791195799782266]}"
1,rflbat,rflbat_final_distance_filter,"[71, 32, 58, 4, 24, 62, 67, 43, 29]",[3],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 2.8064544377220537}"
2,rflbat,rflbat_first_distance_filter,"[0, 30, 57, 86, 66, 85, 54, 99, 23, 53, 30, 57, 86, 66, 85, 54, 99, 23, 53]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.2537290129036802}"
2,rflbat,rflbat_cluster_filter,"[30, 57, 86, 66, 85, 99, 23, 53, 30, 57, 86, 66, 85, 99, 23, 53]","[0, 54]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 9, 1, 2, 3, 4, 5, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [1.0000000000014448, 1, 0.1806646580070027]}"
2,rflbat,rflbat_final_distance_filter,"[30, 57, 86, 66, 85, 99, 23, 53]","[0, 54]","{""accepted_indices"": [1, 2, 3, 4, 5, 7, 8, 9, 1, 2, 3, 4, 5, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.10036284111263863}"
3,rflbat,rflbat_first_distance_filter,"[2, 39, 9, 63, 48, 35, 87, 5, 13, 50, 39, 9, 63, 48, 35, 87, 5, 13, 50]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 1.024354281625832}"
3,rflbat,rflbat_cluster_filter,"[2, 39, 9, 63, 48, 35, 87, 5, 13, 50, 39, 9, 63, 48, 35, 87, 5, 13, 50]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.11626893962670286]}"
3,rflbat,rflbat_final_distance_filter,"[39, 9, 63, 48, 35, 87, 5, 13, 50]",[2],"{""accepted_indices"": [1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 1.1851217549314648}"
4,rflbat,rflbat_first_distance_filter,"[1, 98, 26, 62, 6, 55, 78, 43, 84, 14, 98, 26, 62, 6, 55, 78, 43, 84, 14]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 0.843501326546136}"
