,main,main_loss,backdoor,backdoor_loss,lr
1,91.55,0.0011456228211522103,10.76,0.02747246890068054,0.002
2,92.08,0.0011240021780133248,10.03,0.03498816728591919,0.002
3,92.05,0.001120245473086834,10.2,0.03157939944267273,0.002
4,92.03,0.001126349563896656,9.89,0.034452510261535646,0.002
5,92.13,0.0011088637933135033,9.82,0.03318094391822815,0.002
6,91.82000000000001,0.0011580865144729614,8.89,0.036904641151428226,0.002
7,92.16,0.0011199682623147965,9.64,0.03626985034942627,0.002
8,92.10000000000001,0.0011088971376419067,10.34,0.03348686876296997,0.002
9,92.13,0.0011074800536036492,9.78,0.033403508377075196,0.002
10,92.13,0.0011358252927660942,9.0,0.03863221015930176,0.002
11,92.08,0.0011160799577832222,10.14,0.034194390869140626,0.002
12,92.16,0.0011049101501703262,10.18,0.03396038217544556,0.002
13,92.17999999999999,0.0011021246686577797,10.040000000000001,0.035270465755462645,0.002
14,92.22,0.0010897940695285798,10.08,0.034653245067596435,0.002
15,92.14,0.0010976015284657479,10.2,0.03442214517593384,0.002
16,92.15,0.0011166348442435265,9.35,0.03565553407669068,0.002
17,92.25,0.001090886352956295,10.31,0.03241015419960022,0.002
18,91.09,0.0012121315270662307,25.61,0.012820903778076171,0.002
19,91.62,0.0011377947524189949,17.29,0.016991169118881225,0.002
20,91.75999999999999,0.0011399621739983559,15.72,0.01786251173019409,0.002
21,91.66,0.001136288771033287,14.23,0.01831806402206421,0.002
22,91.74,0.0011557778105139732,27.27,0.013079892230033875,0.002
23,91.78,0.0011404427602887154,26.810000000000002,0.01362988076210022,0.002
24,92.08,0.0011047635421156884,21.39,0.015309753608703612,0.002
25,91.94,0.0011351826921105386,15.53,0.02098928656578064,0.002
26,92.17,0.0010871872350573539,20.16,0.015548726272583007,0.002
27,92.05,0.0011116360887885094,14.790000000000001,0.022062825441360474,0.002
28,92.23,0.001092979198694229,17.41,0.01938442621231079,0.002
29,92.25,0.0010676480576395989,16.13,0.019882848930358885,0.002
30,92.13,0.0010776442423462867,14.44,0.022173112630844115,0.002
31,92.15,0.001083084626495838,15.27,0.019561119604110718,0.002
32,92.14,0.001073336447775364,14.069999999999999,0.02176361107826233,0.002
33,92.08,0.0010717539310455323,15.2,0.0192296404838562,0.002
34,91.97999999999999,0.0011026613593101502,12.27,0.023388339138031004,0.002
35,92.14,0.0010876549303531647,13.100000000000001,0.022880778074264526,0.002
36,91.99000000000001,0.0011001055285334586,11.32,0.024058855772018432,0.002
37,91.81,0.0010964418575167656,12.0,0.023534955453872682,0.002
38,92.05,0.0010943394020199776,12.75,0.023763776159286498,0.002
39,92.04,0.0010716249272227287,12.13,0.023965516233444215,0.002
40,92.16,0.0010551802709698676,13.74,0.021031244897842406,0.002
41,92.04,0.0010577809140086174,13.16,0.021933384037017823,0.002
42,92.02,0.001077644869685173,12.58,0.023258625841140745,0.002
43,92.12,0.0010707347631454468,12.5,0.022845122003555297,0.002
44,92.25,0.0010622692555189133,12.809999999999999,0.02304000782966614,0.002
45,92.17999999999999,0.0010620529383420945,12.75,0.022007910108566283,0.002
46,92.03,0.0010780572146177293,11.73,0.025132939863204955,0.002
47,92.12,0.0010683135151863098,11.75,0.023895389318466187,0.002
48,92.09,0.0010609147489070892,11.87,0.02245762062072754,0.002
49,92.14,0.0010749827444553376,11.12,0.02382795820236206,0.002
50,92.12,0.0010756473794579506,11.68,0.025707922458648683,0.002
51,91.93,0.0011165922433137893,9.94,0.028784048557281495,0.002
52,92.13,0.0010559528946876525,12.29,0.022184418773651123,0.002
53,92.23,0.0010597096443176269,12.280000000000001,0.022148168659210207,0.002
54,92.25,0.0010513937622308731,12.7,0.022027408170700074,0.002
55,91.92,0.0011169210374355316,18.12,0.018954641485214235,0.002
56,91.96,0.0011091333970427513,22.98,0.016248920154571533,0.002
57,91.0,0.0012319403275847436,83.56,0.002321484082937241,0.002
58,91.25,0.0012058137193322182,80.74,0.0027433137953281404,0.002
59,91.09,0.0011895747274160385,83.72,0.002141737848520279,0.002
60,91.89,0.0011176443830132484,75.5,0.0032622227489948275,0.002
61,91.95,0.001111837339401245,72.83,0.003487182343006134,0.002
62,91.94,0.001097600232064724,71.05,0.0036038507878780367,0.002
63,91.93,0.0010909245222806931,67.27,0.004010799932479859,0.002
64,91.99000000000001,0.0010936840564012527,63.89,0.004544714975357056,0.002
65,92.08,0.0010815703868865968,61.809999999999995,0.004906184208393097,0.002
66,92.13,0.0010869006648659707,63.92,0.00461010462641716,0.002
67,92.05,0.001081153330206871,55.63,0.005589206635951996,0.002
68,91.82000000000001,0.001122748325765133,47.02,0.008062273585796356,0.002
69,91.96,0.0010824255377054213,51.55,0.006624698412418365,0.002
70,91.81,0.0011119912698864937,69.46,0.004098049348592758,0.002
71,92.10000000000001,0.0011012068554759025,78.36,0.0027266376197338103,0.002
72,92.16,0.001082895915210247,73.86,0.0032603171527385713,0.002
73,92.11,0.0010847421005368233,67.31,0.004266545242071151,0.002
74,92.10000000000001,0.0010687066182494163,64.42999999999999,0.004799921500682831,0.002
75,92.01,0.0010710343256592752,65.94,0.00456005654335022,0.002
76,92.36,0.0010721111878752708,62.72,0.004947894442081452,0.002
77,92.11,0.0010817620858550071,56.74,0.006260207378864288,0.002
78,92.10000000000001,0.0010634932532906532,56.879999999999995,0.005720176029205323,0.002
79,92.22,0.0010632679268717765,58.540000000000006,0.005564219439029693,0.002
80,92.01,0.001072113400697708,53.459999999999994,0.0063602698564529415,0.002
81,92.19000000000001,0.001074573490023613,49.66,0.007169179046154022,0.002
82,92.36999999999999,0.001063930469751358,53.010000000000005,0.006402481234073639,0.002
83,92.32000000000001,0.001069086828827858,52.53,0.006690556073188782,0.002
84,92.36,0.0010679302409291268,52.61,0.006709388267993927,0.002
85,92.19000000000001,0.0010968534052371978,43.96,0.008924319994449615,0.002
86,92.28,0.0010569809898734093,50.839999999999996,0.0068541567921638485,0.002
87,92.16,0.0010763671770691872,44.66,0.008440462207794189,0.002
88,92.23,0.0010764590308070183,43.05,0.008282613050937653,0.002
89,92.17,0.0010716804012656212,44.75,0.00781542946100235,0.002
90,92.07,0.0010910788893699645,40.29,0.009190731418132782,0.002
91,91.79,0.0011099070936441422,89.03999999999999,0.0014673764705657958,0.002
92,91.71000000000001,0.0011385822668671607,92.67999999999999,0.0009981714949011803,0.002
93,91.69,0.001153582401573658,91.95,0.0011425335958600044,0.002
94,91.81,0.0011284820765256882,92.36999999999999,0.0010431799992918968,0.002
95,91.77,0.0011266981139779091,93.45,0.0008695914313197136,0.002
96,91.72,0.0011265457287430764,92.65,0.0009600766018033027,0.002
97,91.75999999999999,0.0011111371025443078,91.93,0.0010838019400835038,0.002
98,92.12,0.0011162405252456665,91.73,0.0010564545825123787,0.002
99,92.07,0.0011066841721534728,89.78,0.0012729904666543006,0.002
100,92.07,0.0010948503032326697,87.77000000000001,0.001506497898697853,0.002
101,92.09,0.001094255940616131,86.69,0.0016054159671068191,0.002
102,92.24,0.0011039699614048004,85.15,0.0017802425980567931,0.002
103,92.22,0.001089118930697441,83.02000000000001,0.0020702479362487793,0.002
104,92.23,0.0010795328721404077,83.21,0.002041741418838501,0.002
105,92.24,0.0010809932321310042,81.76,0.0022198023051023482,0.002
106,92.01,0.0010986414343118667,80.80000000000001,0.002426413381099701,0.002
107,92.16,0.001079704101383686,77.24,0.0029453166484832765,0.002
108,92.19000000000001,0.00106927610039711,78.94,0.0025560510009527207,0.002
109,92.17,0.0010724748909473419,75.33999999999999,0.00290582515001297,0.002
110,92.30000000000001,0.00107583437114954,73.82,0.0030884247362613676,0.002
