epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,rflbat,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],10,10,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_rflbat.pkl
2,rflbat,success,"[3, 84, 1, 6, 55, 69, 10, 34, 29, 47]","[84, 6, 55, 69, 10, 34, 29, 47]","[3, 1]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_rflbat.pkl
3,rflbat,success,"[2, 8, 96, 88, 10, 84, 40, 32, 74, 75]","[8, 96, 10, 84, 40, 32, 74, 75]","[2, 88]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_rflbat.pkl
4,rflbat,success,"[1, 11, 80, 54, 82, 41, 21, 93, 9, 89]","[11, 80, 54, 82, 41, 21, 93, 9, 89]",[1],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_rflbat.pkl
5,rflbat,success,"[0, 56, 52, 95, 80, 86, 61, 40, 87, 53]","[56, 52, 95, 80, 86, 61, 40, 87, 53]",[0],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_rflbat.pkl
6,rflbat,success,"[3, 6, 89, 83, 25, 38, 97, 66, 80, 63]","[6, 89, 83, 25, 38, 97, 66, 80, 63]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_rflbat.pkl
7,rflbat,success,"[0, 86, 58, 7, 84, 49, 33, 78, 16, 39]","[86, 58, 7, 84, 49, 33, 78, 16, 39]",[0],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_rflbat.pkl
8,rflbat,success,"[3, 51, 99, 82, 85, 94, 92, 33, 53, 79]","[51, 99, 82, 85, 94, 92, 33, 53, 79]",[3],10,9,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_rflbat.pkl
9,rflbat,success,"[0, 93, 67, 83, 57, 4, 66, 53, 89, 31]","[93, 67, 83, 57, 66, 53, 89, 31]","[0, 4]",10,8,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_rflbat.pkl
10,rflbat,success,"[3, 96, 59, 99, 26, 90, 52, 9, 39, 93]","[96, 99, 26, 90, 52, 39, 93]","[3, 59, 9]",10,7,"[""rflbat_first_distance_filter"", ""rflbat_cluster_filter"", ""rflbat_final_distance_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_18.01.53_rflbat_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_rflbat.pkl
