epoch,method,stage,selected,rejected,human
1,rflbat,rflbat_first_distance_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 8.494772115909726}"
1,rflbat,rflbat_cluster_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.1185104439589049]}"
1,rflbat,rflbat_final_distance_filter,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 12.848425477894684}"
2,rflbat,rflbat_first_distance_filter,"[3, 84, 1, 6, 55, 69, 10, 34, 29, 47, 84, 1, 6, 55, 69, 10, 34, 29, 47]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 6.761728300633191}"
2,rflbat,rflbat_cluster_filter,"[84, 6, 55, 69, 10, 34, 29, 47, 84, 6, 55, 69, 10, 34, 29, 47]","[3, 1]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.16055897168630157, 0.9999999999996165, 1]}"
2,rflbat,rflbat_final_distance_filter,"[84, 6, 55, 69, 10, 34, 29, 47]","[3, 1]","{""accepted_indices"": [1, 3, 4, 5, 6, 7, 8, 9, 1, 3, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.019377489320639193}"
3,rflbat,rflbat_first_distance_filter,"[2, 8, 96, 88, 10, 84, 40, 32, 74, 75, 8, 96, 88, 10, 84, 40, 32, 74, 75]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.5845246305720524}"
3,rflbat,rflbat_cluster_filter,"[8, 96, 10, 84, 40, 32, 74, 75, 8, 96, 10, 84, 40, 32, 74, 75]","[2, 88]","{""accepted_indices"": [1, 2, 4, 5, 6, 7, 8, 9, 1, 2, 4, 5, 6, 7, 8, 9], ""num_clusters"": 3, ""cluster_scores"": [0.14122218150126664, 1, 1.0000000000026816]}"
3,rflbat,rflbat_final_distance_filter,"[8, 96, 10, 84, 40, 32, 74, 75]","[2, 88]","{""accepted_indices"": [1, 2, 4, 5, 6, 7, 8, 9, 1, 2, 4, 5, 6, 7, 8, 9], ""eps2"": 6, ""distance_median"": 0.19199021892748722}"
4,rflbat,rflbat_first_distance_filter,"[1, 11, 80, 54, 82, 41, 21, 93, 9, 89, 11, 80, 54, 82, 41, 21, 93, 9, 89]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""eps1"": 10, ""distance_median"": 3.250848909974563}"
4,rflbat,rflbat_cluster_filter,"[1, 11, 80, 54, 82, 41, 21, 93, 9, 89, 11, 80, 54, 82, 41, 21, 93, 9, 89]",[],"{""accepted_indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 1, 2, 3, 4, 5, 6, 7, 8, 9], ""num_clusters"": 1, ""cluster_scores"": [0.20231130860204952]}"
