epoch,cosine_similarity,l2_distance,backdoor,main
101,0.9999999403953552,389.0761413574219,98.82,91.71000000000001
102,0.9999999403953552,760.26318359375,93.95,91.52
103,0.9999998807907104,1140.3946533203125,97.81,91.72
104,0.9999998807907104,1583.1361083984375,98.28,91.72
105,0.9999998807907104,1918.5462646484375,84.34,91.7
106,0.9999998807907104,2338.927001953125,96.84,91.66
107,0.9999998807907104,2777.196533203125,97.8,91.71000000000001
108,1.0,3188.633056640625,98.4,91.77
109,0.9999998807907104,3461.433349609375,80.97,91.57
110,0.9999998807907104,3904.1748046875,95.33,91.8
111,0.9999998807907104,4333.49951171875,82.5,91.9
112,1.0,4628.66064453125,96.96000000000001,91.75
113,0.9999998807907104,5075.87451171875,97.23,91.79
114,1.0,5442.58935546875,92.7,91.78
115,1.0,5804.83251953125,96.08,91.77
116,0.9999998807907104,6225.21337890625,94.32000000000001,91.84
117,0.9999998807907104,6694.78759765625,96.41999999999999,91.83
118,0.9999998807907104,7079.39111328125,97.27,91.84
119,1.0,7490.82763671875,79.71000000000001,91.88
120,1.0,7924.625,96.31,91.82000000000001
121,0.9999999403953552,8264.5068359375,86.11999999999999,91.75999999999999
122,1.0,8631.22265625,96.25,91.81
123,0.9999999403953552,9038.1865234375,94.33,91.71000000000001
124,0.9999999403953552,9485.400390625,88.25,91.73
125,0.9999999403953552,9887.892578125,95.81,91.86
126,0.9999999403953552,10196.4697265625,92.99,91.56
127,0.9999998807907104,10594.490234375,93.49,91.84
128,0.9999999403953552,11032.759765625,85.06,91.93
129,0.9999999403953552,11547.0546875,94.64,91.88
130,1.0,11860.1044921875,93.08,91.83
131,0.9999998807907104,12307.318359375,94.11,91.58
132,0.9999998807907104,12629.3115234375,76.6,91.66
133,0.9999998807907104,13013.916015625,90.95,91.8
134,1.0,13407.4638671875,83.22,91.94
135,1.0,13774.1787109375,85.1,91.9
136,0.9999998807907104,14190.087890625,78.75,91.79
137,1.0,14547.8583984375,90.11,91.91
138,0.9999998807907104,14932.4619140625,90.85,91.77
139,0.9999998807907104,15370.7314453125,91.56,92.0
140,0.9999998807907104,15652.4755859375,90.45,91.86
141,0.9999998807907104,16050.49609375,92.52,91.59
142,0.9999998807907104,16412.73828125,88.78,91.94
143,1.0,16766.037109375,90.05,91.92
144,0.9999998807907104,17168.53125,88.79,91.7
145,0.9999998807907104,17548.662109375,90.42999999999999,91.96
146,0.9999998807907104,17951.15234375,89.13,91.81
147,1.0,18398.3671875,89.59,91.96
148,1.0,18787.443359375,86.44,91.67
149,0.9999998807907104,19243.599609375,83.0,91.84
150,1.0,19708.703125,90.82000000000001,91.74
151,0.9999998807907104,20012.80859375,82.77,91.62
152,0.9999998807907104,20352.689453125,87.49,92.0
153,0.9999998807907104,20701.517578125,88.82,91.8
154,0.9999998807907104,21117.42578125,81.01,91.64
155,0.9999998807907104,21515.4453125,85.3,91.93
156,0.9999998807907104,21873.216796875,88.92999999999999,92.02
157,0.9999998807907104,22311.486328125,89.60000000000001,92.04
158,0.9999998807907104,22646.896484375,85.18,91.97
159,0.9999998807907104,23188.025390625,89.37,91.67999999999999
160,0.9999998807907104,23554.73828125,86.42999999999999,91.9
161,0.9999998807907104,23966.17578125,84.23,91.82000000000001
162,0.9999998807907104,24399.974609375,87.94999999999999,92.19000000000001
163,0.9999998807907104,24753.271484375,70.81,91.88
164,0.9999998807907104,25151.29296875,81.73,91.93
165,0.9999998807907104,25562.728515625,87.59,91.83
166,0.9999998807907104,25983.111328125,85.77,91.89
167,0.9999998807907104,26372.185546875,80.08999999999999,91.78
