epoch,method,status,initial_participants,final_selected,rejected,num_initial,num_final,stage_names,pkl_path
1,deepsight,success,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]","[3, 58, 24, 62, 67, 43, 29]","[71, 32, 4]",10,7,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0001_deepsight.pkl
2,deepsight,success,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]","[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0002_deepsight.pkl
3,deepsight,success,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]","[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0003_deepsight.pkl
4,deepsight,success,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]","[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0004_deepsight.pkl
5,deepsight,success,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]","[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0005_deepsight.pkl
6,deepsight,success,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[2, 83, 82, 79, 81, 91, 53, 52, 90]",[32],10,9,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0006_deepsight.pkl
7,deepsight,success,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]","[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0007_deepsight.pkl
8,deepsight,success,"[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]","[2, 29, 54, 14, 17, 57, 52, 76, 65, 58]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0008_deepsight.pkl
9,deepsight,success,"[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]","[2, 23, 49, 11, 34, 99, 33, 58, 12, 54]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0009_deepsight.pkl
10,deepsight,success,"[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]","[4, 65, 63, 55, 18, 2, 78, 25, 71, 57]",[],10,10,"[""deepsight_ensemble_cluster"", ""deepsight_final_filter""]",../main/re_result_6-29_APRA/cifar10_500_Jun.30_22.52.49_deepsight_fix_True_no-mia_no-mia-class_no-noise_neurotoxin/agg_records/pkl/round_0010_deepsight.pkl
