epoch,method,stage,selected,rejected,human
1,deepsight,deepsight_ensemble_cluster,"[3, 71, 32, 58, 4, 24, 62, 67, 43, 29]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, 0, 0, 0, 0, 0, 0, 0], ""ddif_cluster"": [-1, 0, 0, 0, -1, 0, 0, 0, 0, 0], ""ensemble_cluster"": [0, -1, -1, 0, -1, 0, 0, 0, 0, 0]}"
1,deepsight,deepsight_final_filter,"[3, 58, 24, 62, 67, 43, 29]","[71, 32, 4]","{""n_exceeds"": [4, 5, 3, 8, 6, 5, 6, 6, 10, 7], ""classification_boundary"": 3.0, ""identified_mals"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [0, -1, -1, 0, -1, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": [-1]}"
2,deepsight,deepsight_ensemble_cluster,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],"{""cosine_cluster"": [-1, 0, 0, -1, -1, 0, -1, -1, -1, 0], ""neup_cluster"": [-1, 0, 0, 0, 0, 0, 0, -1, -1, 0], ""ddif_cluster"": [-1, 0, 0, 0, 0, 0, 0, -1, 0, 0], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
2,deepsight,deepsight_final_filter,"[1, 55, 98, 67, 16, 57, 21, 26, 69, 51]",[],"{""n_exceeds"": [2, 6, 10, 6, 9, 9, 7, 3, 4, 6], ""classification_boundary"": 3.0, ""identified_mals"": [1, 0, 0, 0, 0, 0, 0, 1, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
3,deepsight,deepsight_ensemble_cluster,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],"{""cosine_cluster"": [0, -1, 0, -1, 0, 0, -1, -1, -1, -1], ""neup_cluster"": [0, 0, -1, 0, 0, 0, 0, 0, 0, 0], ""ddif_cluster"": [-1, 0, -1, 0, 0, -1, 0, 0, 0, 0], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
3,deepsight,deepsight_final_filter,"[4, 9, 3, 81, 70, 41, 42, 68, 58, 20]",[],"{""n_exceeds"": [4, 7, 5, 8, 8, 3, 5, 7, 8, 6], ""classification_boundary"": 3.25, ""identified_mals"": [0, 0, 0, 0, 0, 1, 0, 0, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
4,deepsight,deepsight_ensemble_cluster,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, -1, -1, 0, 0, 0, 0, -1, 0, 0], ""ddif_cluster"": [-1, 0, -1, 0, 0, 0, 0, -1, 0, 0], ""ensemble_cluster"": [0, -1, 0, 0, 0, 0, 0, 0, 0, 0]}"
4,deepsight,deepsight_final_filter,"[3, 99, 88, 15, 12, 44, 82, 47, 81, 49]",[],"{""n_exceeds"": [4, 4, 1, 8, 6, 7, 6, 5, 5, 5], ""classification_boundary"": 2.5, ""identified_mals"": [0, 0, 1, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [0, -1, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
5,deepsight,deepsight_ensemble_cluster,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [0, 0, 0, -1, 0, 0, -1, 0, -1, 0], ""ddif_cluster"": [-1, 0, 0, -1, 0, 0, 0, 0, -1, 0], ""ensemble_cluster"": [-1, 0, 0, 0, 0, 0, -1, 0, 1, 0]}"
5,deepsight,deepsight_final_filter,"[4, 40, 80, 31, 43, 56, 84, 45, 95, 90]",[],"{""n_exceeds"": [6, 4, 7, 3, 8, 7, 4, 7, 4, 9], ""classification_boundary"": 3.25, ""identified_mals"": [0, 0, 0, 1, 0, 0, 0, 0, 0, 0], ""clusters"": [-1, 0, 0, 0, 0, 0, -1, 0, 1, 0], ""deleted_cluster_ids"": []}"
6,deepsight,deepsight_ensemble_cluster,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]",[],"{""cosine_cluster"": [-1, -1, -1, -1, -1, -1, -1, -1, -1, -1], ""neup_cluster"": [-1, 0, -1, 0, 0, 0, 0, 0, 0, -1], ""ddif_cluster"": [-1, 0, 0, 0, 0, 0, 0, 0, 0, -1], ""ensemble_cluster"": [0, 0, -1, 0, 0, 0, 0, 0, 0, 1]}"
6,deepsight,deepsight_final_filter,"[2, 83, 82, 79, 81, 91, 53, 52, 90]",[32],"{""n_exceeds"": [5, 6, 6, 8, 3, 8, 7, 7, 10, 3], ""classification_boundary"": 3.25, ""identified_mals"": [0, 0, 0, 0, 1, 0, 0, 0, 0, 1], ""clusters"": [0, 0, -1, 0, 0, 0, 0, 0, 0, 1], ""deleted_cluster_ids"": [1]}"
7,deepsight,deepsight_ensemble_cluster,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],"{""cosine_cluster"": [-1, -1, 0, -1, -1, 0, -1, -1, 0, -1], ""neup_cluster"": [0, -1, 0, -1, 0, 0, 0, 0, 0, -1], ""ddif_cluster"": [-1, -1, 0, -1, 0, 0, 0, 0, 0, -1], ""ensemble_cluster"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}"
7,deepsight,deepsight_final_filter,"[1, 10, 64, 2, 76, 65, 15, 51, 53, 69]",[],"{""n_exceeds"": [7, 2, 6, 4, 10, 8, 6, 7, 6, 4], ""classification_boundary"": 3.0, ""identified_mals"": [0, 1, 0, 0, 0, 0, 0, 0, 0, 0], ""clusters"": [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], ""deleted_cluster_ids"": []}"
