epoch,method,stage,selected,rejected,human
1,foolsgold,foolsgold,"[71, 32, 58, 67, 43, 29]","[3, 4, 24, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""71"": 1.0, ""32"": 0.2986502185980923, ""58"": 0.2986502185980923, ""4"": 0.0, ""24"": 0.0, ""62"": 0.0, ""67"": 1.0, ""43"": 0.9325955006849489, ""29"": 0.29879088852477403}}"
2,foolsgold,foolsgold,"[73, 99, 15, 37, 93, 22]","[3, 72, 20, 74]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""73"": 1.0, ""72"": 0.0, ""99"": 0.14661567663495906, ""20"": 0.0, ""15"": 0.4115702529978553, ""37"": 1.0, ""93"": 1.0, ""74"": 0.0, ""22"": 0.14661567663495906}}"
3,foolsgold,foolsgold,"[11, 29, 61, 62, 31, 89]","[2, 14, 0, 55]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""11"": 1.0, ""29"": 0.44917916250109186, ""61"": 0.8702016069359744, ""14"": 0.0, ""62"": 0.42689288821262533, ""31"": 1.0, ""0"": 0.0, ""55"": 0.0, ""89"": 0.42689288821262533}}"
4,foolsgold,foolsgold,"[1, 73, 68, 53, 34, 88]","[5, 48, 28, 72]","{""layer_name"": ""linear"", ""weights_by_client"": {""1"": 1.0, ""73"": 1.0, ""5"": 0.0, ""68"": 1.0, ""48"": 0.0, ""28"": 0.0, ""53"": 1.0, ""72"": 0.0, ""34"": 1.0, ""88"": 1.0}}"
5,foolsgold,foolsgold,"[4, 55, 67, 16, 21, 26, 69]","[27, 98, 57]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.5883533544054007, ""27"": 0.0, ""55"": 0.1696724758600801, ""98"": 0.0, ""67"": 1.0, ""16"": 0.5883533544054007, ""57"": 0.0, ""21"": 1.0, ""26"": 1.0, ""69"": 1.0}}"
6,foolsgold,foolsgold,"[55, 53, 6, 52, 61, 48]","[3, 44, 86, 62]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""55"": 1.0, ""44"": 0.0, ""86"": 0.0, ""53"": 0.21960446822822838, ""6"": 0.1672175361692464, ""52"": 0.7546561443004272, ""61"": 0.1672175361692464, ""62"": 0.0, ""48"": 1.0}}"
7,foolsgold,foolsgold,"[2, 46, 58, 32, 95, 97, 38]","[73, 42, 13]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 1.0, ""73"": 0.0, ""46"": 0.5977720653472813, ""58"": 0.7295028911360038, ""32"": 0.7295028911360038, ""95"": 1.0, ""97"": 1.0, ""42"": 0.0, ""38"": 0.5977720653472813, ""13"": 0.0}}"
8,foolsgold,foolsgold,[0],"[41, 96, 97, 82, 86, 57, 62, 85, 17]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 1.0, ""41"": 0.0, ""96"": 0.0, ""97"": 0.0, ""82"": 0.0, ""86"": 0.0, ""57"": 0.0, ""62"": 0.0, ""85"": 0.0, ""17"": 0.0}}"
9,foolsgold,foolsgold,"[23, 43, 96, 69, 84]","[2, 1, 38, 6, 89]","{""layer_name"": ""linear"", ""weights_by_client"": {""2"": 0.0, ""1"": 0.0, ""38"": 0.0, ""6"": 0.0, ""23"": 0.9884521575417666, ""43"": 1.0, ""89"": 0.0, ""96"": 1.0, ""69"": 1.0, ""84"": 0.9884521575417666}}"
10,foolsgold,foolsgold,"[81, 70]","[4, 95, 65, 71, 9, 3, 41, 42]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""95"": 0.0, ""65"": 0.0, ""71"": 0.0, ""9"": 0.0, ""3"": 0.0, ""81"": 1.0, ""70"": 1.0, ""41"": 0.0, ""42"": 0.0}}"
11,foolsgold,foolsgold,"[58, 20, 38, 97]","[4, 28, 44, 63, 65, 47]","{""layer_name"": ""linear"", ""weights_by_client"": {""4"": 0.0, ""58"": 1.0, ""20"": 0.6848011982527542, ""28"": 0.0, ""44"": 0.0, ""63"": 0.0, ""65"": 0.0, ""38"": 0.035395421710648745, ""97"": 1.0, ""47"": 0.0}}"
12,foolsgold,foolsgold,"[81, 20, 37, 15, 11, 48]","[3, 6, 68, 2]","{""layer_name"": ""linear"", ""weights_by_client"": {""3"": 0.0, ""81"": 1.0, ""20"": 0.5316243068517245, ""6"": 0.0, ""68"": 0.0, ""2"": 0.0, ""37"": 1.0, ""15"": 0.539011004228328, ""11"": 1.0, ""48"": 1.0}}"
13,foolsgold,foolsgold,"[95, 39]","[0, 60, 98, 75, 32, 15, 52, 49]","{""layer_name"": ""linear"", ""weights_by_client"": {""0"": 0.0, ""60"": 0.0, ""95"": 1.0, ""98"": 0.0, ""39"": 1.0, ""75"": 0.0, ""32"": 0.0, ""15"": 0.0, ""52"": 0.0, ""49"": 0.0}}"
