epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,737.9025268554688,100.0,92.05
102,0.9999999403953552,1453.4442138671875,100.0,91.81
103,1.0,2173.4580078125,100.0,92.12
104,1.0,2996.3310546875,100.0,91.93
105,1.0,3640.318603515625,100.0,92.01
106,0.9999999403953552,4342.44384765625,100.0,91.79
107,1.0,5165.31689453125,100.0,91.74
108,1.0,5916.6357421875,100.0,91.77
109,1.0,6574.0400390625,100.0,91.84
110,0.9999999403953552,7285.10986328125,100.0,91.97
111,1.0,8031.9560546875,100.0,92.12
112,1.0,8751.9697265625,100.0,92.04
113,0.9999999403953552,9565.8984375,100.0,91.91
114,1.0,10281.4404296875,100.0,91.86
115,0.9999998807907104,10970.1494140625,100.0,91.85
116,1.0,11752.7734375,100.0,92.13
117,1.0,12629.3115234375,100.0,91.86
118,1.0,13358.26953125,100.0,91.9
119,0.9999998807907104,14136.421875,100.0,91.83
120,1.0,14851.9638671875,100.0,92.03
121,1.0,15625.6435546875,100.0,91.9
122,1.0,16309.8798828125,100.0,92.24
123,1.0,17088.03125,100.0,91.85
124,1.0,17919.849609375,100.0,92.11
125,1.0,18626.4453125,100.0,92.0
126,0.9999998807907104,19265.9609375,100.0,91.77
127,1.0,19972.55859375,100.0,91.78
128,1.0,20808.849609375,100.0,92.19000000000001
129,1.0,21613.83203125,100.0,92.06
130,1.0,22356.20703125,100.0,92.03
131,0.9999998807907104,23111.998046875,100.0,91.81
132,1.0,23809.65234375,100.0,91.83
133,1.0,24516.248046875,100.0,91.96
134,0.9999998807907104,25249.6796875,100.0,91.94
135,0.9999998807907104,25942.859375,100.0,91.75999999999999
136,1.0,26671.818359375,100.0,91.75
137,1.0,27387.361328125,100.0,91.81
138,1.0,28111.84765625,100.0,91.81
139,1.0,28840.8046875,100.0,91.91
140,0.9999998807907104,29449.013671875,100.0,91.92
141,0.9999998807907104,30182.4453125,100.0,91.66
142,0.9999998807907104,30839.849609375,100.0,91.95
143,0.9999998807907104,31492.78125,100.0,91.96
144,1.0,32302.23828125,100.0,91.78
145,1.0,32973.05859375,100.0,92.07
146,1.0,33795.9296875,100.0,91.91
147,1.0,34623.27734375,100.0,91.99000000000001
148,1.0,35370.125,100.0,91.82000000000001
149,1.0,36255.60546875,100.0,92.0
150,1.0,37020.33984375,100.0,91.86999999999999
151,1.0,37709.05078125,100.0,91.85
152,1.0,38339.62109375,100.0,92.04
153,1.0,39010.44140625,100.0,91.86
154,1.0,39766.23046875,100.0,91.73
155,1.0,40459.4140625,100.0,92.10000000000001
156,1.0,41197.31640625,100.0,92.06
157,1.0,41930.74609375,100.0,92.02
158,0.9999998807907104,42682.06640625,100.0,92.01
159,1.0,43567.546875,100.0,92.0
160,1.0,44426.19921875,100.0,92.05
161,1.0,45208.82421875,100.0,92.06
162,1.0,45919.89453125,100.0,92.0
163,1.0,46702.515625,100.0,92.11
164,0.9999998807907104,47386.75390625,100.0,91.99000000000001
165,1.0,48196.2109375,100.0,92.02
166,1.0,49005.6640625,100.0,91.91
167,1.0,49748.0390625,100.0,92.16
168,0.9999998807907104,50530.6640625,100.0,92.22
169,0.9999998807907104,51201.484375,100.0,92.01
170,1.0,51778.38671875,100.0,92.19000000000001
171,1.0,52583.375,100.0,91.7
172,1.0,53442.0234375,100.0,92.01
173,1.0,54126.26171875,100.0,92.09
174,1.0,54926.7734375,100.0,92.14
175,1.0,55740.703125,100.0,92.0
176,1.0,56541.21484375,100.0,91.67999999999999
177,1.0,57198.62109375,100.0,92.04
178,1.0,57887.328125,100.0,92.06
179,1.0,58647.58984375,100.0,91.92
180,1.0,59488.3515625,100.0,92.19000000000001
181,0.9999999403953552,60194.94921875,100.0,92.21000000000001
182,0.9999999403953552,60964.15625,100.0,92.04
