epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,474.0470886230469,9.27,89.94
102,1.0,1842.520263671875,9.959999999999999,76.44
103,1.0,2316.566650390625,10.08,88.69
104,1.0,3255.715087890625,11.67,76.48
105,1.0,3850.50927734375,7.89,85.16
106,1.0,4579.46728515625,9.11,90.62
107,1.0,5527.56005859375,9.64,90.18
108,1.0,5876.38671875,9.3,88.44999999999999
109,1.0,6645.59423828125,10.18,90.42999999999999
110,1.0,7428.21826171875,10.23,91.01
111,1.0,8139.28759765625,10.86,90.42999999999999
112,1.0,8805.6357421875,10.190000000000001,91.25
113,1.0,9230.48828125,6.76,83.57
114,1.0,10236.71875,10.45,90.75999999999999
115,1.0,10934.3720703125,9.75,90.85
116,1.0,11869.048828125,9.610000000000001,90.57
117,1.0,12611.423828125,10.02,91.31
118,1.0,13389.5751953125,9.99,90.73
119,1.0,14190.0869140625,9.16,91.22
120,1.0,14869.8515625,9.25,91.47999999999999
121,1.0,15142.6533203125,8.459999999999999,90.53999999999999
122,1.0,16157.8271484375,16.650000000000002,85.59
123,1.0,17137.224609375,9.98,90.71000000000001
124,1.0,18009.291015625,5.82,88.74
125,1.0,18478.865234375,8.540000000000001,91.18
126,1.0,19185.462890625,9.19,91.4
127,1.0,20030.697265625,9.39,91.53
128,1.0,20701.515625,7.3,89.75
129,1.0,21443.890625,9.51,91.25
130,1.0,22172.849609375,7.03,88.01
131,1.0,22928.640625,9.29,91.03999999999999
132,1.0,23796.234375,9.229999999999999,90.62
133,1.0,24525.193359375,9.42,91.08000000000001
134,1.0,24914.267578125,9.33,90.92
135,1.0,25875.779296875,8.709999999999999,90.34
136,1.0,26613.681640625,8.92,90.52
137,1.0,27329.22265625,9.049999999999999,91.35
138,1.0,27763.01953125,8.04,91.13
139,1.0,28706.640625,9.32,91.89
140,1.0,29480.3203125,9.48,91.12
141,1.0,30182.4453125,9.0,91.81
142,1.0,30920.349609375,10.05,91.44
143,1.0,31689.556640625,9.91,91.89
144,1.0,32396.154296875,9.139999999999999,90.33
145,1.0,33312.94140625,9.84,91.02
146,1.0,34149.23046875,8.84,90.53999999999999
147,1.0,34524.890625,12.379999999999999,90.18
148,1.0,35419.31640625,10.9,90.59
149,1.0,36358.46484375,9.42,91.10000000000001
150,1.0,36881.70703125,7.829999999999999,90.08
151,1.0,37548.05078125,8.02,90.59
152,1.0,38169.6796875,9.75,91.4
153,1.0,39068.578125,8.450000000000001,89.84
154,1.0,39869.08984375,10.209999999999999,91.06
155,1.0,40343.140625,10.35,91.3
156,1.0,41403.03125,8.53,90.36999999999999
157,1.0,41957.58203125,10.24,91.64999999999999
158,1.0,42852.00390625,9.06,91.17
159,1.0,43992.40234375,9.11,88.36
160,1.0,44703.46875,9.790000000000001,89.42999999999999
161,1.0,45043.3515625,9.139999999999999,90.63
162,1.0,46188.21875,10.41,91.06
163,1.0,46738.29296875,10.33,91.66
164,1.0,47257.0625,9.74,91.14
165,1.0,48048.62890625,9.81,91.23
166,1.0,48486.8984375,9.969999999999999,91.44
167,1.0,49367.91015625,10.299999999999999,91.49000000000001
168,1.0,50061.0859375,9.180000000000001,90.69
169,1.0,50821.35546875,9.98,90.56
170,1.0,51885.71875,9.25,91.52
171,1.0,52408.9609375,9.31,91.43
172,1.0,53164.75390625,9.19,91.28
173,1.0,53880.29296875,9.54,91.45
174,1.0,54855.21875,8.64,91.42
175,1.0,55503.6796875,8.43,91.55
176,1.0,56411.51953125,9.45,91.03999999999999
177,1.0,57350.671875,7.32,89.75999999999999
178,1.0,57686.08203125,10.549999999999999,91.23
179,1.0,58468.70703125,9.82,91.84
180,1.0,58983.0,9.41,91.71000000000001
181,1.0,59899.7890625,9.66,91.88
182,1.0,60212.83984375,10.27,91.01
183,1.0,61268.265625,9.98,90.96
184,1.0,61840.69921875,10.17,91.14
185,1.0,62994.5078125,8.84,91.25
186,1.0,63660.85546875,10.0,91.59
187,1.0,64389.8125,8.67,91.47999999999999
188,1.0,64966.71875,8.66,86.72
189,1.0,65481.01171875,10.17,86.88
190,1.0,66549.8515625,9.370000000000001,90.44
191,1.0,67269.8671875,8.61,90.25
192,1.0,68124.046875,9.68,90.84
193,1.0,68799.3359375,9.73,91.24
194,0.9999999403953552,69734.015625,9.83,91.67
195,0.9999999403953552,70167.8125,8.15,90.73
196,0.9999999403953552,71308.2109375,9.22,91.18
197,0.9999999403953552,71831.4453125,11.0,90.75
198,0.9999999403953552,72515.6875,11.24,90.89
199,1.0,73383.28125,10.190000000000001,90.68
200,1.0,74058.5703125,8.649999999999999,90.32
201,0.9999999403953552,74733.8671875,12.65,89.84
202,1.0,75588.046875,9.47,91.07
203,0.9999999403953552,76460.109375,9.969999999999999,91.08000000000001
204,0.9999999403953552,77121.984375,6.68,89.66
205,0.9999999403953552,77622.8671875,9.76,91.64
206,1.0,78539.6484375,9.89,91.47999999999999
207,1.0,79465.3828125,9.569999999999999,91.59
208,0.9999999403953552,80060.171875,9.78,91.69
209,0.9999999403953552,80927.7734375,8.57,85.76
210,0.9999999403953552,81124.546875,7.630000000000001,89.03999999999999
211,0.9999999403953552,81871.390625,8.03,90.62
212,0.9999999403953552,82640.6015625,10.96,90.59
213,0.9999998807907104,83280.1171875,9.27,91.41
214,0.9999998807907104,84071.6875,10.100000000000001,91.12
215,0.9999998807907104,84639.6484375,8.08,90.88000000000001
216,0.9999998807907104,85502.765625,9.83,90.75999999999999
217,0.9999998807907104,86146.75,9.74,91.53999999999999
218,0.9999998807907104,87117.203125,9.969999999999999,91.43
219,0.9999998807907104,87609.1484375,10.4,90.88000000000001
220,0.9999998807907104,88020.578125,9.790000000000001,91.36999999999999
221,0.9999998807907104,89295.140625,10.37,91.0
222,0.9999998807907104,89952.546875,9.120000000000001,91.72
223,0.9999998807907104,90802.25,9.42,91.4
224,1.0,91526.734375,10.82,90.71000000000001
225,0.9999998807907104,92447.9921875,7.12,88.58
226,1.0,93002.5390625,9.120000000000001,90.75
227,0.9999998807907104,93986.40625,8.27,89.85
228,1.0,94549.8984375,11.459999999999999,90.44
229,0.9999998807907104,95158.109375,9.969999999999999,90.75
230,0.9999998807907104,96034.6484375,8.53,78.47
231,1.0,96598.1328125,10.17,91.01
232,0.9999998807907104,97559.6484375,10.2,91.53999999999999
233,0.9999998807907104,98172.328125,10.07,91.31
234,0.9999998807907104,98919.171875,11.73,91.14999999999999
235,0.9999998807907104,99424.5234375,11.020000000000001,90.75999999999999
236,0.9999998807907104,100220.5703125,9.77,91.31
237,0.9999998807907104,101025.5546875,9.34,91.06
238,1.0,101633.765625,9.84,91.33
239,0.9999998807907104,102438.75,10.6,89.60000000000001
240,0.9999998807907104,103485.2265625,9.26,87.45
241,0.9999998807907104,104317.046875,9.75,89.28
242,0.9999998807907104,104943.1484375,10.17,88.48
243,0.9999998807907104,105399.296875,9.34,90.13
244,0.9999998807907104,106083.5390625,8.03,90.44
245,1.0,106933.25,9.879999999999999,91.24
246,0.9999998807907104,107644.3203125,9.6,91.23
247,0.9999998807907104,108377.7421875,8.51,90.63
248,0.9999998807907104,108990.4296875,9.030000000000001,91.10000000000001
249,0.9999998807907104,109992.1796875,9.950000000000001,91.08000000000001
250,0.9999998807907104,110658.53125,10.09,91.51
251,1.0,111186.2421875,10.209999999999999,90.53
252,0.9999998807907104,112035.953125,9.22,90.58
253,0.9999998807907104,112751.4921875,9.46,90.55
254,0.9999998807907104,113583.3125,10.31,89.4
255,0.9999998807907104,114361.453125,10.52,90.39
256,1.0,115416.890625,7.99,89.33
257,0.9999998807907104,115712.046875,10.73,90.49000000000001
258,0.9999998807907104,116852.4453125,9.180000000000001,91.28
259,0.9999998807907104,117652.953125,9.29,90.66
260,0.9999998807907104,118064.390625,11.34,87.4
261,0.9999998807907104,118766.515625,10.45,90.74
262,1.0,119853.25,11.03,90.59
263,0.9999998807907104,120385.4296875,10.22,91.3
264,1.0,121154.640625,9.28,90.89
265,1.0,121794.1484375,9.99,91.53999999999999
266,0.9999998807907104,122965.8515625,6.87,89.13
267,0.9999998807907104,123565.1171875,8.21,90.34
268,0.9999998807907104,124133.078125,9.81,90.49000000000001
269,0.9999998807907104,124593.7109375,8.82,90.64999999999999
270,1.0,125568.6328125,9.959999999999999,88.53
271,1.0,126436.234375,18.05,82.88
272,0.9999998807907104,127294.8828125,6.41,85.15
273,0.9999998807907104,127862.84375,8.61,89.87
274,1.0,129289.4453125,11.98,89.58
275,0.9999998807907104,129933.4375,11.42,89.59
276,0.9999998807907104,130362.7578125,11.39,90.77
277,0.9999998807907104,131377.9375,10.639999999999999,91.05
278,1.0,131887.765625,4.3,86.97
279,0.9999998807907104,132661.4375,10.040000000000001,90.56
280,0.9999998807907104,133354.609375,9.01,91.10000000000001
281,0.9999998807907104,134334.015625,9.36,91.44
282,1.0,134817.015625,8.780000000000001,91.34
283,1.0,135581.75,8.88,91.14
284,0.9999998807907104,136359.890625,9.28,91.52
285,0.9999998807907104,136793.6875,12.19,87.3
286,0.9999998807907104,137768.625,10.27,90.11
287,0.9999998807907104,138877.703125,7.580000000000001,89.82
288,0.9999998807907104,139378.578125,6.959999999999999,90.32
289,0.9999998807907104,139798.96875,4.760000000000001,88.11
290,1.0,141274.78125,9.75,91.13
291,1.0,141748.8125,13.07,88.13
292,0.9999998807907104,142334.671875,10.23,90.64
293,0.9999998807907104,143399.03125,9.84,91.11
294,0.9999998807907104,143967.0,5.38,88.03
295,0.9999998807907104,144530.5,10.4,91.49000000000001
296,1.0,145277.328125,10.7,91.57
297,0.9999998807907104,145787.15625,8.74,90.35
298,1.0,146520.59375,9.36,90.91
299,0.9999998807907104,147276.375,9.51,91.52
300,0.9999998807907104,148005.34375,7.37,85.42999999999999
301,0.9999998807907104,149458.78125,10.489999999999998,89.73
302,1.0,150044.625,10.22,91.06
303,0.9999998807907104,150684.15625,10.2,91.47
304,0.9999998807907104,151493.609375,9.64,91.47999999999999
305,1.0,152030.265625,9.06,91.06
306,1.0,152629.53125,9.44,91.25
307,1.0,153394.265625,8.62,90.24
308,0.9999998807907104,154074.03125,9.67,90.72
309,1.0,155133.921875,9.9,91.61
310,0.9999998807907104,155934.4375,9.08,91.06
311,0.9999998807907104,156819.921875,10.530000000000001,91.46
312,0.9999998807907104,157289.5,9.4,91.56
313,1.0,158067.640625,9.34,91.5
314,0.9999998807907104,158742.921875,9.85,91.88
315,0.9999998807907104,159431.640625,8.870000000000001,91.21000000000001
316,1.0,160017.5,9.520000000000001,91.67999999999999
317,0.9999998807907104,160728.5625,7.969999999999999,88.29
318,1.0,161649.828125,9.82,91.09
319,0.9999998807907104,162208.84375,10.02,90.66
320,0.9999998807907104,163215.078125,9.93,91.06
321,0.9999998807907104,164006.640625,9.43,90.85
322,0.9999998807907104,164547.765625,9.29,91.24
323,0.9999998807907104,165558.46875,9.43,91.31
324,0.9999998807907104,165871.515625,9.91,91.39
325,0.9999998807907104,166877.75,10.100000000000001,91.38
326,0.9999998807907104,167512.796875,8.690000000000001,91.73
327,0.9999998807907104,168107.59375,7.4399999999999995,90.22
328,0.9999998807907104,168970.71875,10.07,91.97
329,0.9999998807907104,169748.859375,9.86,91.5
330,0.9999998807907104,170263.15625,9.42,91.64
331,0.9999998807907104,171197.84375,9.87,91.34
332,0.9999998807907104,171891.015625,9.27,91.44
333,0.9999998807907104,172830.171875,9.04,89.44
334,0.9999998807907104,173089.546875,8.48,90.85
335,0.9999998807907104,173992.921875,9.3,91.8
336,1.0,174645.84375,9.01,91.53
337,0.9999998807907104,175661.015625,9.180000000000001,91.66
338,1.0,176135.078125,9.82,91.9
339,1.0,176792.484375,7.66,91.22
340,1.0,177830.015625,10.290000000000001,91.86999999999999
341,1.0,178621.578125,9.91,91.69
342,0.9999998807907104,178921.21875,10.22,91.3
343,1.0,179806.703125,8.81,91.5
344,1.0,180888.953125,8.61,90.55
345,1.0,181179.640625,9.56,91.09
346,0.9999998807907104,181926.5,10.17,91.7
347,1.0,183107.140625,10.459999999999999,90.91
348,0.9999998807907104,183420.1875,10.37,91.36999999999999
349,0.9999998807907104,184627.671875,9.31,90.5
350,0.9999998807907104,184931.765625,10.0,89.33
351,1.0,185794.890625,9.02,91.49000000000001
352,0.9999998807907104,186438.875,10.14,91.31
353,0.9999998807907104,186939.765625,9.16,90.64999999999999
354,0.9999998807907104,187838.65625,9.790000000000001,89.25999999999999
355,0.9999998807907104,188719.671875,9.47,91.75999999999999
356,1.0,189144.515625,9.21,91.46
357,0.9999998807907104,190557.71875,8.89,90.45
358,0.9999998807907104,190875.234375,11.18,91.0
359,0.9999998807907104,191639.96875,12.379999999999999,89.42
360,0.9999998807907104,192333.15625,7.630000000000001,90.91
361,1.0,193223.09375,6.1,89.39
362,0.9999998807907104,194041.515625,9.21,91.5
363,0.9999998807907104,194694.4375,9.42,91.91
364,0.9999998807907104,195280.28125,8.83,90.75
365,0.9999998807907104,195897.4375,8.89,90.93
366,0.9999998807907104,196478.828125,8.84,91.31
367,1.0,197480.578125,9.04,91.57
368,0.9999998807907104,197905.4375,11.0,90.23
369,0.9999998807907104,198531.53125,10.299999999999999,90.10000000000001
370,1.0,199510.921875,10.879999999999999,90.99000000000001
371,1.0,200199.640625,9.68,91.33
372,0.9999998807907104,200977.796875,9.85,91.19
373,0.9999998807907104,201657.546875,9.76,91.92
374,0.9999998807907104,202265.765625,10.07,91.74
375,1.0,203433.0,9.35,92.06
376,0.9999998807907104,204054.625,10.290000000000001,87.87
377,0.9999998807907104,204922.21875,10.290000000000001,88.78
378,1.0,205655.640625,9.879999999999999,91.4
379,1.0,206675.28125,10.45,91.19
380,0.9999998807907104,207346.109375,9.44,90.95
381,0.9999998807907104,208106.375,8.649999999999999,91.66
382,1.0,209157.3125,9.19,90.06
383,0.9999998807907104,209546.40625,9.51,91.28
384,0.9999998807907104,210306.671875,9.54,90.73
385,1.0,211514.140625,6.329999999999999,88.81
386,0.9999998807907104,211786.953125,9.25,91.64999999999999
387,0.9999998807907104,212359.375,11.3,90.75
388,1.0,213405.84375,7.66,91.19
389,0.9999998807907104,214170.578125,8.98,90.81
390,0.9999998807907104,214523.890625,10.48,91.51
391,1.0,215632.984375,10.620000000000001,91.63
392,0.9999998807907104,216491.625,9.229999999999999,90.22
393,1.0,217260.84375,10.18,91.11
394,0.9999998807907104,217609.65625,8.9,90.06
395,0.9999998807907104,218620.359375,9.47,90.89
396,1.0,219358.265625,10.47,91.0
397,0.9999998807907104,219957.53125,10.299999999999999,91.03
398,0.9999998807907104,220811.703125,10.11,91.43
399,0.9999998807907104,221455.703125,10.09,91.49000000000001
400,1.0,222278.5625,8.129999999999999,90.88000000000001
401,0.9999998807907104,223401.09375,6.569999999999999,88.94999999999999
402,1.0,223816.984375,9.8,91.46
403,1.0,224429.671875,9.92,91.14999999999999
404,0.9999998807907104,225333.03125,9.19,91.67999999999999
405,0.9999998807907104,226066.46875,9.27,91.43
406,0.9999998807907104,226938.546875,9.91,91.21000000000001
407,0.9999998807907104,227712.21875,9.1,89.64999999999999
408,1.0,228266.765625,8.95,91.09
409,1.0,229009.140625,8.92,89.51
410,0.9999998807907104,229644.1875,9.969999999999999,91.14999999999999
411,1.0,230780.109375,8.55,90.98
412,0.9999998807907104,231258.609375,8.09,91.02
413,0.9999998807907104,232161.984375,10.31,91.22
414,0.9999998807907104,232832.8125,11.0,90.16999999999999
415,0.9999998807907104,233687.0,9.83,89.22
416,0.9999998807907104,234608.25,9.94,91.2
417,0.9999998807907104,235341.6875,9.73,91.25999999999999
418,1.0,236517.84375,9.02,91.29
419,0.9999998807907104,236996.359375,9.47,90.75999999999999
420,0.9999998807907104,237586.6875,9.81,88.83
421,0.9999998807907104,238481.125,8.91,90.86999999999999
422,1.0,238879.140625,9.47,90.95
423,0.9999998807907104,240010.59375,9.48,91.17
424,0.9999998807907104,240668.0,9.58,91.4
425,0.9999998807907104,241298.5625,10.059999999999999,91.39
426,0.9999998807907104,242233.25,10.02,91.55
427,0.9999998807907104,242872.75,8.780000000000001,91.10000000000001
428,1.0,243378.109375,10.37,88.01
429,1.0,244361.96875,10.31,91.77
430,0.9999998807907104,245046.21875,9.65,90.82000000000001
431,0.9999998807907104,245940.65625,9.24,91.17
432,1.0,246508.609375,8.450000000000001,91.35
433,0.9999998807907104,246933.453125,8.38,90.61
434,1.0,248078.328125,10.42,91.17
435,0.9999998807907104,248431.625,10.2,90.79
436,0.9999998807907104,249267.921875,10.2,90.94
437,0.9999998807907104,249952.15625,9.59,91.60000000000001
438,0.9999998807907104,250251.78125,10.07,90.08
439,0.9999998807907104,251271.421875,9.82,91.82000000000001
440,0.9999998807907104,251933.3125,9.16,91.85
441,0.9999998807907104,252443.125,8.540000000000001,91.61
442,0.9999998807907104,253355.4375,10.190000000000001,91.84
443,1.0,254562.921875,6.43,89.38000000000001
444,0.9999998807907104,254750.765625,9.1,91.42
445,1.0,255676.484375,8.7,91.52
446,0.9999998807907104,256803.453125,10.209999999999999,91.57
447,0.9999998807907104,257326.703125,10.190000000000001,91.49000000000001
448,0.9999998807907104,257961.734375,10.4,91.7
449,1.0,259240.78125,10.75,91.31
450,0.9999998807907104,259688.0,10.75,90.53
451,0.9999998807907104,260546.65625,8.52,89.73
452,1.0,261083.3125,9.969999999999999,91.47
453,0.9999998807907104,261901.703125,9.66,91.55
454,1.0,262858.71875,9.74,91.64999999999999
455,1.0,263596.625,8.39,90.91
456,1.0,264142.21875,9.39,90.95
457,0.9999998807907104,265018.78125,10.489999999999998,90.3
458,1.0,265622.5,9.73,91.34
459,0.9999998807907104,266253.09375,10.32,90.9
460,0.9999998807907104,267389.0,8.12,91.0
461,0.9999998807907104,268019.5625,9.229999999999999,91.34
462,0.9999998807907104,268784.3125,9.94,91.24
463,0.9999998807907104,269982.84375,10.7,91.43
464,0.9999998807907104,270895.15625,10.42,89.89
465,0.9999998807907104,271583.875,10.9,90.96
466,0.9999998807907104,272138.40625,10.190000000000001,91.16
467,0.9999998807907104,272889.75,12.67,89.34
468,1.0,273506.875,10.05,91.51
469,1.0,274133.0,10.040000000000001,91.38
470,0.9999998807907104,274651.75,9.569999999999999,91.34
471,0.9999998807907104,275349.40625,8.43,87.81
472,0.9999998807907104,276306.4375,9.27,91.05
473,0.9999998807907104,277303.75,8.690000000000001,87.98
474,0.9999998807907104,277956.6875,8.03,90.32
475,0.9999998807907104,278529.09375,8.709999999999999,90.21000000000001
476,0.9999998807907104,279249.125,10.11,90.86999999999999
477,1.0,280313.46875,6.4399999999999995,88.75
478,1.0,280528.15625,9.030000000000001,90.64999999999999
479,0.9999998807907104,281543.3125,7.3999999999999995,90.25
480,1.0,282263.34375,10.52,91.36999999999999
