epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,107.33148193359375,99.98,82.77
102,0.9999998807907104,210.1905517578125,99.98,82.96
103,1.0,366.71527099609375,99.98,83.17999999999999
104,1.0,840.7616577148438,99.98,83.58
105,1.0,1319.2801513671875,99.97,83.72
106,1.0,2280.789306640625,99.97,84.39999999999999
107,1.0,2880.0556640625,99.97,84.50999999999999
108,1.0,3412.23974609375,99.97,84.66
109,1.0,3814.73193359375,99.97,84.68
110,1.0,4776.2412109375,99.97,84.86
111,1.0,5066.93017578125,99.97,84.96000000000001
112,0.9999998807907104,5388.923828125,99.97,84.87
113,1.0,5934.5244140625,99.96000000000001,84.84
114,1.0,7307.47021484375,99.96000000000001,84.86
115,1.0,7781.5166015625,99.96000000000001,84.84
116,1.0,8327.1171875,99.96000000000001,84.87
117,1.0,8895.078125,99.95,85.02
118,1.0,9512.2333984375,99.95,85.08
119,1.0,10742.0703125,99.95,85.05
120,1.0,11864.576171875,99.95,85.07000000000001
121,1.0,12182.0986328125,99.95,85.06
122,1.0,13657.9033203125,99.92999999999999,85.18
123,0.9999999403953552,14579.1630859375,99.92999999999999,85.32
124,1.0,14708.85546875,99.92999999999999,85.22
125,1.0,15540.671875,99.92999999999999,85.21
126,1.0,16166.771484375,99.92999999999999,85.38
127,1.0,16833.119140625,99.92999999999999,85.49
128,1.0,17316.111328125,99.92999999999999,85.50999999999999
129,1.0,18425.19921875,99.92999999999999,85.42999999999999
130,1.0,18747.193359375,99.92999999999999,85.37
131,1.0,19104.96484375,99.92999999999999,85.48
132,0.9999998807907104,20732.822265625,99.92999999999999,85.54
133,1.0,21188.98046875,99.92999999999999,85.84
134,1.0,21716.69140625,99.92999999999999,85.78
135,0.9999998807907104,22423.2890625,99.92,85.94000000000001
136,1.0,23581.572265625,99.92,85.78
137,0.9999998807907104,24610.1640625,99.91,85.98
138,1.0,24896.380859375,99.92,86.11
139,1.0,25424.09375,99.92,86.18
140,0.9999998807907104,25786.3359375,99.91,86.18
141,1.0,26385.6015625,99.91,86.31
142,0.9999998807907104,26788.09375,99.91,86.24000000000001
143,1.0,27910.599609375,99.92,86.14
144,0.9999998807907104,28299.67578125,99.91,86.2
145,0.9999998807907104,29211.9921875,99.91,86.18
146,1.0,29860.451171875,99.91,86.21
147,1.0,30951.654296875,99.91,86.28
148,1.0,32601.87109375,99.92,86.24000000000001
149,1.0,33558.91015625,99.91,86.31
150,1.0,33840.65234375,99.91,86.27
151,0.9999998807907104,34144.7578125,99.9,86.38
152,1.0,35495.34375,99.9,86.71
153,1.0,36148.2734375,99.9,86.64
154,1.0,36819.09375,99.89,86.68
155,1.0,37646.4375,99.89,86.76
156,0.9999998807907104,38299.37109375,99.89,86.75
157,1.0,38804.72265625,99.89,86.75
158,1.0,39712.56640625,99.89,86.78
159,1.0,40208.97265625,99.89,86.61
160,1.0,40772.4609375,99.89,86.56
161,1.0,41568.5,99.89,86.59
162,1.0,42798.33984375,99.89,86.76
163,1.0,43509.41015625,99.89,86.85000000000001
164,1.0,44242.83984375,99.89,86.86
165,1.0,44766.08203125,99.89,86.79
166,1.0,45275.90234375,99.9,86.89
167,1.0,46219.5234375,99.9,86.74
168,1.0,46738.29296875,99.89,86.72999999999999
169,0.9999998807907104,47538.8046875,99.89,86.91
170,0.9999998807907104,47927.8828125,99.89,86.96000000000001
171,1.0,49202.4375,99.89,86.88
172,0.9999998807907104,49560.20703125,99.89,86.8
173,0.9999998807907104,50172.89453125,99.89,86.67
174,1.0,51018.12890625,99.89,86.76
175,1.0,51836.52734375,99.89,86.78
176,1.0,52471.57421875,99.89,86.68
177,1.0,52869.58984375,99.89,86.68
178,1.0,54023.40234375,99.89,86.91
179,1.0,54434.83984375,99.89,86.97
180,1.0,54868.63671875,99.89,87.02
181,1.0,56228.16796875,99.89,86.95
182,1.0,57355.14453125,99.89,87.03999999999999
183,1.0,58012.546875,99.89,87.07000000000001
184,1.0,58576.0390625,99.89,87.01
185,1.0,58960.640625,99.89,86.97
186,0.9999998807907104,60033.953125,99.88,87.12
187,1.0,61017.82421875,99.89,87.02
188,1.0,61728.890625,99.89,86.98
189,0.9999998807907104,62623.3203125,99.89,86.83
190,1.0,63544.578125,99.89,87.03
191,1.0,64067.81640625,99.89,87.32
192,1.0,64421.12109375,99.88,87.35000000000001
193,1.0,65221.6328125,99.89,87.14
194,1.0,65794.0625,99.88,87.27000000000001
195,1.0,66411.21875,99.88,87.13
196,1.0,67471.1171875,99.89,87.1
197,1.0,68258.2109375,99.89,87.17
198,1.0,69040.8359375,99.89,87.44
199,1.0,70208.0625,99.89,87.3
200,1.0,71218.765625,99.89,87.29
201,0.9999998807907104,72175.8046875,99.89,87.35000000000001
202,1.0,72788.484375,99.89,87.32
203,1.0,73937.8203125,99.89,87.35000000000001
204,1.0,74639.953125,99.88,87.5
205,0.9999998807907104,75498.59375,99.88,87.4
206,1.0,76138.1171875,99.87,87.33999999999999
207,1.0,77099.625,99.87,87.45
208,1.0,77868.828125,99.87,87.68
209,1.0,78199.7734375,99.87,87.64999999999999
210,1.0,78611.203125,99.86,87.63
211,1.0,79362.5234375,99.87,87.52
212,1.0,79952.84375,99.86,87.66000000000001
213,0.9999998807907104,80556.5859375,99.83,87.88
214,1.0,81477.84375,99.83,87.8
215,1.0,82340.9609375,99.82,87.61
216,0.9999998807907104,82908.9296875,99.82,87.52
217,0.9999999403953552,83476.890625,99.82,87.63
218,0.9999999403953552,83919.6328125,99.83,87.55
219,0.9999999403953552,84925.859375,99.83,87.49
220,0.9999999403953552,85699.5390625,99.83,87.4
221,0.9999999403953552,86656.578125,99.82,87.69
222,0.9999999403953552,87112.7421875,99.82,87.85
223,0.9999998807907104,87922.1953125,99.81,87.83
224,0.9999999403953552,88396.2421875,99.8,87.85
225,0.9999999403953552,89080.4765625,99.82,87.72999999999999
226,0.9999999403953552,89827.3203125,99.82,87.77000000000001
227,0.9999999403953552,90547.34375,99.82,87.6
228,0.9999999403953552,91459.65625,99.81,87.5
229,0.9999998807907104,92112.5859375,99.81,87.53999999999999
230,0.9999998807907104,93150.1171875,99.82,87.6
231,0.9999998807907104,93785.1640625,99.81,87.64
232,0.9999998807907104,94424.6796875,99.82,87.58
233,0.9999998807907104,94737.7265625,99.82,87.55
234,0.9999998807907104,95676.875,99.83,87.61
235,0.9999998807907104,96915.65625,99.83999999999999,87.59
236,0.9999998807907104,97206.34375,99.83,87.58
237,0.9999998807907104,97886.109375,99.83,87.58
238,0.9999998807907104,98382.5234375,99.83999999999999,87.57000000000001
239,0.9999998807907104,99469.25,99.83,87.67
240,0.9999998807907104,100135.6015625,99.83,87.8
241,0.9999998807907104,100994.2421875,99.83,88.08
242,0.9999998807907104,101660.59375,99.82,87.99
243,0.9999998807907104,101987.0546875,99.83,88.03
244,0.9999998807907104,102720.4921875,99.83,88.18
245,0.9999998807907104,104048.71875,99.8,88.28
246,0.9999998807907104,104522.765625,99.8,88.26
247,0.9999998807907104,104893.953125,99.8,88.23
248,0.9999998807907104,105095.1953125,99.8,88.22
249,0.9999998807907104,105734.7109375,99.8,88.24
250,0.9999998807907104,106190.8671875,99.8,88.33
251,0.9999998807907104,107595.1171875,99.8,88.34
252,0.9999998807907104,108592.40625,99.8,88.42
253,0.9999998807907104,110045.84375,99.8,88.51
254,0.9999998807907104,110493.0625,99.81,88.42
255,0.9999998807907104,111517.1796875,99.8,88.44999999999999
256,0.9999998807907104,111995.703125,99.81,88.44999999999999
257,0.9999998807907104,113055.59375,99.8,88.38000000000001
258,0.9999998807907104,113686.171875,99.8,88.39
259,0.9999998807907104,114003.6875,99.81,88.44
260,0.9999998807907104,114365.9296875,99.81,88.42999999999999
261,0.9999998807907104,115412.4140625,99.82,88.31
262,0.9999998807907104,115971.4296875,99.83,88.36
263,0.9999998807907104,116610.9453125,99.82,88.42999999999999
264,0.9999998807907104,117894.453125,99.81,88.44
265,0.9999998807907104,118815.7109375,99.81,88.46000000000001
266,0.9999998807907104,119146.6484375,99.81,88.51
267,0.9999998807907104,119535.71875,99.8,88.38000000000001
268,0.9999998807907104,120613.5078125,99.81,88.42999999999999
269,0.9999998807907104,121396.1328125,99.82,88.4
270,0.9999998807907104,122742.25,99.81,88.35
271,0.9999998807907104,123247.59375,99.8,88.35
272,0.9999998807907104,124142.03125,99.81,88.29
273,0.9999998807907104,125018.5625,99.8,88.41
274,0.9999998807907104,125389.75,99.8,88.4
275,0.9999998807907104,125953.234375,99.8,88.47
276,0.9999998807907104,126579.34375,99.8,88.42
277,0.9999998807907104,127223.3203125,99.8,88.56
278,0.9999998807907104,128055.140625,99.8,88.48
279,0.9999998807907104,129097.1484375,99.8,88.47
280,0.9999998807907104,129866.359375,99.8,88.51
281,0.9999998807907104,130219.65625,99.8,88.52
282,0.9999998807907104,131319.796875,99.79,88.47
283,0.9999998807907104,132482.5625,99.77000000000001,88.63
284,0.9999998807907104,132817.96875,99.75,88.61
285,0.9999998807907104,133408.28125,99.76,88.58
286,0.9999998807907104,134213.265625,99.74,88.59
287,0.9999998807907104,134790.171875,99.75,88.6
288,0.9999998807907104,134986.953125,99.75,88.58
289,0.9999998807907104,135984.234375,99.75,88.55
290,0.9999998807907104,136467.234375,99.77000000000001,88.66000000000001
291,0.9999998807907104,137209.609375,99.75,88.53999999999999
292,0.9999998807907104,137916.203125,99.75,88.53
293,0.9999998807907104,139418.84375,99.77000000000001,88.57000000000001
294,0.9999998807907104,140858.875,99.76,88.52
295,0.9999998807907104,141520.75,99.75,88.52
296,0.9999998807907104,142379.390625,99.74,88.55
297,0.9999998807907104,142866.859375,99.75,88.53
298,0.9999998807907104,143394.5625,99.75,88.53
299,0.9999998807907104,144289.0,99.76,88.59
300,0.9999998807907104,145755.84375,99.75,88.75999999999999
301,0.9999998807907104,146350.65625,99.72999999999999,88.68
302,0.9999998807907104,147021.46875,99.69,88.7
303,0.9999998807907104,148161.859375,99.72,88.7
304,0.9999998807907104,148868.453125,99.69,88.71
305,0.9999998807907104,148993.6875,99.68,88.73
306,0.9999998807907104,150335.3125,99.76,88.72
307,0.9999998807907104,150867.5,99.75,88.69
308,0.9999998807907104,151726.15625,99.72999999999999,88.63
309,0.9999998807907104,152915.75,99.7,88.61
310,0.9999998807907104,153582.09375,99.71,88.71
311,0.9999998807907104,153971.171875,99.72,88.7
