epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,742.3746948242188,9.959999999999999,90.47
102,1.0000001192092896,1860.40869140625,9.54,90.55
103,1.0,2459.675048828125,11.35,89.96
104,1.0,3175.216552734375,9.66,91.61
105,1.0,3837.092529296875,9.04,91.2
106,1.0,4539.2177734375,9.47,90.64999999999999
107,1.0,5303.953125,9.19,91.17
108,1.0,6041.85546875,8.61,91.14
109,1.0,6685.84326171875,9.06,91.83
110,1.0,7437.16259765625,8.67,91.29
111,1.0,8000.6513671875,9.27,91.60000000000001
112,1.0,8988.9931640625,9.55,91.41
113,1.0,9624.0361328125,9.969999999999999,91.92
114,1.0,10460.326171875,9.76,91.53
115,1.0,11081.953125,10.03,91.2
116,1.0,11967.435546875,9.229999999999999,91.3
117,1.0,12647.2001953125,10.65,91.33
118,1.0,13550.572265625,11.44,91.12
119,1.0,14248.2255859375,9.98,91.22
120,1.0,15088.9873046875,9.969999999999999,89.92999999999999
121,1.0,15867.138671875,9.69,89.52
122,1.0,16649.76171875,9.59,91.08000000000001
123,1.0,17289.27734375,9.41,91.49000000000001
124,1.0,18130.0390625,9.67,91.86999999999999
125,1.0,18782.970703125,9.569999999999999,91.9
126,1.0,19270.43359375,10.190000000000001,91.35
127,1.0,19968.0859375,10.459999999999999,91.64
128,1.0,20536.048828125,8.23,90.63
129,1.0,21725.63671875,8.66,91.53999999999999
130,1.0,22526.1484375,8.959999999999999,91.75
131,1.0,23210.384765625,9.32,91.42
132,1.0,23867.7890625,9.78,91.42
133,1.0,24681.71875,10.02,91.47999999999999
134,1.0,25182.59765625,10.459999999999999,91.84
135,1.0,25866.833984375,8.450000000000001,89.11
136,1.0,26810.455078125,9.31,91.38
137,1.0,27610.96875,9.54,90.45
138,1.0,28469.619140625,5.55,85.86
139,1.0,29019.689453125,8.9,90.77
140,1.0,29614.484375,9.87,87.41
141,1.0,30254.0,8.6,88.67
142,1.0,31188.677734375,11.49,89.2
143,1.0,31725.33203125,10.85,89.55
144,1.0,32378.263671875,9.21,90.24
145,1.0,33017.77734375,8.42,90.45
146,1.0,33804.875,8.63,91.22
147,1.0,34775.328125,9.94,91.49000000000001
148,1.0,35477.45703125,9.569999999999999,88.23
149,1.0,36461.32421875,10.24,89.11
150,1.0,37154.50390625,8.62,90.34
151,1.0,37807.4375,9.33,91.58
152,1.0,38393.2890625,8.93,91.06
153,1.0,38925.47265625,9.46,90.75
154,1.0,40088.2265625,9.04,90.62
155,1.0,40508.60546875,9.65,90.64
156,1.0,41259.921875,10.27,89.66
157,1.0,41899.44140625,10.489999999999998,90.2
158,1.0,42825.17578125,15.790000000000001,85.87
159,1.0,43817.98828125,8.959999999999999,87.55
160,1.0,44859.99609375,9.83,90.02
161,1.0,45262.48828125,10.72,91.11
162,1.0,45937.78125,9.629999999999999,90.44
163,1.0,46975.31640625,9.74,82.63000000000001
164,1.0,47538.8046875,6.77,87.15
165,1.0,48236.45703125,13.01,86.37
166,1.0,49068.27734375,9.07,88.17
167,1.0,50087.921875,8.67,89.31
168,1.0,50848.1875,9.43,90.39
169,1.0,51299.87109375,10.549999999999999,91.36999999999999
170,1.0,51979.63671875,11.27,90.36
171,1.0,53093.19921875,9.77,90.52
172,1.0,53589.60546875,10.18,91.55
173,1.0,54287.2578125,10.280000000000001,91.53999999999999
174,1.0,54962.55078125,8.35,90.46
175,1.0,56098.47265625,11.33,89.92
176,1.0,56639.6015625,8.88,90.82000000000001
177,1.0,57346.19921875,9.879999999999999,90.93
178,1.0,57994.66015625,9.45,91.25
179,1.0,58929.3359375,9.46,86.9
180,1.0,59671.70703125,11.219999999999999,90.13
181,1.0,60463.27734375,8.780000000000001,90.95
182,0.9999999403953552,61053.59765625,8.94,89.27000000000001
183,0.9999999403953552,62171.6328125,12.659999999999998,88.48
184,1.0,62690.40234375,9.69,89.95
185,0.9999999403953552,63325.4453125,9.76,91.43
186,1.0,64300.37109375,10.280000000000001,91.2
187,0.9999999403953552,65024.85546875,9.27,90.89
188,0.9999999403953552,65221.6328125,8.23,90.92
189,0.9999999403953552,66151.8359375,9.85,91.34
