epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,737.9024658203125,99.17,92.19000000000001
102,1.0,1453.4442138671875,98.3,92.17
103,0.9999999403953552,2173.4580078125,98.68,92.43
104,1.0,2996.3310546875,98.61,92.29
105,1.0,3640.318603515625,96.89,92.29
106,1.0,4355.8603515625,97.09,92.42
107,0.9999999403953552,5165.31689453125,97.58,92.28
108,1.0,5916.6357421875,98.06,92.28
109,1.0,6574.0400390625,95.63000000000001,92.22
110,1.0,7285.10986328125,96.87,92.30000000000001
111,0.9999999403953552,8031.9560546875,94.63000000000001,92.39
112,1.0,8751.9697265625,97.19,92.36999999999999
113,1.0,9565.8984375,97.92999999999999,92.28
114,0.9999999403953552,10281.4404296875,95.89,92.52
115,1.0,10970.1494140625,97.24000000000001,92.17
116,1.0,11752.7734375,96.0,92.5
117,1.0,12629.3115234375,96.76,92.29
118,1.0,13358.26953125,97.23,92.17
119,1.0,14136.421875,96.82,92.19000000000001
120,1.0,14851.9638671875,96.89,92.4
121,1.0,15625.6435546875,95.08,92.04
122,1.0,16309.8798828125,95.63000000000001,92.14
123,1.0,17088.03125,94.81,92.27
124,1.0,17919.849609375,93.99,92.23
125,1.0,18626.4453125,95.81,92.10000000000001
126,1.0,19265.9609375,95.66,92.0
127,1.0,19994.919921875,95.5,92.25
128,1.0,20808.849609375,93.84,92.41
129,1.0,21613.83203125,93.95,92.32000000000001
130,1.0,22356.20703125,94.45,92.35
131,1.0,23111.998046875,94.39999999999999,92.15
132,1.0,23809.65234375,91.61,92.35
133,1.0,24516.248046875,94.08999999999999,92.28
134,1.0,25249.6796875,93.06,92.35
135,1.0,25942.859375,92.44,92.17
136,1.0,26671.818359375,90.33,92.10000000000001
137,1.0,27387.361328125,92.35,92.4
138,1.0,28111.84765625,92.67,92.11
139,1.0,28840.8046875,91.58,92.25999999999999
140,1.0,29449.013671875,93.08999999999999,92.31
141,1.0,30182.4453125,92.56,92.17
142,1.0,30839.849609375,92.32000000000001,92.47
143,1.0,31492.78125,91.59,92.42
144,1.0,32284.349609375,91.52,92.45
145,1.0,32973.05859375,91.3,92.63
146,1.0,33795.9296875,88.06,92.51
147,1.0,34623.27734375,90.13,92.54
148,1.0,35370.125,90.32,92.41
149,1.0,36255.60546875,89.60000000000001,92.44
150,1.0,37020.33984375,89.81,92.35
151,1.0,37709.05078125,87.52,92.33
152,1.0,38339.62109375,87.92999999999999,92.49000000000001
153,1.0,39010.44140625,88.69,92.36999999999999
154,1.0,39766.23046875,87.31,92.25
155,1.0,40459.4140625,86.61,92.45
156,1.0,41197.31640625,89.51,92.58999999999999
157,1.0,41930.74609375,88.33,92.41
158,1.0,42682.06640625,87.7,92.53
159,1.0,43589.91015625,88.03999999999999,92.36
160,0.9999998807907104,44426.19921875,87.45,92.39
161,0.9999998807907104,45208.82421875,88.92999999999999,92.5
162,1.0,45919.89453125,88.02,92.39
163,1.0,46702.515625,84.97,92.56
164,1.0,47386.75390625,80.56,92.24
165,1.0,48196.2109375,85.11,92.32000000000001
166,0.9999998807907104,49005.6640625,86.83,92.21000000000001
167,1.0,49774.87109375,84.5,92.38
168,0.9999998807907104,50530.6640625,86.16,92.33
169,1.0,51201.484375,84.84,92.24
170,1.0,51778.38671875,85.99,92.36999999999999
171,1.0,52583.375,86.79,92.17
172,0.9999998807907104,53442.0234375,81.26,92.28
173,1.0,54126.26171875,82.61,92.51
174,0.9999998807907104,54926.7734375,79.73,92.34
175,1.0,55740.703125,80.78,92.41
176,1.0,56541.21484375,84.0,92.29
177,0.9999998807907104,57198.62109375,83.65,92.36
178,1.0,57887.328125,81.16,92.47
179,1.0,58647.58984375,81.63,92.30000000000001
180,0.9999998807907104,59488.3515625,82.52000000000001,92.36999999999999
181,1.0,60194.94921875,77.53,92.61
182,1.0,60964.15625,68.54,91.22
183,0.9999999403953552,61795.97265625,79.4,92.39
184,0.9999999403953552,62560.7109375,78.86,92.31
185,0.9999999403953552,63267.30859375,76.42999999999999,92.38
186,0.9999999403953552,64032.04296875,77.92999999999999,92.52
187,0.9999999403953552,64725.22265625,80.17,92.31
188,0.9999999403953552,65355.79296875,79.07,92.25999999999999
189,0.9999999403953552,66044.5,75.42999999999999,92.53
190,0.9999999403953552,66845.015625,76.0,92.56
191,0.9999999403953552,67748.390625,75.63,92.25999999999999
192,0.9999999403953552,68535.484375,75.33999999999999,92.61
193,0.9999999403953552,69259.96875,76.57000000000001,92.25999999999999
194,0.9999999403953552,69984.453125,78.41,92.19000000000001
195,0.9999999403953552,70784.96875,77.61,92.36999999999999
196,0.9999999403953552,71625.7265625,74.53,92.38
197,0.9999999403953552,72309.96875,77.0,92.36
198,0.9999998807907104,73101.53125,77.37,92.33
199,0.9999998807907104,73817.078125,74.61,92.36999999999999
200,0.9999998807907104,74689.140625,78.06,92.53
201,0.9999998807907104,75520.9609375,76.06,92.47999999999999
202,0.9999998807907104,76133.640625,75.72,92.57
203,0.9999998807907104,76804.4609375,79.14,92.25999999999999
204,0.9999998807907104,77470.8125,74.19,92.32000000000001
205,0.9999998807907104,78132.6875,78.32000000000001,92.05
