,main,main_loss,backdoor,backdoor_loss,lr
1,91.83,0.00028025973588228224,64.11,0.0010486990571022033,0.002
2,91.64999999999999,0.00029145415127277373,93.37,0.00018874193280935287,0.002
3,91.8,0.0002826056882739067,95.48,0.00013657877072691918,0.002
4,91.89,0.00028589290082454684,98.00999999999999,8.215929120779037e-05,0.002
5,91.8,0.0002810409903526306,99.1,4.835911095142364e-05,0.002
6,91.91,0.0002821486338973045,99.05000000000001,4.633350968360901e-05,0.002
7,91.81,0.00027937768399715425,98.85000000000001,5.867835879325867e-05,0.002
8,91.75999999999999,0.0002874719336628914,98.63,6.749324947595597e-05,0.002
9,91.96,0.0002795426264405251,99.42,3.61727075651288e-05,0.002
10,91.79,0.0002798310935497284,99.79,2.2442948073148728e-05,0.002
11,91.86999999999999,0.000280856554210186,99.85000000000001,1.8583839759230613e-05,0.002
12,91.66,0.00028358143121004107,99.87,1.857595555484295e-05,0.002
13,91.75,0.00028664171397686,99.99,1.3412899523973465e-05,0.002
14,91.86,0.0002834707647562027,99.99,1.2627486605197191e-05,0.002
15,91.77,0.00028689741641283037,99.99,1.2842432875186205e-05,0.002
16,91.77,0.000281688591837883,99.99,1.3261695206165314e-05,0.002
17,92.02,0.00027901829034090043,99.99,1.2616544589400291e-05,0.002
18,91.63,0.00029053267687559125,99.99,1.1983652878552675e-05,0.002
19,91.82000000000001,0.0002792324081063271,99.99,1.1883967369794845e-05,0.002
20,91.79,0.0002828859016299248,99.99,1.2109498865902423e-05,0.002
21,91.91,0.0002782535418868065,99.99,1.3033615704625846e-05,0.002
22,92.13,0.0002799651637673378,99.99,1.20315114967525e-05,0.002
23,92.08,0.00027737527042627334,99.99,1.186283091083169e-05,0.002
24,91.85,0.00027808251678943636,99.99,1.236164066940546e-05,0.002
25,91.95,0.0002816373944282532,99.99,1.2059434223920107e-05,0.002
26,92.17,0.0002764193445444107,99.99,1.1895385757088662e-05,0.002
27,91.73,0.00028099333196878433,100.0,1.138434950262308e-05,0.002
28,91.81,0.0002816720113158226,100.0,1.156677296385169e-05,0.002
29,92.17999999999999,0.00027588962316513064,100.0,1.1595864687114955e-05,0.002
30,92.0,0.00027770359218120573,100.0,1.1475965194404125e-05,0.002
31,91.67,0.00028699380159378054,100.0,1.1695007048547268e-05,0.002
32,91.97999999999999,0.00027991687655448916,100.0,1.1487408541142941e-05,0.002
33,91.81,0.0002773893818259239,100.0,1.1579623725265264e-05,0.002
34,91.9,0.00028114349991083146,99.99,1.1324369348585606e-05,0.002
35,91.9,0.0002833764031529427,100.0,1.1527134478092194e-05,0.002
36,91.95,0.00027930820286273955,100.0,1.099969306960702e-05,0.002
37,91.88,0.0002832703933119774,100.0,1.1265959311276675e-05,0.002
38,91.79,0.0002826471462845802,100.0,1.1549410969018936e-05,0.002
39,91.74,0.00028581159114837647,100.0,1.1369086802005768e-05,0.002
40,91.86999999999999,0.0002794519454240799,100.0,1.1308857798576356e-05,0.002
41,91.93,0.00028284440487623213,100.0,1.2064434960484505e-05,0.002
42,91.83,0.0002809643313288689,100.0,1.094264779239893e-05,0.002
43,91.95,0.00028116279691457746,100.0,1.1048577632755042e-05,0.002
44,91.78,0.00028238914608955383,100.0,1.1480139289051295e-05,0.002
45,91.51,0.000286374294757843,100.0,1.1081323679536581e-05,0.002
46,92.04,0.00027691130340099337,100.0,1.0821542423218489e-05,0.002
47,92.04,0.0002750329673290253,100.0,1.0811059083789587e-05,0.002
48,91.85,0.00028153720945119857,100.0,1.0740125272423029e-05,0.002
49,91.7,0.0002800370246171951,100.0,1.1258202511817216e-05,0.002
50,91.8,0.000283045794069767,100.0,1.1148761957883835e-05,0.002
51,91.86999999999999,0.000280169478058815,100.0,1.1329714953899383e-05,0.002
52,91.82000000000001,0.0002773652866482735,100.0,1.1104871984571218e-05,0.002
53,91.63,0.00029767694026231763,100.0,1.1255795788019895e-05,0.002
54,91.66,0.00027929417490959167,100.0,1.1486374586820602e-05,0.002
55,91.86999999999999,0.00027827865034341814,100.0,1.1228244192898273e-05,0.002
56,91.92,0.0002772198334336281,100.0,1.1193065997213126e-05,0.002
57,92.05,0.0002756197974085808,100.0,1.1352847050875426e-05,0.002
58,92.01,0.0002816833138465881,100.0,1.134582068771124e-05,0.002
59,91.85,0.00028059810996055603,100.0,1.1468542739748956e-05,0.002
60,91.61,0.00028118268102407453,100.0,1.0854263324290514e-05,0.002
61,91.56,0.0002894386515021324,100.0,1.1348581872880459e-05,0.002
62,91.92,0.0002814473703503609,100.0,1.1042114719748497e-05,0.002
63,91.91,0.00027768980860710143,100.0,1.1139153409749269e-05,0.002
64,91.67,0.0002808958947658539,100.0,1.0741826705634594e-05,0.002
65,91.86999999999999,0.0002797512352466583,100.0,1.0998563840985299e-05,0.002
66,91.75999999999999,0.00028224315047264097,100.0,1.1083090770989656e-05,0.002
67,91.93,0.0002804579436779022,100.0,1.161709576845169e-05,0.002
68,91.64999999999999,0.00028205809742212296,100.0,1.1225614510476589e-05,0.002
69,91.86,0.0002816061168909073,100.0,1.071693254634738e-05,0.002
70,91.78,0.00028667462021112443,100.0,1.0970675386488438e-05,0.002
71,91.91,0.00028009623289108274,100.0,1.1145845800638199e-05,0.002
72,91.97999999999999,0.00028092584013938906,100.0,1.089811148121953e-05,0.002
73,91.72,0.00028500059098005297,100.0,1.1064771376550198e-05,0.002
74,91.69,0.0002880714505910873,100.0,1.0898631159216166e-05,0.002
75,91.97999999999999,0.0002843187004327774,100.0,1.114564947783947e-05,0.002
76,91.75999999999999,0.0002861794501543045,100.0,1.113302642479539e-05,0.002
77,91.9,0.0002896025434136391,100.0,1.1402950249612331e-05,0.002
78,91.8,0.0002851492777466774,100.0,1.1374756693840027e-05,0.002
79,92.12,0.00027898011952638625,100.0,1.139622638002038e-05,0.002
80,91.74,0.0002849705949425697,100.0,1.100959749892354e-05,0.002
81,91.85,0.00028592451363801955,100.0,1.1668546963483095e-05,0.002
82,91.94,0.00028330920040607453,100.0,1.1230292823165656e-05,0.002
83,92.0,0.0002808824062347412,100.0,1.1159353889524936e-05,0.002
84,91.66,0.00028917980939149857,100.0,1.1508084088563919e-05,0.002
85,91.88,0.00027905824929475785,100.0,1.1038292944431305e-05,0.002
86,92.10000000000001,0.0002819221302866936,100.0,1.1319426167756318e-05,0.002
87,91.86999999999999,0.00028252221196889876,100.0,1.0993835236877203e-05,0.002
88,91.92,0.00027775264531373976,100.0,1.0931347217410803e-05,0.002
89,91.88,0.0002837661921977997,100.0,1.1007180716842413e-05,0.002
90,91.69,0.0002899209931492805,100.0,1.1289846245199442e-05,0.002
91,91.85,0.000283400072157383,100.0,1.2292726617306471e-05,0.002
92,91.78,0.0002823642268776894,100.0,1.1198917776346207e-05,0.002
93,91.89,0.00027647171318531037,100.0,1.1535996664315462e-05,0.002
94,91.94,0.00028010275810956954,100.0,1.1517955362796784e-05,0.002
95,91.75,0.0002890263170003891,100.0,1.0942191444337367e-05,0.002
96,91.95,0.0002807771399617195,100.0,1.1452526971697807e-05,0.002
97,91.91,0.000278204371035099,100.0,1.1536878347396851e-05,0.002
98,91.75999999999999,0.0002901278883218765,100.0,1.1568582616746426e-05,0.002
99,91.84,0.00028624218851327896,100.0,1.1284129973500967e-05,0.002
100,91.82000000000001,0.00028052550107240677,100.0,1.2048971839249135e-05,0.002
101,91.86999999999999,0.0002838353827595711,100.0,1.2315622530877591e-05,0.002
102,91.82000000000001,0.0002854472190141678,100.0,1.1900338903069497e-05,0.002
103,91.94,0.00028530161678791047,100.0,1.2045827601104974e-05,0.002
104,91.81,0.000287773360311985,100.0,1.1879198718816041e-05,0.002
105,92.03,0.0002811516046524048,100.0,1.1696634348481893e-05,0.002
106,91.89,0.00028464612513780593,100.0,1.1957742553204298e-05,0.002
107,91.79,0.0002817868396639824,100.0,1.170981377363205e-05,0.002
108,91.58,0.0002897595852613449,100.0,1.1961019597947598e-05,0.002
109,91.89,0.0002831205904483795,100.0,1.1642806697636843e-05,0.002
110,91.93,0.0002834387466311455,100.0,1.1689834296703338e-05,0.002
111,91.94,0.00027862447947263715,100.0,1.1523079127073288e-05,0.002
112,92.05,0.0002819130912423134,100.0,1.1678257677704095e-05,0.002
113,91.99000000000001,0.00028414555341005327,100.0,1.1606841813772917e-05,0.002
114,91.86,0.0002860754460096359,100.0,1.1554099153727294e-05,0.002
115,91.79,0.0002868573859333992,100.0,1.1319350637495518e-05,0.002
116,92.06,0.00028097612112760545,100.0,1.126371193677187e-05,0.002
117,91.95,0.00027959470599889756,100.0,1.1220084503293038e-05,0.002
118,91.51,0.0002939600333571434,100.0,1.1305836960673332e-05,0.002
119,91.95,0.0002841988071799278,100.0,1.1318067461252212e-05,0.002
120,91.8,0.0002872160255908966,100.0,1.1646133195608854e-05,0.002
121,91.75999999999999,0.0002850509896874428,100.0,1.1453918740153313e-05,0.002
122,91.97,0.0002835047036409378,100.0,1.1468566488474608e-05,0.002
123,91.83,0.0002852759078145027,100.0,1.138902474194765e-05,0.002
124,91.79,0.00028849121928215026,100.0,1.1214271001517772e-05,0.002
125,91.85,0.000289202581346035,100.0,1.1641810089349746e-05,0.002
126,91.71000000000001,0.0002910441905260086,100.0,1.1426538694649935e-05,0.002
127,91.99000000000001,0.00029142363369464875,100.0,1.1293437145650387e-05,0.002
128,92.17999999999999,0.00028040854632854464,100.0,1.1373391933739186e-05,0.002
129,91.86,0.0002864798188209534,100.0,1.1172613594681025e-05,0.002
130,91.9,0.00029164987206459046,100.0,1.176240798085928e-05,0.002
131,91.47999999999999,0.00029294967204332353,100.0,1.1267839185893536e-05,0.002
132,92.15,0.0002840218245983124,100.0,1.1411534808576107e-05,0.002
133,91.73,0.000285751074552536,100.0,1.1462305579334497e-05,0.002
134,92.02,0.0002806891873478889,100.0,1.1383253335952758e-05,0.002
135,91.38,0.0002999368220567703,100.0,1.1235199403017759e-05,0.002
136,91.86,0.0002836811676621437,100.0,1.1067185923457146e-05,0.002
137,91.86999999999999,0.00028369310349225996,100.0,1.1291894502937794e-05,0.002
138,91.92,0.00027840874642133713,100.0,1.1130139604210853e-05,0.002
139,91.7,0.0002816513806581497,100.0,1.1150672193616629e-05,0.002
140,92.10000000000001,0.0002812294900417328,100.0,1.1439481284469365e-05,0.002
141,91.64999999999999,0.00028416418433189393,100.0,1.1121712159365415e-05,0.002
142,92.10000000000001,0.00027916553020477294,100.0,1.1211546324193478e-05,0.002
143,92.13,0.00028213771879673005,100.0,1.1334608588367701e-05,0.002
144,91.79,0.0002892488792538643,100.0,1.1244430765509605e-05,0.002
145,92.06,0.00027833745628595355,100.0,1.128879003226757e-05,0.002
146,89.21,0.0003774013489484787,100.0,1.2320463452488184e-05,0.002
147,91.91,0.0002806546539068222,99.99,1.1343901697546244e-05,0.002
148,91.84,0.000283952522277832,100.0,1.133153885602951e-05,0.002
149,91.88,0.00028333498537540437,100.0,1.1406688950955868e-05,0.002
150,91.63,0.000292140819132328,100.0,1.1326435953378677e-05,0.002
151,91.84,0.00028479505181312563,100.0,1.1419061943888665e-05,0.002
152,91.91,0.00027915852814912795,100.0,1.150504220277071e-05,0.002
153,91.64999999999999,0.0002940594151616096,100.0,1.145470254123211e-05,0.002
154,91.67,0.00029042729884386063,100.0,1.1684463359415531e-05,0.002
155,91.84,0.0002790293410420418,100.0,1.1345657519996167e-05,0.002
156,91.96,0.00028199139684438704,100.0,1.1507099587470293e-05,0.002
157,92.10000000000001,0.0002782863765954971,99.99,1.1410393286496402e-05,0.002
158,91.75999999999999,0.00028977869898080827,100.0,1.163707934319973e-05,0.002
159,91.75,0.000287992799282074,100.0,1.164307687431574e-05,0.002
160,91.88,0.00028389323353767397,100.0,1.1514109745621682e-05,0.002
161,91.8,0.0002844774067401886,100.0,1.162435133010149e-05,0.002
162,91.93,0.0002817011401057243,100.0,1.1401032749563456e-05,0.002
163,91.93,0.0002820254161953926,100.0,1.1528391670435666e-05,0.002
164,91.88,0.00028410496562719347,100.0,1.1445831507444382e-05,0.002
165,91.86999999999999,0.0002783989205956459,100.0,1.1447623185813428e-05,0.002
166,91.85,0.00028036699742078783,100.0,1.1396723613142968e-05,0.002
167,92.06,0.0002817121013998985,100.0,1.2132593151181936e-05,0.002
168,92.12,0.000276607520878315,100.0,1.1559966951608658e-05,0.002
169,91.8,0.0002826725259423256,100.0,1.1566044948995114e-05,0.002
170,92.01,0.0002813534215092659,100.0,1.1609746422618628e-05,0.002
171,91.78,0.0002826824963092804,100.0,1.1424876656383275e-05,0.002
172,91.94,0.0002809591829776764,100.0,1.1533495970070362e-05,0.002
173,91.78,0.0002834533914923668,100.0,1.141194673255086e-05,0.002
174,91.9,0.000282774643599987,100.0,1.1518102511763572e-05,0.002
175,91.84,0.00029091203659772875,100.0,1.1803845409303903e-05,0.002
176,91.88,0.0002875545397400856,100.0,1.167077012360096e-05,0.002
177,91.99000000000001,0.0002859728515148163,100.0,1.1726355738937855e-05,0.002
178,92.08,0.0002833866313099861,100.0,1.1848645191639661e-05,0.002
179,91.95,0.0002845683619379997,100.0,1.1473109759390355e-05,0.002
180,91.81,0.00027919718623161316,100.0,1.1638615652918815e-05,0.002
181,92.12,0.0002776353508234024,100.0,1.2047591712325811e-05,0.002
182,91.82000000000001,0.00028417343050241473,100.0,1.167058814316988e-05,0.002
183,91.63,0.0003009539157152176,100.0,1.179155260324478e-05,0.002
184,91.36,0.0002990238890051842,100.0,1.162647632881999e-05,0.002
185,91.95,0.00028373357206583024,100.0,1.1474043969064952e-05,0.002
186,91.82000000000001,0.0002832797110080719,100.0,1.1824385914951563e-05,0.002
187,91.86,0.0002843629613518715,99.99,1.1547115165740252e-05,0.002
188,91.74,0.00028415187448263166,99.99,1.1512335855513811e-05,0.002
189,91.82000000000001,0.0002925696909427643,100.0,1.1807737685739993e-05,0.002
190,91.97,0.000283331997692585,100.0,1.1565816402435303e-05,0.002
191,91.97,0.00028350084722042083,99.99,1.1903946660459042e-05,0.002
192,91.96,0.0002855421781539917,99.99,1.1742420494556427e-05,0.002
193,90.60000000000001,0.00032330062687397005,99.99,1.2075635977089406e-05,0.002
