epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,621.6270141601562,99.83999999999999,90.8
102,1.0,907.8436889648438,99.8,90.98
103,1.0,1936.43505859375,99.83,90.58
104,1.0,2580.42236328125,99.83,90.75
105,1.0,3278.07568359375,99.83999999999999,90.85
106,1.0,4883.572265625,99.74,90.8
107,1.0,5558.865234375,99.78,90.78
108,1.0,5706.4453125,99.78,90.99000000000001
109,1.0,6274.40673828125,99.79,90.78
110,1.0,7003.36474609375,99.72,90.72
111,1.0,9816.337890625,99.69,90.77
112,1.0,9400.4296875,99.69,91.14
113,1.0,9574.8427734375,99.69,91.21000000000001
114,1.0,10075.7216796875,99.69,91.3
115,1.0,10241.19140625,99.69,91.22
116,1.0,11189.2841796875,99.7,90.75999999999999
117,1.0,12217.875,99.59,91.14
118,1.0,12477.259765625,99.59,91.31
119,1.0,13863.62109375,99.6,91.13
120,1.0,14565.7470703125,99.65,90.99000000000001
121,1.0,15326.009765625,99.58,91.10000000000001
122,1.0,16117.578125,99.61,91.33
123,1.0,16766.037109375,99.5,91.36
124,1.0,17848.294921875,99.56,91.4
125,1.0,18384.951171875,99.51,91.25999999999999
126,1.0,19230.185546875,99.46000000000001,91.41
127,1.0,19874.171875,99.42,91.31
128,1.0,20799.90234375,99.48,91.32000000000001
129,1.0,21917.9375,99.38,91.34
130,1.0,22284.65234375,99.42999999999999,91.29
131,1.0,23644.181640625,99.39,91.11
132,1.0,23916.982421875,99.37,90.96
133,1.0,24565.443359375,99.33,91.24
134,1.0,25021.599609375,99.48,91.46
135,1.0,25634.283203125,99.38,91.23
136,1.0,27069.837890625,98.98,91.36
137,1.0,27145.865234375,99.06,91.39
138,1.0,27825.630859375,99.19,91.53999999999999
139,1.0,29341.68359375,98.99,90.52
140,1.0,29623.427734375,99.17,90.81
141,1.0,30276.361328125,99.26,91.12
142,1.0,30455.24609375,99.28,91.27
143,1.0,31810.3046875,99.35000000000001,91.5
144,1.0,32208.32421875,99.25,91.27
145,1.0,32923.8671875,99.22999999999999,91.08000000000001
146,1.0,33737.79296875,99.22999999999999,91.64
147,1.0,34605.390625,99.22999999999999,91.36
148,1.0,34815.578125,99.2,91.59
149,1.0,34909.4921875,99.21,91.58
150,1.0,38116.01171875,99.29,91.66
151,1.0,38053.40625,99.19,91.53
152,1.0,38469.3125,99.2,91.47999999999999
153,1.0,38921.0,99.25,91.41
154,1.0,39618.65234375,99.16,91.08000000000001
155,1.0,41045.265625,99.05000000000001,91.47999999999999
156,1.0,41371.73046875,99.1,91.59
157,1.0,41438.8125,99.09,91.58
158,1.0,42261.68359375,99.17,91.66
159,1.0,44113.1484375,98.97,91.60000000000001
160,1.0,44546.9453125,98.89,91.46
161,1.0,45141.73828125,98.8,91.63
162,1.0,47158.671875,98.95,90.7
163,1.0,47064.76171875,98.77,91.23
164,1.0,47722.1640625,98.05,90.84
165,1.0,47887.6328125,98.57000000000001,91.22
166,1.0,48683.66796875,98.91,91.32000000000001
167,1.0,49622.8203125,98.69,91.02
168,1.0,50526.19140625,98.88,91.3
169,1.0,51022.59765625,98.95,91.11
170,1.0,51921.5,99.00999999999999,91.43
171,1.0,52789.09375,98.67,91.3
172,1.0,54059.1796875,98.56,90.69
173,1.0,54569.00390625,98.83,91.18
174,1.0,55029.6328125,98.57000000000001,91.22
175,1.0,55619.953125,98.2,91.38
176,1.0,56281.83203125,98.61999999999999,90.95
177,1.0,56970.5390625,98.68,91.29
178,1.0,57565.3359375,98.52,91.33
179,1.0,59188.72265625,99.11,90.96
180,1.0,59564.37890625,98.87,90.82000000000001
181,1.0,60203.89453125,98.2,91.42
182,1.0,60673.46875,98.64,91.55
183,0.9999999403953552,61943.55859375,98.59,91.69
184,0.9999999403953552,62802.20703125,98.54,91.77
185,0.9999999403953552,63253.890625,98.11,91.73
186,0.9999999403953552,64684.97265625,98.2,91.29
187,0.9999999403953552,64944.35546875,98.42999999999999,91.27
188,0.9999999403953552,65418.40625,98.1,91.53999999999999
189,0.9999999403953552,66733.2109375,98.34,91.02
190,1.0,66871.8515625,98.22999999999999,91.13
191,0.9999999403953552,67940.6875,97.61,91.08000000000001
192,0.9999999403953552,68642.8125,97.96000000000001,91.17
193,0.9999999403953552,69107.9140625,97.76,91.0
194,0.9999999403953552,69953.1484375,98.02,91.33
195,1.0,70686.578125,98.05,91.23
196,0.9999999403953552,71536.2890625,97.49,91.52
197,0.9999999403953552,72238.4140625,98.11999999999999,91.67
198,1.0,72949.4765625,97.75,91.79
199,0.9999998807907104,73785.765625,97.39,91.60000000000001
200,0.9999998807907104,74546.03125,97.78999999999999,91.45
201,1.0,75404.6796875,98.09,91.44
202,1.0,76066.5546875,98.14,91.74
