epoch,cosine_similarity,l2_distance,backdoor,main
101,1.0,751.3190307617188,99.78,86.92
102,1.0,1601.024658203125,99.8,87.13
103,1.0,2352.343505859375,99.81,87.02
104,1.0,3188.633056640625,99.78,87.35000000000001
105,1.0,3989.145263671875,99.76,87.66000000000001
106,1.0,4883.572265625,99.74,87.79
107,1.0,5549.9208984375,99.78,88.07000000000001
108,1.0,6328.072265625,99.76,88.0
109,1.0,7065.974609375,99.72999999999999,87.99
110,1.0,7973.81884765625,99.61,87.72999999999999
111,1.0,8707.248046875,99.71,88.21
112,1.0,9400.4296875,99.72999999999999,88.42999999999999
113,1.0,10200.9423828125,99.72,88.6
114,1.0,11028.287109375,99.71,88.14
115,1.0,11797.4951171875,99.74,88.59
116,1.0,12454.8994140625,99.72,88.68
117,1.0,13197.2734375,99.71,88.57000000000001
118,0.9999999403953552,13908.34375,99.75,88.74
119,0.9999999403953552,14601.5244140625,99.72999999999999,88.42999999999999
120,0.9999999403953552,15272.3447265625,99.71,88.69
121,0.9999999403953552,16001.302734375,99.69,88.47
122,1.0,16743.677734375,99.74,88.79
123,0.9999999403953552,17436.859375,99.74,88.82
124,0.9999999403953552,18085.318359375,99.76,88.84
125,1.0,18832.1640625,99.7,88.82
126,1.0,19543.234375,99.7,88.84
127,0.9999998807907104,20334.802734375,99.69,88.67
128,1.0,21099.537109375,99.63,88.89
129,0.9999998807907104,21824.0234375,99.71,88.92999999999999
130,1.0,22521.67578125,99.7,88.61
131,1.0,23210.384765625,99.7,88.94999999999999
132,1.0,23894.62109375,99.64,89.08
133,1.0,24668.302734375,99.67,88.78
134,1.0,25365.955078125,99.7,88.92
135,1.0,26005.470703125,99.66000000000001,89.17
136,1.0,26689.70703125,99.66000000000001,88.9
137,1.0,27423.13671875,99.65,88.79
138,1.0,28143.15234375,99.66000000000001,89.05999999999999
139,1.0,28907.88671875,99.69,89.34
140,0.9999998807907104,29748.650390625,99.67,89.64999999999999
141,1.0,30598.353515625,99.67,89.23
142,1.0,31251.287109375,99.68,89.12
143,1.0,31984.716796875,99.65,89.5
144,1.0,32655.537109375,99.65,88.92999999999999
145,0.9999998807907104,33312.94140625,99.62,88.96
146,1.0,34019.5390625,99.65,89.5
147,1.0,34757.44140625,99.68,89.03
148,1.0,35562.42578125,99.66000000000001,89.73
149,0.9999998807907104,36318.21484375,99.66000000000001,89.33
150,1.0,37047.171875,99.68,89.63
151,1.0,37878.9921875,99.65,89.63
152,1.0,38701.86328125,99.61,89.55
153,1.0,39435.29296875,99.66000000000001,89.63
154,1.0,40258.1640625,99.63,89.63
155,1.0,41000.54296875,99.6,89.49000000000001
156,1.0,41747.38671875,99.61,89.87
157,0.9999998807907104,42467.40234375,99.64,89.58
158,0.9999998807907104,43151.63671875,99.6,89.78
159,1.0,43965.5703125,99.61,89.87
160,1.0,44748.19140625,99.57000000000001,89.64999999999999
161,1.0,45508.45703125,99.61,89.91
162,1.0,46362.6328125,99.61,89.81
163,0.9999998807907104,47131.83984375,99.62,90.01
164,0.9999998807907104,47896.578125,99.61,89.96
165,0.9999998807907104,48799.94921875,99.58,90.10000000000001
166,0.9999998807907104,49622.8203125,99.53999999999999,89.12
167,1.0,50387.5546875,99.48,89.19
168,1.0,51188.06640625,99.58,90.03999999999999
169,1.0,52006.47265625,99.57000000000001,90.08
170,1.0,52798.03515625,99.53999999999999,89.8
171,1.0,53442.0234375,99.61,89.81
172,1.0,54077.0703125,99.6,90.13
173,0.9999998807907104,54890.99609375,99.57000000000001,90.24
174,1.0,55557.34375,99.58,90.03
175,0.9999998807907104,56308.6640625,99.61,89.94
176,1.0,56966.06640625,99.63,90.06
177,0.9999998807907104,57677.13671875,99.57000000000001,90.24
178,1.0,58401.625,99.58,90.27
179,1.0,59170.828125,99.58,90.16
180,1.0,60029.48046875,99.55000000000001,89.97
181,0.9999998807907104,60771.85546875,99.51,90.32
182,1.0,61438.203125,99.47,90.2
183,1.0,62117.96875,99.58,90.35
184,1.0,62945.31640625,99.53999999999999,90.4
185,1.0,63678.7421875,99.57000000000001,90.36999999999999
186,0.9999998807907104,64425.58984375,99.52,90.33
187,1.0,65185.85546875,99.53999999999999,90.51
188,1.0,65986.3671875,99.59,90.16
189,1.0,66773.4609375,99.58,90.22
190,1.0,67421.921875,99.53999999999999,90.23
191,1.0,68204.546875,99.53,90.4
192,1.0,69090.0234375,99.52,90.27
193,1.0,69921.84375,99.42,89.96
194,0.9999998807907104,70659.75,99.53,90.56
195,1.0,71397.6484375,99.55000000000001,90.35
196,1.0,72260.7734375,99.49,89.95
197,1.0,73217.8125,99.53,90.46
198,1.0,74004.90625,99.52,90.42999999999999
199,1.0,74760.6953125,99.52,90.56
200,1.0,75435.984375,99.42999999999999,90.08
201,1.0,76115.75,99.58,90.34
202,1.0,76858.125,99.53,90.46
203,1.0,77672.0546875,99.53999999999999,90.4
204,1.0,78351.8203125,99.49,90.13
205,1.0,79116.5625,99.51,90.18
206,0.9999998807907104,79917.0703125,99.51,90.28
207,1.0,80677.328125,99.49,90.11
208,1.0,81473.375,99.42999999999999,90.23
209,0.9999999403953552,82309.6640625,99.58,90.22
210,0.9999999403953552,82984.953125,99.55000000000001,90.22
211,0.9999999403953552,83669.1953125,99.49,90.28
212,0.9999999403953552,84326.59375,99.51,90.47
213,0.9999999403953552,85010.8359375,99.52,90.72
214,0.9999999403953552,85914.2109375,99.42999999999999,90.38000000000001
215,0.9999999403953552,86701.296875,99.45,90.4
216,0.9999998807907104,87577.8359375,99.45,90.53999999999999
217,0.9999999403953552,88396.2421875,99.55000000000001,90.58
218,0.9999999403953552,89147.5625,99.47,90.69
219,0.9999999403953552,89934.6484375,99.5,90.77
220,0.9999999403953552,90838.0234375,99.51,90.35
221,0.9999999403953552,91786.1171875,99.41,90.42999999999999
222,0.9999999403953552,92465.8828125,99.42,90.64
223,0.9999999403953552,93230.6171875,99.37,90.7
224,0.9999999403953552,94049.015625,99.38,90.60000000000001
225,0.9999998807907104,94894.25,99.4,90.92
226,0.9999998807907104,95735.015625,99.42,90.86
227,0.9999998807907104,96419.2578125,99.49,90.68
228,0.9999998807907104,97157.15625,99.36,90.44
229,0.9999998807907104,97805.609375,99.45,90.64999999999999
230,0.9999998807907104,98619.5390625,99.49,90.34
231,0.9999998807907104,99429.0,99.33999999999999,90.16
232,0.9999998807907104,100099.8203125,99.33999999999999,90.51
233,0.9999998807907104,100891.390625,99.33,90.67
234,0.9999998807907104,101696.375,99.32,90.33
